precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PAULA-MARINELA PÎRVĂNESCU-voturi","VLAD-DAN GHEORGHE-voturi","NICOLAE-BOGDĂNEL ȘTEFĂNUȚĂ-voturi","DUMITRU-SILVESTRU ȘOȘOACĂ-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:25",2131,2131,0,1965,1965,0,0,2241,276,1844,121,808,19,3,13,142,9,31,88,5,4,82,21,156,5,96,362
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:25",2960,2954,6,2695,2693,0,2,3347,652,2459,236,64,19,31,86,207,0,86,13,9,32,38,278,1071,24,50,451
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:25",2822,2821,1,2010,2009,1,0,3104,1094,1926,84,3,897,15,1,54,12,7,20,13,104,184,443,159,4,5,5
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:23",2973,2972,1,2912,2912,0,0,3317,405,2898,14,233,422,28,29,19,1110,14,57,87,164,33,14,2,447,5,234
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:23",1976,1968,8,1935,1926,2,7,2305,370,1786,149,5,6,746,199,8,67,30,39,73,9,3,340,215,1,30,15
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",2266,2262,4,1832,1825,3,4,2443,611,1347,485,93,306,176,351,19,36,0,38,8,16,48,33,5,109,99,10
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",870,863,7,841,833,6,2,1088,247,721,120,31,17,96,1,17,24,329,3,0,0,182,5,1,6,3,6
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",2178,2174,4,2122,2117,1,4,2285,163,1869,253,7,47,2,3,46,128,425,15,210,76,86,22,3,689,49,61
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",3042,3037,5,2342,2338,4,0,3143,801,2151,191,474,23,5,16,62,2,147,20,4,421,768,2,15,34,2,156
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",1290,1282,8,1260,1248,5,7,1318,58,693,567,13,0,11,1,36,62,39,2,237,96,8,131,4,45,2,6
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2209,2207,2,2084,2083,0,1,2500,416,1846,238,20,62,20,188,22,385,2,644,6,3,262,116,11,10,3,92
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",2168,2166,2,1811,1809,0,2,2555,744,1740,71,139,192,173,190,3,9,19,29,85,9,88,17,9,51,332,395
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2994,2987,7,2916,2912,3,1,3418,502,2864,52,5,122,35,42,54,419,33,7,32,153,188,188,514,29,123,920
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",2816,2810,6,2622,2610,6,6,2835,213,2387,235,374,62,560,30,16,593,187,309,3,2,76,55,9,64,43,4
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",2799,2799,0,1849,1849,0,0,3241,1392,1837,12,1,10,50,7,77,143,513,0,27,21,129,183,1,224,316,135
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",1951,1941,10,1048,1028,10,10,2139,1091,965,83,4,2,10,133,80,7,29,28,346,34,10,7,67,3,53,152
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",1749,1742,7,1740,1729,6,5,2246,506,1685,55,33,139,16,220,1,329,7,435,66,162,8,70,106,32,56,5
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",592,589,3,576,573,0,3,1006,430,554,22,9,15,11,0,107,37,4,7,13,9,279,16,3,3,1,40
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",2324,2319,5,2209,2206,0,3,2491,282,1799,410,6,511,7,1,32,9,305,7,380,263,124,16,40,24,18,56
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:24",3226,3218,8,2959,2948,4,7,3342,383,2517,442,4,53,202,5,7,105,31,1103,41,175,43,248,221,33,44,202
1,ALBA,"CĂMIN CULTURAL LUNCA TÂRNAVEI",408,ŞONA,7865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:31",3052,3050,2,2704,2704,0,0,3215,511,2328,376,27,49,50,239,645,8,349,0,64,567,23,129,11,165,0,2
1,ALBA,"CĂMIN CULTURAL MĂTIȘEȘTI",274,HOREA,4767,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",2792,2783,9,2614,2598,7,9,3080,466,2531,83,7,140,1030,180,195,24,22,93,44,13,414,5,49,38,274,3
1,ALBA,"CĂMIN CULTURAL OBREJA",318,MIHALŢ,5700,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:30",1358,1351,7,1151,1145,4,2,1423,272,907,244,44,30,16,84,12,60,20,62,23,141,3,132,111,12,125,32
1,ALBA,"CĂMIN CULTURAL POIANA AIUDULUI",294,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:29",1660,1660,0,1475,1475,0,0,1691,216,1384,91,206,31,107,373,2,15,7,207,153,0,3,9,14,3,191,63
1,ALBA,"CĂMIN CULTURAL SÂNBENEDIC",251,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:28",3540,3536,4,3035,3032,0,3,3897,862,2662,373,190,124,80,396,892,87,41,2,235,245,247,30,9,25,59,0
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,EUP,EUP_SV,"2024-05-29 09:51:27",3549,3542,7,2825,2821,2,2,3586,761,2572,253,45,28,130,264,260,34,38,23,7,131,0,36,115,44,1240,177
