precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
4,BACĂU,"ADMINISTRAȚIA FINANȚELOR PUBLICE BACĂU",21,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:33:04",953,953,0,382,371,0,11,1000,618,362,20,3,138,20,43,5,83,0,0,4,1,14,12,6,15,15,3
4,BACĂU,"ASOCIAȚIA ”SFÂNTUL VOIEVOD ŞTEFAN CEL MARE- HÂRJA”",475,OITUZ,23797,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:38:57",232,232,0,90,58,0,32,300,210,86,4,3,42,2,16,4,4,1,1,0,0,5,3,1,3,0,1
4,BACĂU,"BAZA SPORTIVA ”LIA MANOLIU” RĂCĂCIUNI",537,RĂCĂCIUNI,24766,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:41",1575,1575,0,700,682,0,18,1700,1000,662,38,10,340,49,88,44,33,3,4,4,0,32,13,0,0,34,8
4,BACĂU,"BAZINUL OLIMPIC BACĂU",103,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:58:37",1524,1524,0,236,225,0,11,1700,1464,220,16,2,71,9,50,6,35,5,6,0,1,11,10,1,3,9,1
4,BACĂU,"BAZINUL OLIMPIC BACĂU",102,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:39",1777,1777,0,358,340,0,18,1900,1542,346,12,6,127,9,58,10,54,4,4,3,1,21,10,3,10,20,6
4,BACĂU,"BIBLIOTECA MUNICIPALĂ ” PROFESOR CONSTANTIN LOVIN”",131,"MUNICIPIUL MOINEŞTI",20876,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:49:52",1135,1135,0,499,486,0,13,1300,801,472,27,3,210,44,70,3,40,2,1,8,3,50,14,1,14,7,2
4,BACĂU,"BIBLIOTECA ORĂŞENEASCĂ ”GEORGE BACOVIA”",184,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:11:04",1667,1667,0,532,528,0,4,1700,1168,491,41,4,258,13,87,6,38,1,3,5,5,34,12,0,13,7,5
4,BACĂU,"BIBLIOTECA ORAŞULUI COMĂNEȘTI",195,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:23:18",1341,1341,0,597,582,0,15,1500,903,577,20,3,337,16,87,3,35,0,5,6,2,33,18,2,13,10,7
4,BACĂU,"BIBLIOTECA PUBLICA ”CALISTRAT HOGAS” BALCANI",248,BALCANI,21196,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:34:02",1062,1062,0,499,478,0,21,1200,701,448,51,4,263,21,87,0,10,1,2,2,0,32,4,3,4,6,9
4,BACĂU,"CABINET MEDICAL",582,SOLONŢ,25488,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:25",652,652,0,284,279,0,5,700,416,262,22,2,157,1,30,4,39,1,1,0,0,14,4,2,2,2,3
