precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
5,BIHOR,"AFTER SCHOOL",525,ROŞIA,30844,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:10:18",492,492,0,392,376,0,16,532,140,360,32,1,2,1,57,0,1,1,1,2,1,248,12,8,11,12,2
5,BIHOR,"BLOC PARTER",152,"MUNICIPIUL BEIUŞ",26804,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:28:56",1149,1149,0,698,675,0,23,1258,560,678,20,7,4,3,120,41,4,8,15,0,2,365,15,3,27,14,50
5,BIHOR,"BLOCURILE ANL",145,"MUNICIPIUL ORADEA",26564,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:50:23",1780,1780,0,917,893,0,24,1943,1026,888,29,23,7,10,187,60,8,10,43,2,4,382,45,6,27,21,53
5,BIHOR,"CAMIN CULTURAL",616,TĂRCAIA,31609,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 00:58:06",325,325,0,315,264,0,51,370,55,280,35,2,1,0,29,14,0,0,0,0,0,217,0,0,3,0,14
5,BIHOR,"CAMIN CULTURAL",571,SÂRBI,31128,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:37:37",614,614,0,547,428,0,119,663,116,534,13,2,0,2,103,1,0,3,3,1,2,387,7,1,8,2,12
5,BIHOR,"CAMIN CULTURAL",617,TĂRCAIA,31609,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:55:53",205,205,0,193,174,0,19,233,40,186,7,3,2,3,33,6,2,1,1,1,0,114,3,2,4,1,10
5,BIHOR,"CAMIN CULTURAL",569,SÂRBI,31128,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:34:19",808,808,0,761,610,0,151,869,108,729,31,4,2,3,134,11,5,1,1,1,0,515,8,6,30,1,7
5,BIHOR,"CAMIN CULTURAL",560,"SÂNNICOLAU ROMÂN",32179,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:00:05",726,726,0,827,726,0,101,1069,242,759,68,10,1,0,79,18,6,1,3,2,5,561,8,2,31,7,25
5,BIHOR,"CAMIN CULTURAL",582,"SUPLACU DE BARCĂU",31262,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:56:51",729,729,0,511,501,0,10,799,288,459,52,8,0,0,67,14,2,4,5,0,1,318,4,6,20,4,6
5,BIHOR,"CĂMIN CULTURAL",627,TILEAGD,31716,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:40:18",336,336,0,166,157,0,9,377,211,147,19,4,0,0,16,76,0,1,2,1,1,36,2,3,4,0,1
