precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
7,BOTOŞANI,"BAZA SPORTIVĂ",404,VĂCULEŞTI,39612,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:29:06",805,805,0,517,456,0,61,900,383,495,22,0,260,1,160,1,8,2,3,3,1,35,6,1,5,6,3
7,BOTOŞANI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ TIP I",332,POMÂRLA,38544,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:49:50",944,944,0,615,530,0,85,1000,385,576,39,4,426,3,50,2,44,0,1,2,0,20,5,3,7,4,5
7,BOTOŞANI,"CAMIN CULTURAL",231,DIMĂCHENI,39959,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:48:25",174,174,0,125,108,0,17,200,75,121,4,1,90,1,24,0,2,0,1,0,1,1,0,0,0,0,0
7,BOTOŞANI,"CAMIN CULTURAL",291,LOZNA,39942,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:03",714,714,0,358,348,0,10,800,442,325,33,2,160,5,61,26,20,1,2,1,0,33,1,0,2,7,4
7,BOTOŞANI,"CAMIN CULTURAL",290,LOZNA,39942,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:52:21",811,811,0,444,432,0,12,900,456,416,28,6,247,4,64,9,19,3,2,0,2,34,2,6,5,4,9
7,BOTOŞANI,"CAMIN CULTURAL",364,STĂUCENI,35884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:42:01",1118,1118,0,578,568,0,10,1200,622,552,26,11,325,1,103,0,30,2,4,3,1,32,4,3,16,12,5
7,BOTOŞANI,"CĂMIN CULTURAL",277,HUDEŞTI,37770,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:39:38",879,879,0,530,516,0,14,900,370,491,39,4,383,3,51,3,9,0,1,2,0,12,2,1,4,10,6
7,BOTOŞANI,"CĂMIN CULTURAL",390,TUDORA,39391,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:32:16",1274,1274,0,709,661,0,48,1300,591,650,59,0,548,5,46,0,12,0,0,5,0,22,0,5,0,7,0
7,BOTOŞANI,"CAMIN CULTURAL ALBESTI",145,ALBEŞTI,36131,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:08:53",932,932,0,602,550,0,52,998,396,561,41,1,418,7,49,3,12,1,3,8,3,34,9,1,8,2,2
7,BOTOŞANI,"CĂMIN CULTURAL BRĂEŞTI",166,BRĂEŞTI,36373,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:17:45",1095,1095,0,692,649,0,43,1200,508,645,47,8,326,20,188,1,20,2,3,5,2,30,10,3,13,8,6
