precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
13,CLUJ,"ALUNISU NR.74 CAMINUL CULTURAL",619,SÂNCRAIU,59434,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:15:37",90,90,0,76,54,0,22,99,23,74,2,46,9,3,13,0,0,0,0,0,0,1,0,0,0,2,0
13,CLUJ,"ASEZAMANTUL SOCIAL BISERICESC",520,JUCU,58259,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:37:33",628,628,0,412,387,0,25,686,274,404,8,10,152,24,39,0,113,2,3,0,2,19,10,1,13,9,7
13,CLUJ,"ASOCIAŢIA ”CARITATEA”",57,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:02:04",1108,1108,0,881,652,0,229,1215,334,860,21,42,155,152,80,4,169,3,2,3,10,8,16,6,48,161,1
13,CLUJ,"BIROUL PRIMĂRIEI CARA",424,COJOCNA,57350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:20",680,680,0,405,371,0,34,749,344,374,31,42,147,9,52,5,47,0,2,4,10,26,8,1,6,12,3
13,CLUJ,"CAMIN CULT. SAMBOIENI",627,SÂNMĂRTIN,59498,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:10:27",100,100,0,78,68,0,10,98,20,75,3,0,55,2,10,1,1,0,0,0,0,0,0,0,0,6,0
13,CLUJ,"CAMIN CULTURAL",290,"ORAŞ HUEDIN",55446,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:04:17",246,246,0,136,125,0,11,272,136,129,7,98,11,0,1,0,15,2,0,0,0,0,0,0,2,0,0
13,CLUJ,"CAMIN CULTURAL",560,MOCIU,58623,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:14:07",263,263,0,200,185,0,15,285,85,178,20,4,112,1,30,5,1,1,3,0,0,12,2,2,2,2,1
13,CLUJ,"CAMIN CULTURAL",549,"MIHAI VITEAZU",55277,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:23:02",667,667,0,406,384,0,22,738,332,378,28,103,168,1,46,3,13,1,1,1,0,20,7,2,1,6,5
13,CLUJ,"CAMIN CULTURAL",643,"TRITENII DE JOS",59693,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:38:48",224,224,0,138,128,0,10,246,108,123,15,2,48,2,28,2,24,0,3,2,0,4,1,0,2,4,1
13,CLUJ,"CAMIN CULTURAL",641,"TRITENII DE JOS",59693,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:12",940,940,0,500,487,0,13,1035,535,469,31,9,180,1,75,2,150,1,1,1,0,25,4,1,6,9,4
13,CLUJ,"CAMIN CULTURAL",574,PANTICEU,58856,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:54:35",51,51,0,42,29,0,13,55,13,41,1,2,26,0,5,0,0,0,0,0,0,1,4,0,1,2,0
13,CLUJ,"CĂMIN CULTURAL",535,MĂRGĂU,58464,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:24:53",185,185,0,162,129,0,33,204,42,148,14,1,95,6,23,1,11,1,0,0,1,3,5,0,0,1,0
13,CLUJ,"CĂMIN CULTURAL",637,SUATU,59657,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:46",217,217,0,128,115,0,13,240,112,110,18,13,46,1,16,4,5,2,2,5,0,8,1,0,1,2,4
13,CLUJ,"CĂMIN CULTURAL",537,MĂRGĂU,58464,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:17:28",145,145,0,118,104,0,14,159,41,105,13,1,75,8,7,1,4,0,0,0,2,1,0,1,2,3,0
13,CLUJ,"CĂMIN CULTURAL",580,"PETREŞTII DE JOS",58918,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:31:14",477,477,0,411,309,0,102,525,114,396,15,3,144,18,166,2,28,1,2,3,5,8,5,1,4,5,1
13,CLUJ,"CĂMIN CULTURAL",536,MĂRGĂU,58464,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:13:50",571,571,0,510,457,0,53,630,120,484,26,4,332,7,62,4,19,0,3,2,0,21,5,2,14,7,2
13,CLUJ,"CĂMIN CULTURAL",615,SĂVĂDISLA,59327,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:48:40",227,227,0,155,144,0,11,251,96,150,5,4,96,6,18,0,9,1,2,0,2,2,4,0,1,5,0
13,CLUJ,"CAMIN CULTURAL AITON",301,AITON,55598,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:05:01",506,506,0,365,295,0,70,550,185,343,22,95,142,11,41,0,15,0,1,0,1,17,6,3,5,5,1
13,CLUJ,"CAMIN CULTURAL ALUNIS",303,ALUNIŞ,55623,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:54:07",429,429,0,310,260,0,50,469,159,286,24,6,155,3,87,1,4,0,4,4,2,11,2,1,2,3,1
13,CLUJ,"CAMIN CULTURAL ARGHISU",294,AGHIREŞU,55473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:30:44",86,86,0,46,31,0,15,95,49,40,6,2,19,0,10,0,3,0,2,1,0,0,1,0,2,0,0
13,CLUJ,"CAMIN CULTURAL BABDIU",345,BOBÂLNA,56096,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:25:44",128,128,0,87,74,0,13,142,55,78,9,1,45,0,27,1,3,0,0,0,0,1,0,0,0,0,0
13,CLUJ,"CAMIN CULTURAL BABUTIU",670,VULTURENI,60099,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:57:36",204,204,0,151,139,0,12,217,66,149,2,3,79,3,20,0,15,0,3,0,0,11,1,2,6,5,1
13,CLUJ,"CAMIN CULTURAL BAGARA",295,AGHIREŞU,55473,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:46:19",319,319,0,176,163,0,13,350,174,169,7,136,13,0,7,0,6,0,0,0,1,3,1,0,1,1,0
13,CLUJ,"CĂMIN CULTURAL BĂLCEŞTI",339,BELIŞ,56014,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:05:21",125,125,0,95,80,0,15,138,43,88,7,4,39,3,14,1,8,0,0,1,0,4,7,0,3,3,1
13,CLUJ,"CĂMIN CULTURAL BERINDU",630,SÂNPAUL,59586,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:47:49",342,342,0,262,244,0,18,372,110,245,17,4,148,1,16,0,15,0,2,36,0,12,6,0,4,0,1
13,CLUJ,"CĂMIN CULTURAL BÎRLEA",427,CORNEŞTI,57449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:07",113,113,0,110,95,0,15,122,12,103,7,1,73,4,13,1,1,0,2,0,0,4,2,0,2,0,0
13,CLUJ,"CAMIN CULTURAL BOLDUT",400,"CEANU MARE",56844,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:36:13",670,670,0,386,374,0,12,738,352,347,39,13,186,4,60,2,28,4,5,1,2,19,1,0,13,3,6
13,CLUJ,"CĂMIN CULTURAL BOLOGA",590,POIENI,59041,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:34",470,470,0,316,303,0,13,518,202,302,14,4,118,6,38,21,81,0,2,0,2,10,4,1,6,6,3
13,CLUJ,"CAMIN CULTURAL BONT",445,"FIZEŞU GHERLII",57644,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:39:17",281,281,0,161,143,0,18,308,147,153,8,3,88,4,15,0,14,0,4,1,1,15,1,0,2,3,2
13,CLUJ,"CAMIN CULTURAL BONTIDA",352,BONŢIDA,56210,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:31:38",1638,1638,0,1015,977,0,38,1761,746,874,141,169,277,21,106,156,22,1,3,9,1,63,8,1,18,10,9
13,CLUJ,"CĂMIN CULTURAL CALNA",660,VAD,59942,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:21:56",119,119,0,105,80,0,25,131,26,98,7,0,70,1,14,2,5,0,2,0,0,2,0,0,1,1,0
13,CLUJ,"CAMIN CULTURAL CAMARASU",376,CĂMĂRAŞU,56522,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:52:32",1195,1195,0,739,708,0,31,1318,579,582,157,34,341,4,96,57,8,0,0,1,0,25,0,0,7,5,4
13,CLUJ,"CAMIN CULTURAL CATINA",392,CĂTINA,56773,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:28:50",851,851,0,622,568,0,54,941,319,551,71,38,346,10,52,0,31,1,7,9,7,13,5,1,16,5,10
13,CLUJ,"CAMIN CULTURAL CEANU MARE",398,"CEANU MARE",56844,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:33:42",1080,1080,0,637,604,0,33,1193,556,587,50,32,222,10,152,5,71,1,14,6,2,24,12,1,16,16,3
13,CLUJ,"CĂMIN CULTURAL CETAN",661,VAD,59942,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:37:31",505,505,0,351,315,0,36,552,201,327,24,0,230,3,63,2,5,1,0,2,0,16,4,0,0,1,0
13,CLUJ,"CĂMIN CULTURAL CHINTENI",404,CHINTENI,56988,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:32:40",1038,1038,0,764,664,0,100,1119,361,749,9,107,299,70,72,3,62,3,2,2,5,11,16,8,46,38,5
13,CLUJ,"CAMIN CULTURAL COASTA",354,BONŢIDA,56210,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:29:30",81,81,0,83,52,0,31,88,5,77,6,4,57,2,6,3,1,0,0,1,0,0,1,1,1,0,0
13,CLUJ,"CAMIN CULTURAL CORNENI",304,ALUNIŞ,55623,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:28:04",92,92,0,49,45,0,4,100,51,44,5,0,25,0,9,1,0,0,0,1,0,8,0,0,0,0,0
13,CLUJ,"CĂMIN CULTURAL CORPADEA",312,APAHIDA,55687,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:34",345,345,0,188,169,0,19,377,189,181,7,3,80,10,28,2,13,1,2,2,0,13,10,0,6,7,4
13,CLUJ,"CAMIN CULTURAL DOROLTU",296,AGHIREŞU,55473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:26:03",74,74,0,60,48,0,12,80,20,59,1,40,11,1,1,1,4,0,0,0,0,0,0,0,1,0,0
13,CLUJ,"CAMIN CULTURAL FELDIOARA",394,CĂTINA,56773,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:48:13",358,358,0,211,194,0,17,395,184,189,22,65,82,1,25,1,2,0,1,2,0,8,0,0,0,0,2
13,CLUJ,"CĂMIN CULTURAL GĂDĂLIN",521,JUCU,58259,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:19:23",533,533,0,446,373,0,73,580,134,432,14,5,265,12,52,1,42,1,1,1,0,23,7,2,3,11,6
13,CLUJ,"CAMIN CULTURAL GEACA",483,GEACA,57831,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:52:29",407,407,0,380,280,0,100,443,63,352,28,6,251,6,46,5,15,0,2,0,3,8,2,1,2,2,3
13,CLUJ,"CĂMIN CULTURAL IGRIŢIA",428,CORNEŞTI,57449,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:25:49",29,29,0,35,19,0,16,41,6,33,2,1,24,1,4,0,0,0,0,0,0,0,0,1,2,0,0
13,CLUJ,"CAMIN CULTURAL JICHISU DE SUS",516,"JICHIŞU DE JOS",55106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:06:20",162,162,0,153,126,0,27,180,27,145,8,2,120,1,9,2,4,0,0,1,0,2,0,2,0,1,1
13,CLUJ,"CAMIN CULTURAL LEGHIA",298,AGHIREŞU,55473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:03:25",357,357,0,226,216,0,10,390,164,216,10,191,14,1,5,0,0,0,0,0,2,1,1,0,0,0,1
13,CLUJ,"CAMIN CULTURAL LIVADA",583,"PETREŞTII DE JOS",58918,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:47:12",160,160,0,109,92,0,17,153,44,84,25,2,33,3,31,0,5,1,0,1,0,2,2,0,3,1,0
13,CLUJ,"CAMIN CULTURAL MARE BORSA",357,BORŞA,56265,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:40:48",850,850,0,651,505,0,146,929,278,614,37,18,482,5,50,1,17,2,4,3,0,16,4,0,6,3,3
13,CLUJ,"CAMIN CULTURAL MOCIU - SALA MICA",556,MOCIU,58623,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:25:02",1345,1345,0,824,771,0,53,1479,655,718,101,38,350,12,157,51,23,3,11,2,8,21,4,4,20,10,4
13,CLUJ,"CĂMIN CULTURAL MORĂU",430,CORNEŞTI,57449,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:20:39",44,44,0,48,31,0,17,59,11,48,0,1,37,0,7,0,0,0,0,0,0,0,2,0,1,0,0
