precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
16,DÂMBOVIŢA,"AFTER- SCHOOL",414,VÂRFURI,69447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:49:17",670,670,0,385,368,0,17,740,355,360,25,3,278,1,42,1,14,2,1,1,1,11,0,1,1,1,2
16,DÂMBOVIŢA,"AFTER SCHOOL BĂRBULEŢU",140,BĂRBULEŢU,66223,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:01:54",1270,1270,0,706,698,0,8,1400,694,662,44,3,439,8,127,2,17,2,5,1,0,30,2,1,11,7,7
16,DÂMBOVIŢA,"BIBLIOTECA COMUNALĂ",358,RĂZVAD,65431,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:01:26",1388,1388,0,720,715,0,5,1520,800,692,28,3,483,0,88,0,43,2,6,6,1,23,6,1,0,20,10
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:40:39",1033,1033,0,483,463,0,20,1140,657,472,11,2,196,37,62,8,78,3,4,1,5,15,12,4,18,22,5
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:42:29",791,791,0,385,371,0,14,860,475,363,22,3,158,19,48,8,62,2,1,0,2,10,13,4,7,23,3
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 10:47:39",792,792,0,378,371,0,7,860,482,354,24,1,158,21,50,5,52,6,5,2,3,14,12,3,8,11,3
16,DÂMBOVIŢA,"CAMIN CULTURAL",158,BUCIUMENI,66438,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:25:21",957,957,0,566,529,0,37,1050,484,541,25,0,446,3,38,0,8,0,10,0,1,19,3,3,3,6,1
16,DÂMBOVIŢA,"CAMIN CULTURAL",156,BUCIUMENI,66438,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:06",1443,1443,0,802,766,0,36,1590,788,755,47,2,461,15,116,3,43,0,9,5,1,25,11,1,20,36,7
16,DÂMBOVIŢA,"CĂMIN CULTURAL",333,PETREŞTI,65752,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:51:29",570,570,0,394,381,0,13,599,205,370,24,3,264,2,42,1,9,1,2,2,2,13,4,5,11,6,3
16,DÂMBOVIŢA,"CĂMIN CULTURAL",348,PRODULEŞTI,68529,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 12:59:31",1410,1410,0,784,758,0,26,1550,766,735,49,2,529,3,83,3,6,2,2,5,0,53,4,3,14,18,8
