precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:26:14",1046,1046,0,875,852,0,23,1140,265,821,54,4,7,5,2,2,0,321,0,10,33,3,3,407,11,5,8
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:28:13",1744,1728,16,648,632,3,13,1866,1218,602,46,13,7,2,6,2,1,130,13,11,39,4,3,357,7,7,0
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:40:03",497,497,0,415,354,0,61,547,132,375,40,3,1,2,1,1,0,41,4,8,12,3,0,289,2,3,5
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:11:09",605,605,0,480,440,0,40,660,180,462,18,6,3,0,3,0,1,48,9,7,19,2,0,344,5,11,4
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:19:33",711,711,0,609,520,0,89,765,156,537,72,0,0,0,0,0,0,68,0,0,23,0,0,446,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:50:44",820,796,24,655,609,24,22,908,253,637,18,0,2,1,0,0,0,38,10,4,21,0,2,548,5,1,5
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:39:54",1418,1418,0,831,788,0,43,1560,729,779,52,4,6,0,9,3,9,100,25,13,29,7,5,536,14,9,10
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:44",1084,1082,2,917,763,2,152,1180,263,869,48,0,7,0,2,0,2,62,20,10,31,2,1,715,7,5,5
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:54:52",1321,1316,5,969,888,0,81,1441,472,903,66,4,0,6,5,0,0,63,6,2,19,0,0,786,6,3,3
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:48:29",1324,1324,0,891,844,0,47,1457,566,830,61,12,7,2,5,0,2,82,5,3,37,1,3,648,8,0,15
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:18",592,574,18,413,368,18,27,633,220,391,22,4,3,1,0,0,0,25,8,0,10,1,0,333,1,3,2
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",92,CĂLUGĂRENI,101662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:36:13",1222,1222,0,933,898,0,35,1343,410,854,79,6,4,1,7,3,6,81,5,6,34,4,1,687,3,4,2
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:26:53",765,765,0,894,602,0,292,894,0,836,58,8,3,11,3,4,1,61,11,8,28,1,2,680,8,5,2
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:27",692,692,0,645,510,0,135,755,110,635,10,0,0,0,0,0,0,9,25,0,0,0,0,601,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:51:18",697,695,2,555,473,2,80,755,200,538,17,0,0,0,0,0,0,20,14,0,16,0,0,488,0,0,0
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:53:33",834,834,0,679,595,0,84,915,236,633,46,0,0,1,1,0,0,80,6,5,14,2,0,511,4,6,3
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:01:29",1107,1107,0,1167,987,0,180,1208,41,1083,84,5,3,4,0,0,0,66,5,1,46,3,0,939,1,9,1
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:28",1332,1332,0,951,880,0,71,1471,520,916,35,2,2,0,8,1,2,35,7,7,14,0,0,828,6,0,4
19,GIURGIU,"CĂMINUL CULTURAL REMUŞ",124,FRĂTEŞTI,102909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:35:52",1632,1632,0,1157,1057,0,100,1789,632,1091,66,16,0,9,12,6,6,137,23,14,51,9,5,759,18,20,6
19,GIURGIU,"CĂMINUL CULTURAL STOENEŞTI",218,STOENEŞTI,105348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:52:19",818,818,0,697,609,0,88,902,205,653,44,12,5,3,3,0,0,55,2,3,33,0,0,533,2,1,1
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:31:32",764,764,0,242,231,0,11,843,601,234,8,6,8,1,1,3,1,38,6,0,20,6,5,131,3,3,2
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:09",835,835,0,334,324,0,10,927,593,328,6,1,3,0,4,0,0,79,14,12,17,2,0,171,17,4,4
19,GIURGIU,"CASA DE CULTURĂ PUTINEIU",190,PUTINEIU,104715,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:54:42",913,913,0,817,714,0,103,990,173,755,62,4,5,1,2,1,6,42,7,6,38,2,0,627,3,6,5
