precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:19:23",1734,1734,0,1110,1012,0,98,1900,790,1076,34,26,727,3,3,128,26,1,42,59,7,30,2,13,0,5,4
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:20:52",1494,1494,0,977,954,0,23,1600,623,940,37,7,494,11,3,176,9,11,41,66,4,13,2,10,2,86,5
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:52:55",1601,1601,0,1216,1177,0,39,1700,484,1122,94,24,645,10,3,117,12,7,24,197,9,13,8,17,0,31,5
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:44",708,708,0,440,420,0,20,750,310,418,22,2,287,2,2,45,8,9,25,19,0,4,1,6,1,7,0
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:43:47",1651,1651,0,1138,1112,0,26,1800,662,1082,56,16,604,13,5,141,0,10,167,60,6,12,12,23,5,8,0
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:45:18",1774,1774,0,960,917,0,43,1950,990,917,43,16,488,7,7,118,41,27,70,55,10,24,10,16,8,13,7
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:28:51",1337,1337,0,982,882,0,100,1450,468,938,44,6,552,11,3,141,29,19,50,42,6,40,0,20,8,7,4
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:30:37",1166,1166,0,829,772,0,57,1300,471,805,24,7,430,8,4,114,22,26,56,35,0,51,9,23,6,12,2
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:27",318,318,0,194,168,0,26,350,156,187,7,1,68,2,0,34,14,8,36,8,1,9,2,2,1,1,0
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:11:30",1864,1863,1,1173,1055,0,118,1997,824,1144,29,5,265,3,5,122,168,50,362,41,14,44,9,24,5,22,5
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:50:31",1034,1034,0,661,557,0,104,1100,439,628,33,6,291,9,3,93,28,28,73,29,2,25,3,11,3,15,9
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:07:42",1099,1099,0,666,498,0,168,1200,534,656,10,1,157,3,2,49,77,46,203,25,2,58,5,11,7,6,4
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 06:00:56",1637,1637,0,819,724,0,95,1800,981,798,21,6,225,2,0,104,80,45,192,25,11,82,0,12,4,4,6
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:30:02",1959,1959,0,674,624,0,50,2150,1476,664,10,4,145,4,3,69,115,33,194,25,4,26,7,8,10,13,4
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:21:20",1661,1661,0,1014,814,0,200,1800,786,1003,11,5,227,6,1,119,144,107,234,34,3,79,3,16,12,9,4
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:18",1183,1183,0,865,562,0,303,1250,412,821,17,3,169,3,2,90,87,134,185,28,1,93,3,11,5,7,0
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:51",1428,1428,0,1103,1055,0,48,1500,397,1022,81,10,700,9,0,117,12,13,38,60,9,14,11,12,9,6,2
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 04:04:17",669,669,0,413,398,0,15,755,342,396,17,3,133,6,4,79,13,11,76,33,4,11,9,4,3,5,2
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:23",1273,1273,0,745,705,0,40,1350,605,712,33,7,459,13,2,88,18,17,30,41,4,9,8,6,2,8,0
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:37:58",1781,1781,0,957,912,0,45,1950,993,928,29,13,455,14,9,146,25,32,60,68,7,45,10,28,7,8,1
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:26:20",1899,1899,0,974,866,0,108,2050,1076,961,13,0,285,6,3,91,173,80,192,28,1,65,8,12,8,6,3
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:33:14",1870,1870,0,864,808,0,56,2000,1136,847,17,2,208,8,0,124,145,45,207,18,7,41,0,14,7,16,5
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:18:26",1984,1984,0,1088,954,0,134,2150,1062,1068,20,4,288,7,2,129,185,74,234,29,5,55,5,18,9,21,3
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:52:07",1845,1845,0,945,836,0,109,2000,1055,922,23,6,201,6,5,151,137,74,214,33,3,43,9,23,9,7,1
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:08:40",1859,1859,0,954,902,0,52,2050,1096,927,27,5,268,11,6,98,117,74,208,25,3,61,1,22,9,10,9
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:45:50",1773,1773,0,1035,953,0,82,1950,915,1004,26,5,361,5,1,97,107,57,229,26,11,54,5,17,6,11,12
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:46:38",1505,1505,0,937,863,0,74,1600,663,913,24,5,204,3,6,81,119,61,269,27,7,42,6,16,5,52,10
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR.3",143,BERCENI,101145,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:07:10",1857,1857,0,1282,1155,0,127,2000,718,1248,34,15,703,5,7,121,61,49,101,48,14,68,8,25,6,12,5
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:02:39",1560,1560,0,706,656,0,50,1700,994,700,6,4,172,1,0,104,42,34,192,45,4,52,10,16,8,13,3
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:08:25",1609,1609,0,756,718,0,38,1750,994,736,20,4,201,2,2,84,75,52,195,20,1,51,6,26,8,5,4
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:07:19",1606,1606,0,744,644,0,100,1700,956,727,17,2,185,1,5,67,50,47,235,37,5,51,5,13,6,16,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:28:13",1384,1384,0,572,531,0,41,1389,817,550,22,8,164,9,1,78,26,27,132,27,0,38,7,14,5,13,1
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:54:44",1349,1349,0,535,513,0,22,1450,915,513,21,0,140,8,1,75,26,26,126,27,5,26,8,11,8,24,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:59:20",1527,1527,0,729,689,0,40,1650,921,710,19,2,207,6,2,88,48,30,188,35,3,41,10,21,8,19,2
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 04:24:48",1411,1411,0,679,639,0,40,1500,822,665,13,11,189,6,3,99,44,30,163,30,1,43,6,8,5,24,3
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:17:07",1532,1532,0,616,559,0,57,1650,1034,586,30,4,159,8,4,81,31,35,138,32,2,42,7,11,6,22,4
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",216,DOMNEŞTI,102570,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:03:50",2004,2004,0,1233,1094,0,139,2200,967,1195,38,24,739,10,1,134,46,27,97,71,0,18,6,13,0,9,0
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",217,DOMNEŞTI,102570,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:07:24",1929,1929,0,1064,951,0,113,2100,1036,1028,36,14,549,3,4,140,60,28,84,49,18,33,5,20,4,14,3
25,ILFOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",34,"ORAŞ CHITILA",179285,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:44:36",1143,1143,0,546,529,0,17,1250,704,525,21,7,332,4,3,71,9,21,27,20,3,12,4,3,3,4,2
25,ILFOV,"GRĂDINIŢA DE COPII",238,GRUIU,103513,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:00:12",1796,1796,0,1102,1061,0,41,2000,898,1021,81,6,578,8,7,123,16,17,139,62,8,23,7,10,5,11,1
25,ILFOV,"GRĂDINIŢA NR. 1",196,CORBEANCA,102160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:52",1131,1131,0,739,625,0,114,1200,461,720,19,8,186,4,9,103,85,14,202,17,5,32,4,23,4,19,5
25,ILFOV,"GRĂDINIŢA NR.1",152,BRĂNEŞTI,101298,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:00:48",1249,1249,0,716,699,0,17,1350,634,687,29,9,431,6,5,92,11,6,19,50,1,25,5,17,1,1,8
25,ILFOV,"GRĂDINIȚA NR. 1",242,JILAVA,179383,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 03:09:30",1378,1378,0,983,952,0,31,1500,517,929,54,2,581,11,3,140,11,32,38,48,2,28,7,19,4,2,1
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:20:19",1123,1123,0,746,706,0,40,1200,454,719,27,2,384,7,5,134,24,17,73,25,2,20,6,8,4,4,4
25,ILFOV,"GRĂDINIȚA NR. 1 DRAGOMIREȘTI-DEAL(ȘCOALA VECHE)",223,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:26",1273,1273,0,813,679,0,134,1400,587,786,27,7,386,1,2,100,32,23,138,26,6,22,5,17,5,12,4
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:43:27",1826,1826,0,753,722,0,31,2000,1247,716,37,15,405,1,1,109,22,5,50,52,7,17,0,16,6,10,0
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:51:02",1883,1883,0,723,716,0,7,2050,1327,688,35,14,336,6,5,129,19,16,47,49,7,17,3,17,12,8,3
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:51:03",1250,1250,0,505,488,0,17,1350,845,505,0,5,279,8,4,76,13,8,36,32,4,17,4,9,2,8,0
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:36:25",1368,1368,0,619,599,0,20,1500,881,594,25,11,332,4,3,95,10,9,34,42,7,15,3,15,3,9,2
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:35:57",1242,1242,0,512,492,0,20,1347,835,506,6,3,268,5,0,87,10,13,39,26,1,29,1,7,8,6,3
25,ILFOV,"GRĂDINIȚA NR. 1 ȘTEFĂNEȘTII DE JOS",278,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:53:26",831,831,0,682,647,0,35,900,218,653,29,3,270,1,3,58,2,7,12,243,6,11,1,5,0,28,3
25,ILFOV,"GRADINITA NR. 1- ȚEGHEȘ",220,DOMNEŞTI,102570,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:54:10",1058,1058,0,771,664,0,107,1150,379,752,19,4,527,7,2,69,24,10,37,36,3,10,3,12,4,3,1
25,ILFOV,"GRADINITA NR.2",153,BRĂNEŞTI,101298,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 17:10:15",1014,1014,0,586,550,0,36,1100,514,553,33,4,365,0,5,69,20,9,0,29,1,18,2,13,1,8,9
25,ILFOV,"GRĂDINIȚA NR.2, BĂLTENI",261,PERIŞ,104546,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 03:49:46",429,429,0,298,267,0,31,500,202,280,18,1,134,1,1,47,9,2,44,19,0,8,6,2,2,4,0
25,ILFOV,"GRĂDINIȚA NR. 2 FUNDENI",214,DOBROEŞTI,179310,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:03:03",1176,1176,0,625,597,0,28,1300,675,599,26,5,295,11,5,68,21,22,52,24,2,30,9,10,7,36,2
25,ILFOV,"GRĂDINIŢA NR. 2 GAGU",205,DASCĂLU,102473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:10:57",679,679,0,495,468,0,27,761,266,457,35,3,281,12,1,50,9,15,28,33,2,5,6,4,4,2,2
25,ILFOV,"GRADINITA NR 2 MAGURELE",43,"ORAŞ MĂGURELE",179409,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:30:06",1366,1366,0,816,792,0,24,1500,684,793,23,11,460,8,3,94,28,25,56,41,1,30,3,11,2,18,2
25,ILFOV,"GRADINITA NR.3",181,CIOLPANI,101902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:21",664,664,0,381,341,0,40,700,319,366,15,2,226,2,1,54,14,8,30,14,1,6,1,3,1,1,2
25,ILFOV,"GRĂDINIŢA NR.3 DUMBRĂVENI",141,BALOTEŞTI,100969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:06:39",1060,1060,0,681,637,0,44,1150,469,660,21,5,269,9,2,65,55,22,133,34,7,26,1,11,9,8,4
25,ILFOV,"GRADINITA NR 3 VARTEJU",50,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:09:41",1640,1640,0,887,839,0,48,1694,807,855,32,4,382,12,4,136,48,17,101,59,2,33,12,19,6,12,8
25,ILFOV,"GRADINITA NR.4",180,CIOLPANI,101902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:09:01",1133,1133,0,687,637,0,50,1250,563,675,12,4,414,8,6,139,14,3,19,24,2,18,4,13,1,5,1
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:50:36",1189,1189,0,586,549,0,37,1892,1306,578,8,2,158,2,2,63,93,39,145,11,4,33,2,11,7,0,6
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:55:07",1001,1001,0,545,504,0,41,1100,555,536,9,4,147,3,3,117,49,23,105,20,3,26,3,10,10,11,2
25,ILFOV,"GRĂDINIŢA NR.5",159,CERNICA,101742,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:01:22",999,999,0,668,634,0,34,1100,432,656,12,3,449,3,1,72,10,18,22,41,4,19,3,4,5,1,1
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:22:36",1751,1751,0,880,765,0,115,1900,1020,864,16,8,203,3,2,67,149,87,208,22,7,59,6,19,8,9,7
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:11:02",1801,1801,0,932,843,0,89,1951,1019,922,10,4,258,3,3,128,118,52,210,27,1,59,2,27,16,8,6
25,ILFOV,"GRĂDINIŢA ”PRICHINDEL”",41,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:05:20",1225,1225,0,577,560,0,17,1350,773,560,17,2,289,11,1,84,19,16,37,39,5,22,8,9,5,8,5
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:37:12",1397,1397,0,837,787,0,50,1500,663,806,31,3,268,2,2,87,78,38,138,25,5,37,1,14,12,93,3
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",188,CLINCENI,102035,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:19:17",1502,1502,0,895,861,0,34,1659,764,835,60,4,473,5,2,116,29,18,72,56,4,18,8,12,7,9,2
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",187,CLINCENI,102035,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:10:31",1310,1310,0,789,746,0,43,1400,611,774,15,6,409,6,4,125,24,19,71,50,5,20,4,15,6,6,4
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:45:46",1809,1809,0,560,487,0,73,2000,1440,554,6,0,103,6,2,61,70,43,148,40,0,40,5,19,9,6,2
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:25:55",1679,1679,0,480,438,0,42,1850,1370,471,9,4,108,4,2,55,38,39,124,20,4,40,8,13,5,6,1
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:38:34",1443,1443,0,668,640,0,28,1600,933,652,15,9,180,7,6,56,73,41,161,20,2,48,8,15,7,14,5
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:48:32",2013,2013,0,659,559,0,100,2200,1541,645,14,2,169,7,2,75,39,78,126,40,2,60,4,26,3,6,6
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:23:08",1610,1610,0,1091,1073,0,18,1750,659,1003,88,9,596,14,5,122,26,23,62,71,6,12,22,18,5,7,5
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:58:19",988,988,0,649,611,0,38,1055,406,610,39,6,327,2,5,91,29,18,33,29,7,20,14,17,5,4,3
25,ILFOV,"LICEUL TEHNOLOGIC ”VINTILĂ BRĂTIANU”",221,DRAGOMIREŞTI-VALE,102605,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:47:07",1504,1504,0,1295,914,0,381,1600,305,1254,41,6,798,10,4,112,20,38,97,84,7,44,5,17,4,6,2
25,ILFOV,"LICEUL TEORETIC ALEXANDRU ROSETTI VIDRA",286,VIDRA,105936,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 17:41:08",1225,1225,0,713,682,0,31,1350,637,674,39,6,454,5,4,91,5,12,25,38,0,14,6,5,2,7,0
25,ILFOV,"LICEUL TEORETIC ”HORIA HULUBEI”",44,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:50:32",1083,1083,0,697,660,0,37,1136,439,672,25,3,388,1,2,77,31,20,74,24,6,21,4,10,2,9,0
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:46:07",904,904,0,518,492,0,26,1000,482,492,26,3,217,4,2,62,30,41,63,13,4,31,1,3,2,14,2
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:08:45",1393,1393,0,764,698,0,66,1500,736,753,11,7,278,2,9,92,65,51,142,27,6,36,2,13,5,16,2
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:09:34",1351,1351,0,804,722,0,82,1500,696,775,29,3,327,9,5,79,55,46,119,41,2,43,4,25,5,9,3
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:50:53",1260,1260,0,715,694,0,21,1350,635,690,25,8,278,9,4,78,47,24,122,35,8,34,1,10,7,12,13
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:59:52",1139,1139,0,561,463,0,98,1250,689,545,16,8,199,1,2,66,36,30,101,27,6,29,4,24,4,5,3
