precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:22:33",1338,1338,0,604,585,0,19,1500,896,586,18,32,13,21,3,8,5,22,67,10,7,1,67,290,13,8,19
23,IALOMIŢA,"CĂMIN CULTURAL",218,"VALEA MĂCRIŞULUI",105794,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:23",356,356,0,254,224,0,30,400,146,233,21,5,1,2,4,1,3,2,21,0,0,0,39,154,1,0,0
23,IALOMIŢA,"CĂMIN CULTURAL",102,BALACIU,92907,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:31:31",375,375,0,257,193,0,64,400,143,233,24,19,6,1,1,3,3,1,27,2,2,0,13,154,1,0,0
23,IALOMIŢA,"CĂMIN CULTURAL",217,"VALEA MĂCRIŞULUI",105794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:07:16",884,884,0,674,640,0,34,950,276,627,47,26,8,3,4,5,5,20,47,7,2,2,87,409,0,0,2
23,IALOMIŢA,"CĂMIN CULTURAL FRĂȚILEȘTI",203,SĂVENI,94376,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:28:32",344,344,0,173,169,0,4,350,177,159,14,4,3,0,0,0,2,4,21,0,0,0,41,84,0,0,0
23,IALOMIŢA,"CĂMIN CULTURAL GHIMPAŢI",128,CIULNIŢA,93156,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:48:24",196,196,0,139,132,0,7,200,61,135,4,5,0,0,0,0,0,2,16,1,1,0,7,100,2,1,0
23,IALOMIŢA,"CĂMIN CULTURAL ION GHICA",126,CIULNIŢA,93156,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:19:01",460,460,0,296,280,0,16,500,204,284,12,12,5,1,0,3,7,1,30,1,3,1,6,211,0,0,3
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:17:07",1340,1340,0,899,855,0,44,1500,601,852,47,49,11,9,13,56,13,3,123,8,6,6,71,467,4,6,7
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:05:54",726,726,0,487,459,0,28,800,313,466,21,19,5,3,2,1,2,3,70,1,0,2,84,263,4,3,4
23,IALOMIŢA,"CĂMIN CULTURAL POIANA - SALA DE FESTIVITĂȚI",127,CIULNIŢA,93156,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:37",350,350,0,222,216,0,6,400,178,212,10,19,3,0,0,1,2,0,22,1,3,1,11,149,0,0,0
