precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"GHEORGHE VLAD-DAN-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 13:11:51",1903,1902,1,961,945,0,16,2100,1139,933,28,40,4,48,62,4,5,19,6,19,16,26,363,28,118,171,4
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL",248,CACICA,147526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:33:10",1533,1533,0,919,892,0,27,1700,781,853,66,15,7,13,14,4,8,5,2,2,6,9,573,34,42,117,2
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL BASARABI",436,PREUTEŞTI,149968,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:09:59",1398,1398,0,893,886,0,7,1500,607,838,55,12,16,8,7,1,11,4,0,11,12,9,523,48,34,140,2
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:35",1537,1537,0,440,420,0,20,1700,1260,415,25,16,2,8,11,2,8,4,3,4,5,13,154,47,47,91,0
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:56",1818,1818,0,877,832,0,45,2000,1123,841,36,9,6,5,5,0,13,0,5,0,9,10,527,52,17,181,2
35,SUCEAVA,"CAMIN CULTURAL",484,ŞCHEIA,146432,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:22:20",186,186,0,125,117,0,8,200,75,117,8,0,0,5,1,0,0,2,1,1,1,3,55,7,10,31,0
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:08:52",1189,1189,0,645,637,0,8,1300,655,615,30,9,1,12,5,3,16,3,0,2,8,3,308,41,32,172,0
35,SUCEAVA,"CĂMIN CULTURAL",256,CÂRLIBABA,147713,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:55:02",1576,1576,0,863,855,0,8,1700,837,814,49,12,19,4,4,1,10,6,7,5,10,11,535,28,14,144,4
35,SUCEAVA,"CĂMIN CULTURAL",487,ŞCHEIA,146432,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:57:43",1720,1720,0,977,965,0,12,1800,823,937,40,30,4,32,29,1,11,4,12,5,6,10,511,38,83,156,5
35,SUCEAVA,"CĂMIN CULTURAL",486,ŞCHEIA,146432,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:42:58",1717,1717,0,899,886,0,13,1800,901,857,42,17,22,48,34,1,14,3,7,7,6,20,394,52,66,163,3
35,SUCEAVA,"CĂMIN CULTURAL",488,ŞCHEIA,146432,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:40:51",1659,1659,0,862,858,0,4,1800,938,846,16,40,7,33,45,6,9,1,9,10,3,21,368,48,86,157,3
35,SUCEAVA,"CĂMIN CULTURAL BOTOŞANA",238,BOTOŞANA,147161,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:29:54",1048,1048,0,662,655,0,7,1200,538,630,32,11,4,9,6,3,6,1,3,8,9,6,363,25,63,109,4
35,SUCEAVA,"CAMIN CULTURAL BRASCA",367,ILIŞEŞTI,147660,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:29",320,320,0,180,169,0,11,500,320,169,11,8,1,0,0,0,1,0,0,0,0,1,98,10,1,48,1
35,SUCEAVA,"CĂMIN CULTURAL CAJVANA",137,"ORAŞ CAJVANA",147633,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:17:18",1902,1902,0,810,805,0,5,2100,1290,760,50,24,10,8,10,1,10,5,2,2,3,18,432,37,29,168,1
35,SUCEAVA,"CĂMIN CULTURAL COȘNA",271,COŞNA,151497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:19:33",1223,1223,0,909,900,0,9,1348,439,883,26,7,1,11,23,21,6,3,2,1,8,17,579,45,28,129,2
35,SUCEAVA,"CĂMIN CULTURAL COSTIŞA",323,"FRĂTĂUŢII NOI",148667,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:00:54",817,817,0,359,347,0,12,900,541,337,22,10,5,5,8,0,1,4,1,2,4,3,212,10,12,60,0
35,SUCEAVA,"CĂMIN CULTURAL COZĂNEŞTI",283,DORNA-ARINI,148131,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:27:59",1209,1209,0,766,751,0,15,1900,1134,736,30,24,3,17,18,2,3,4,7,5,6,9,480,30,26,98,4
35,SUCEAVA,"CĂMIN CULTURAL DRAGOȘA",330,FRUMOSU,148729,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:08:07",346,346,0,219,213,0,6,400,181,199,20,1,2,5,1,0,1,0,0,9,1,0,123,6,1,48,1
35,SUCEAVA,"CAMIN CULTURAL FRATAUTII VECHI",325,"FRĂTĂUŢII VECHI",148694,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:08:31",1566,1566,0,695,686,0,9,1600,905,628,67,23,2,10,31,2,7,4,5,14,8,10,341,24,22,122,3
35,SUCEAVA,"CĂMIN CULTURAL GĂLĂNEŞTI",335,GĂLĂNEŞTI,148872,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:20",1019,1019,0,423,420,0,3,1100,677,393,30,14,2,3,7,0,20,3,2,7,0,7,201,22,67,37,1
35,SUCEAVA,"CAMIN CULTURAL GLODU",416,PANACI,149682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:04:33",255,255,0,120,111,0,9,300,180,114,6,2,1,0,3,0,1,1,0,0,3,0,63,12,2,25,1
35,SUCEAVA,"CĂMIN CULTURAL HOLDA",136,"ORAŞ BROŞTENI",147358,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:01:50",1030,1030,0,582,572,0,10,1273,691,543,39,16,4,6,7,2,68,1,4,19,7,12,240,43,13,100,1
35,SUCEAVA,"CĂMIN CULTURAL JAHALIA",450,RÂŞCA,150114,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:01:20",273,273,0,157,127,0,30,294,137,146,11,2,2,4,0,0,1,2,0,0,4,2,72,9,9,38,1
35,SUCEAVA,"CĂMIN CULTURAL LITENI",398,MOARA,149414,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:05",758,758,0,431,422,0,9,800,369,410,21,1,18,0,9,0,4,4,1,4,12,8,229,30,17,71,2
35,SUCEAVA,"CĂMIN CULTURAL LUCĂCEȘTI",293,DRĂGOIEŞTI,148328,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:54",219,219,0,156,147,0,9,300,144,140,16,1,1,2,2,0,4,1,1,0,2,4,62,11,18,31,0
35,SUCEAVA,"CĂMIN CULTURAL MIHAI BOLEAC",226,BOROAIA,147072,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:49:02",814,814,0,394,380,0,14,900,506,374,20,11,0,8,6,1,3,0,3,1,3,10,235,26,14,53,0
35,SUCEAVA,"CĂMIN CULTURAL PĂRHĂUȚI",493,TODIREŞTI,150524,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:39:46",965,965,0,623,610,0,13,1100,477,584,39,8,3,6,7,2,14,2,3,7,6,2,408,43,8,61,4
35,SUCEAVA,"CAMIN CULTURAL PLOPENI",179,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:31:56",1982,1982,0,1133,1126,0,7,2200,1067,1057,76,36,2,24,13,11,10,5,9,5,15,18,592,51,61,205,0
35,SUCEAVA,"CĂMIN CULTURAL PLUTONIŢA",155,"ORAŞ FRASIN",148612,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:13:02",935,935,0,501,487,0,14,1000,499,476,25,19,1,8,5,1,1,3,1,4,7,9,279,43,6,89,0
