precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 21:49:00",1384,1384,0,550,539,0,11,1528,976,522,28,10,30,72,2,3,14,23,2,0,6,0,21,246,11,23,59
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:24:54",591,591,0,387,347,0,40,652,265,350,37,1,11,42,1,3,3,3,0,1,1,0,1,260,6,7,10
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:22:50",1397,1397,0,663,621,0,42,1536,873,631,32,4,28,81,2,1,11,19,6,9,3,3,34,307,15,23,85
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:18",1460,1460,0,764,746,0,18,1615,851,726,38,3,30,104,7,10,11,14,4,2,1,13,13,462,1,13,38
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:27:25",1361,1361,0,814,802,0,12,1501,687,748,66,1,27,116,3,1,5,13,6,12,2,4,5,507,8,19,19
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:40:07",766,766,0,429,421,0,8,840,411,414,15,2,14,91,2,1,2,7,1,5,1,2,7,225,2,12,40
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:53:42",1108,1108,0,579,543,0,36,1217,638,546,33,0,27,92,0,0,1,6,24,1,4,6,6,344,10,6,19
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:40:02",1053,1053,0,621,594,0,27,1158,537,588,33,3,35,52,4,1,1,6,0,7,0,2,11,428,7,10,21
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:34:06",999,999,0,595,563,0,32,1109,514,562,33,0,14,57,2,3,1,12,6,6,3,1,3,404,3,14,33
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:11:47",507,507,0,278,239,0,39,556,278,252,26,0,6,25,0,1,0,0,1,1,0,1,2,188,3,1,23
