precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi"
39,VASLUI,"ANEXA LA BISERICA „NAȘTEREA MAICII DOMNULUI” RĂŞCANI",481,ŞULETEA,166137,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:24:24",202,202,0,129,102,0,27,200,71,123,6,1,9,3,0,0,1,1,0,101,0,0,1,5,0,1,0
39,VASLUI,"CĂMIN CULTURAL",367,LIPOVĂŢ,164687,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:20:43",472,472,0,222,212,0,10,500,278,192,30,0,14,1,0,0,0,2,0,164,1,0,0,6,1,3,0
39,VASLUI,"CĂMIN CULTURAL COZMEȘTI",257,COZMEŞTI,167277,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:28",224,224,0,112,108,0,4,300,188,104,8,0,27,0,0,1,1,4,0,62,2,0,0,2,0,3,2
39,VASLUI,"CĂMIN CULTURAL POPEŞTI",288,DRAGOMIREŞTI,163486,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:12:48",326,326,0,178,173,0,5,400,222,156,22,2,14,0,0,1,0,6,0,109,13,2,0,7,2,0,0
39,VASLUI,"CAMIN CULTURAL, SAT VIIȘOARA",514,VIIŞOARA,166707,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:11:56",864,864,0,481,407,0,74,900,421,444,35,3,44,3,0,3,0,4,1,349,9,2,2,19,2,1,2
39,VASLUI,"CĂMIN CULTURAL VULTUREŞTI",532,VULTUREŞTI,166985,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:03:02",831,831,0,520,506,0,14,900,380,498,22,5,62,6,0,2,3,3,5,362,12,1,3,15,1,9,9
39,VASLUI,"CAMINUL CULTURAL",190,BANCA,162194,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:51:34",311,311,0,174,168,0,6,400,226,165,9,0,18,4,0,0,0,0,0,120,14,0,0,3,3,1,2
39,VASLUI,"CĂMINUL CULTURAL BÎRZEŞTI",475,"ŞTEFAN CEL MARE",166057,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:11:52",977,977,0,543,517,0,26,1100,557,508,35,3,45,2,0,3,0,1,2,415,8,0,2,19,0,5,3
39,VASLUI,"CĂMINUL CULTURAL BLĂGEŞTI",214,BLĂGEŞTI,162559,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:38",743,743,0,406,379,0,27,800,394,368,38,7,75,3,1,1,0,0,5,241,9,0,3,12,2,5,4
39,VASLUI,"CĂMINUL CULTURAL BOGDĂNEŞTI",222,BOGDĂNEŞTI,162693,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:31:43",781,771,10,464,432,10,22,800,336,403,61,7,40,11,0,0,1,3,3,86,224,0,2,15,1,4,6
39,VASLUI,"CĂMINUL CULTURAL BOȚEȘTI",232,BOŢEŞTI,162871,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:57:15",690,690,0,404,376,0,28,800,396,363,41,18,33,3,0,5,1,5,3,195,50,1,2,11,11,12,13
39,VASLUI,"CĂMINUL CULTURAL CIOCANI",239,CIOCANI,167268,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:22:40",917,917,0,564,547,0,17,1000,436,502,62,20,135,3,0,2,1,2,2,230,78,0,0,21,0,4,4
39,VASLUI,"CĂMINUL CULTURAL CRIVESTI",506,TUTOVA,166529,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:41:58",341,341,0,195,187,0,8,400,205,180,15,1,55,3,1,0,1,4,0,98,4,0,0,8,0,3,2
39,VASLUI,"CĂMINUL CULTURAL DIN SAT ȚIFU",193,BANCA,162194,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:24:40",284,284,0,201,190,0,11,300,99,176,25,1,21,2,1,1,0,0,0,140,4,0,0,2,1,2,1
39,VASLUI,"CĂMINUL CULTURAL DRAGOMIREŞTI",283,DRAGOMIREŞTI,163486,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:52:42",421,421,0,239,226,0,13,500,261,202,37,4,17,0,0,0,0,5,3,123,42,0,0,6,1,1,0
39,VASLUI,"CĂMINUL CULTURAL, DRAXENI",449,REBRICEA,165719,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:30:00",654,654,0,363,354,0,9,700,337,322,41,2,61,1,0,0,1,1,4,233,8,0,2,5,1,1,2
39,VASLUI,"CĂMINUL CULTURAL FĂLCIU",308,FĂLCIU,163832,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:31:43",1028,1028,0,470,459,0,11,1100,630,452,18,4,55,9,0,2,2,3,20,295,18,0,3,24,3,8,6
39,VASLUI,"CĂMINUL CULTURAL, GHERGHEŞTI",328,GHERGHEŞTI,163967,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:21:44",882,882,0,475,460,0,15,1000,525,428,47,2,141,7,0,3,0,7,1,228,7,0,4,25,2,1,0
39,VASLUI,"CĂMINUL CULTURAL GÎRCENI",322,GÂRCENI,164062,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:47:15",642,642,0,347,295,0,52,700,353,320,27,2,43,0,0,3,1,1,3,237,14,1,1,5,3,5,1
39,VASLUI,"CĂMINUL CULTURAL GUGEȘTI",233,BOŢEŞTI,162871,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:51:46",765,765,0,441,405,0,36,800,359,395,46,3,63,2,1,2,0,9,1,231,23,2,1,34,4,7,12
39,VASLUI,"CĂMINUL CULTURAL IBĂNEŞTI",347,IBĂNEŞTI,167222,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:19:30",517,517,0,337,317,0,20,600,263,287,50,7,25,4,0,1,2,2,2,212,6,1,2,19,0,3,1
39,VASLUI,"CĂMINUL CULTURAL LEOȘTI",491,TĂTĂRĂNI,166315,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:50:16",227,227,0,128,118,0,10,300,172,110,18,0,20,2,1,1,0,2,1,70,4,1,1,5,1,1,0
39,VASLUI,"CĂMINUL CULTURAL MUNTENII DE SUS",386,"MUNTENII DE SUS",167302,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:55:33",1193,1193,0,448,441,0,7,1300,852,413,35,7,60,5,0,0,2,7,4,261,25,0,8,12,4,7,11
39,VASLUI,"CĂMINUL CULTURAL REDIU-GALIAN",245,CODĂEŞTI,163002,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:18:52",453,453,0,231,219,0,12,500,269,216,15,1,43,16,1,3,1,4,1,115,6,0,0,16,0,5,4
39,VASLUI,"CĂMINUL CULTURAL, ŞTEFAN CEL MARE",474,"ŞTEFAN CEL MARE",166057,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:39:35",588,588,0,358,351,0,7,600,242,358,0,0,35,0,1,2,3,4,3,270,7,1,2,17,1,5,7
39,VASLUI,"CĂMINUL CULTURAL TĂCUTA",484,TĂCUTA,166235,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:53:59",660,660,0,378,368,0,10,700,322,358,20,6,172,1,2,0,2,1,1,103,36,0,3,17,1,5,8
39,VASLUI,"CĂMINUL CULTURAL TUTOVA",502,TUTOVA,166529,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:19:52",1112,1112,0,633,615,0,18,1200,567,602,31,2,187,8,0,6,1,2,6,325,16,0,4,30,2,8,5
39,VASLUI,"CĂMINUL CULTURAL ” VASILE FOLESCU” CREŢEŞTI",260,CREŢEŞTI,163208,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:36:59",434,433,1,294,274,0,20,500,208,272,20,1,32,1,0,1,0,4,2,207,5,1,0,11,0,3,4
39,VASLUI,"CĂMINUL CULTURAL ”VIRGIL CARAIVAN” ŞULETEA",478,ŞULETEA,166137,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:42:41",893,893,0,524,470,0,54,1000,476,487,37,3,69,6,0,4,3,7,4,314,39,0,3,13,4,13,5
39,VASLUI,"CĂMINUL CULTURAL ZĂPODENI",538,ZĂPODENI,167071,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:02:16",1085,1085,0,688,629,0,59,1200,512,652,36,4,93,5,0,3,2,5,11,422,74,2,2,16,5,6,2
39,VASLUI,"CASA DE CULTURĂ",163,"ORAŞ NEGREŞTI",161856,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:03:53",1408,1408,0,625,615,0,10,1600,975,583,42,2,80,6,3,5,8,7,12,321,48,2,8,36,2,16,27
39,VASLUI,"CASA DE CULTURĂ",162,"ORAŞ NEGREŞTI",161856,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:35:32",1490,1490,0,657,645,0,12,1600,943,633,24,1,75,8,5,3,2,12,11,354,91,0,9,26,4,10,22
39,VASLUI,"CASA DE CULTURA ”ALEXANDRU GIUGARU”",143,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:58:04",1587,1587,0,435,411,0,24,1801,1366,413,22,4,81,5,0,4,4,3,14,223,28,2,4,10,1,21,9
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",2,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:17:28",1494,1491,3,528,515,1,12,1600,1072,486,42,5,60,11,1,3,6,2,19,220,83,2,11,22,1,17,23
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",1,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:08:21",1384,1384,0,609,590,0,19,1400,791,585,24,7,77,9,5,2,9,4,28,279,105,1,10,23,5,8,13
39,VASLUI,"CASA DE CULTURA MURGENI",154,"ORAŞ MURGENI",164981,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:41:22",1751,1751,0,749,710,0,39,2001,1258,694,49,1,173,2,0,2,2,4,5,440,22,0,1,20,4,11,7
39,VASLUI,"CENTRU DE ACTIVITĂȚI SOCIALE",356,IVĂNEŞTI,164393,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:33:11",391,391,0,190,187,0,3,400,210,179,11,7,33,2,0,3,0,0,1,123,2,0,1,3,1,1,2
39,VASLUI,"CENTRU DE ZI PENTRU COPII BUHĂIEŞTI",533,VULTUREŞTI,166985,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:26:15",601,601,0,334,324,0,10,700,366,312,22,0,21,1,1,3,2,1,7,243,11,1,0,17,0,1,3
39,VASLUI,"CENTRUL COMUNITAR INTEGRAT DIN LOCALITATEA SOLEȘTI",460,SOLEŞTI,165899,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:33:20",932,932,0,462,456,0,6,1000,538,428,34,1,89,9,2,2,2,4,5,235,37,1,6,17,4,9,5
39,VASLUI,"CENTRUL COMUNITAR INTEGRAT HUȘI",134,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:20:03",1088,1087,1,379,367,1,11,1200,821,368,11,0,109,2,5,3,2,1,7,166,27,3,1,17,3,9,13
39,VASLUI,"CENTRUL CONSULTATIV HUȘI",136,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:26:45",1613,1613,0,617,561,0,56,1900,1283,580,37,3,111,4,1,1,0,6,21,306,47,2,12,41,3,11,11
39,VASLUI,"CENTRUL CULTURAL BĂLTENI",205,BĂLTENI,162452,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:49:57",838,836,2,439,433,0,6,900,461,413,26,2,58,7,1,5,3,3,3,265,21,0,4,17,3,14,7
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”",315,FEREŞTI,167295,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:20:46",1794,1794,0,579,521,0,58,2000,1421,537,42,4,34,2,1,2,0,4,1,443,11,0,1,24,1,7,2
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”, FEREŞTI",314,FEREŞTI,167295,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:56:05",1548,1548,0,307,298,0,9,1600,1293,293,14,4,25,1,1,3,1,0,6,238,0,1,3,6,0,1,3
39,VASLUI,"CENTRUL CULTURAL ”ȘTEFAN CIOBOTĂRAȘU” SAT LIPOVAȚ",363,LIPOVĂŢ,164687,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:20:59",1326,1326,0,666,656,0,10,1500,834,627,39,1,67,5,3,1,3,5,5,448,26,0,8,42,0,9,4
39,VASLUI,"CENTRUL CULTURAL STROE S. BELLOESCU GRIVIŢA",333,GRIVIŢA,164133,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:53:50",1320,1319,1,660,640,0,20,1500,840,615,45,0,61,6,1,4,4,5,7,455,14,0,1,38,2,9,8
39,VASLUI,"CENTRUL DE ZI GARA ROŞIEŞTI",455,ROŞIEŞTI,165817,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:35:57",309,309,0,179,169,0,10,400,221,164,15,1,24,0,0,2,3,4,1,64,44,1,4,13,0,3,0
39,VASLUI,"CENTRUL DE ZI TOMȘA",341,HOCENI,164197,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:29:55",96,96,0,68,60,0,8,100,32,66,2,0,7,1,0,0,0,0,0,56,0,0,0,2,0,0,0
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",4,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:05",1733,1733,0,13,7,0,6,1800,1787,10,3,1,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",3,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:29:13",1840,1839,1,143,135,0,8,2000,1857,138,5,0,25,1,0,1,0,1,3,72,17,0,2,9,0,3,4
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",28,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:12:42",944,944,0,260,252,0,8,1000,740,247,13,1,44,3,3,0,1,5,7,96,46,1,4,10,0,13,13
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",26,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:27:51",1766,1766,0,22,12,0,10,2000,1978,22,0,0,5,0,0,1,0,0,0,7,1,0,0,0,1,3,4
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",25,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:08:39",1853,1853,0,783,709,0,74,1853,1070,750,33,5,148,13,9,3,3,4,23,321,111,0,17,27,6,25,35
39,VASLUI,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",27,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:47:48",1716,1716,0,50,40,0,10,1800,1750,46,4,1,5,1,0,0,0,0,1,20,8,0,1,3,0,3,3
39,VASLUI,"CENTRU SOCIAL BUMBĂTA",513,VETRIŞOAIA,166672,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:50:36",84,84,0,68,48,0,20,100,32,67,1,0,12,0,0,0,0,0,0,50,2,0,0,0,1,0,2
39,VASLUI,"CENTRU SOCIAL POIENEȘTI",415,POIENEŞTI,165336,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:25:55",737,737,0,463,422,0,41,800,337,430,33,5,71,3,3,4,3,1,10,308,7,0,2,11,0,2,0
39,VASLUI,"CLUBUL PENSIONARILOR",85,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:59:13",1858,1858,0,24,15,0,9,2000,1976,22,2,1,5,1,0,0,0,0,0,7,5,0,0,2,0,0,1
