precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA AUR-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:38:49",1145,1145,0,542,530,0,12,1300,758,526,16,2,8,45,2,4,16,4,1,2,18,9,308,10,20,8,69
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:28:03",321,321,0,174,169,0,5,400,226,170,4,1,3,5,3,1,5,0,0,0,18,3,93,4,5,6,23
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:49:10",716,716,0,341,329,0,12,800,459,312,29,3,3,6,1,1,2,2,2,3,27,2,207,1,3,2,47
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:09:27",1242,1242,0,469,445,0,24,1400,931,448,21,6,3,43,4,2,15,1,5,7,29,21,170,24,11,15,92
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:22:09",1078,1078,0,445,428,0,17,1100,655,428,17,5,2,46,5,3,13,4,2,5,11,13,217,28,6,9,59
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:44:14",1039,1038,1,784,717,0,67,1121,337,767,17,6,7,10,3,2,12,10,0,2,32,7,564,9,5,11,87
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:03:46",588,588,0,252,231,0,21,633,381,227,25,0,1,0,0,0,1,2,2,1,10,0,164,3,10,0,33
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:15:06",880,880,0,509,463,0,46,950,441,473,36,4,4,16,4,1,2,2,0,3,30,4,196,4,122,8,73
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:05:13",137,137,0,111,105,0,6,150,39,99,12,0,1,0,0,1,0,0,0,0,2,1,17,0,74,0,3
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:54",67,67,0,59,41,0,18,79,20,55,4,1,0,3,0,0,0,0,0,0,2,0,39,0,3,0,7
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:37:37",1110,1110,0,508,465,0,43,1152,644,479,29,1,3,8,1,2,10,2,1,4,20,0,293,1,8,4,121
1,ALBA,"CĂMIN CULTURAL CĂPUD",171,"ORAŞ TEIUŞ",8096,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:00:00",254,254,0,158,148,0,10,279,121,148,10,1,1,4,0,0,1,0,0,1,4,3,87,3,16,2,25
1,ALBA,"CĂMIN CULTURAL CISTEI",317,MIHALŢ,5700,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:14:19",473,473,0,362,328,0,34,505,143,352,10,0,5,5,1,0,5,0,0,0,26,2,239,5,2,2,60
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:14",408,408,0,339,281,0,58,460,121,314,25,2,1,19,1,0,4,2,0,2,9,6,235,4,2,6,21
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:41:11",332,331,1,243,222,0,21,366,123,233,10,3,2,6,5,0,7,1,1,2,5,8,163,2,0,3,25
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:06",525,502,23,391,361,23,7,546,155,374,17,4,7,14,2,3,10,3,2,2,12,6,200,5,5,9,90
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:14",203,203,0,92,85,0,7,235,143,83,9,0,1,5,0,0,0,0,0,1,1,0,56,0,1,0,18
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:31:22",83,83,0,66,52,0,14,100,34,59,7,1,0,0,0,0,0,0,0,1,1,0,46,0,0,1,9
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:26:54",261,261,0,218,191,0,27,292,74,209,9,0,2,2,1,0,1,3,1,1,3,1,89,1,88,4,12
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:27:26",340,333,7,222,206,1,15,361,139,204,18,2,2,12,1,3,4,2,0,0,4,15,100,7,3,7,42
1,ALBA,"CĂMIN CULTURAL LUNCA TÂRNAVEI",408,ŞONA,7865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:32",316,316,0,202,189,0,13,341,139,192,10,0,5,5,0,1,6,1,0,1,11,4,134,4,3,2,15
1,ALBA,"CĂMIN CULTURAL MĂTIȘEȘTI",274,HOREA,4767,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:29:35",337,337,0,240,228,0,12,357,117,227,13,0,2,1,0,0,2,2,0,1,16,1,123,4,0,0,75
1,ALBA,"CĂMIN CULTURAL OBREJA",318,MIHALŢ,5700,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:41:36",421,421,0,291,259,0,32,470,179,286,5,0,0,12,1,0,6,1,0,0,9,4,211,1,1,3,37
1,ALBA,"CĂMIN CULTURAL POIANA AIUDULUI",294,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:01:46",258,258,0,156,148,0,8,280,124,149,7,4,1,3,1,0,0,1,1,0,9,2,114,2,1,1,9
1,ALBA,"CĂMIN CULTURAL SÂNBENEDIC",251,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:44",186,181,5,134,115,5,14,200,66,124,10,0,2,2,0,0,2,0,0,0,7,1,93,1,9,1,6
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:39",382,382,0,219,211,0,8,420,201,207,12,0,0,1,0,1,3,3,0,0,10,3,139,0,5,0,42
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:21",155,155,0,95,86,0,9,169,74,91,4,0,0,5,0,0,1,0,0,1,2,0,63,2,2,1,14
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:31:55",685,685,0,517,458,0,59,746,229,483,34,2,8,20,3,0,20,3,0,0,7,28,248,17,2,11,114
1,ALBA,"CĂMIN CULTURAL ȘIBOT",401,ŞIBOT,7810,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:18:53",1153,1153,0,743,686,0,57,1280,537,704,39,3,6,27,2,2,4,5,0,5,27,22,409,15,6,6,165
1,ALBA,"CĂMIN CULTURAL ȘILEA",252,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:46:50",243,243,0,174,157,0,17,269,95,160,14,0,2,3,1,0,2,2,0,0,5,2,119,0,14,0,10
1,ALBA,"CĂMIN CULTURAL SILIVAŞ",267,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:11:49",242,242,0,161,153,0,8,275,114,124,37,1,1,1,0,0,2,0,0,0,4,0,106,0,2,0,7
1,ALBA,"CĂMIN CULTURAL ŞPĂLNACA",268,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:44:54",131,131,0,88,71,0,17,160,72,87,1,0,0,3,0,0,1,2,0,0,1,1,63,0,2,1,13
1,ALBA,"CĂMIN CULTURAL TĂUNI",430,"VALEA LUNGĂ",8354,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:13:44",227,227,0,139,123,0,16,245,106,128,11,0,1,0,0,0,0,0,1,0,7,1,59,0,1,0,58
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:08",360,347,13,266,248,13,5,410,144,248,18,3,3,5,1,2,6,0,0,4,7,8,150,9,2,7,41
1,ALBA,"CĂMIN CULTURAL TURDAŞ",269,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:42",138,138,0,83,72,0,11,160,77,77,6,0,4,0,0,1,0,1,0,0,3,0,51,0,1,0,16
1,ALBA,"CĂMIN CULTURAL VĂLIȘOARA",295,LIVEZILE,5167,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:07:16",129,129,0,96,78,0,18,140,44,91,5,2,0,4,0,0,0,0,0,1,7,0,62,0,1,1,13
1,ALBA,"CĂMIN CULTURAL VAMA SEACĂ",270,HOPÂRTA,4703,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:22",144,144,0,110,102,0,8,170,60,109,1,1,1,7,0,0,1,0,0,3,3,0,73,0,1,2,17
1,ALBA,"CĂMINUL CULTURAL",345,POŞAGA,6468,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:48:28",339,339,0,276,225,0,51,398,122,257,19,0,1,28,0,0,3,2,0,0,4,9,152,4,1,6,47
1,ALBA,"CĂMINUL CULTURAL",224,CERU-BĂCĂINŢI,3841,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:39",246,198,48,229,172,9,48,300,71,208,21,0,2,8,1,0,3,0,0,0,7,2,158,2,1,5,19
1,ALBA,"CĂMINUL CULTURAL ALBAC",184,ALBAC,2130,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:18:50",722,722,0,642,547,0,95,805,163,601,41,3,6,22,0,0,4,3,3,4,29,6,364,16,2,7,132
1,ALBA,"CĂMINUL CULTURAL ALECUŞ",406,ŞONA,7865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:32",72,72,0,36,28,0,8,79,43,31,5,0,0,2,3,0,0,0,0,0,1,0,18,0,2,0,5
