precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi"
10,BUZĂU,"ANEXĂ IMOBIL-PRIMĂRIA COMUNEI CALVINI",177,CALVINI,45753,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:29:56",786,786,0,548,488,0,60,862,314,485,63,0,372,0,7,2,3,0,10,0,16,0,4,0,6,8,57
10,BUZĂU,"CĂMIN CULTURAL",122,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:56:59",697,697,0,460,447,0,13,760,300,435,25,0,256,1,5,4,4,0,0,0,14,12,5,0,37,7,90
10,BUZĂU,"CĂMIN CULTURAL",124,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:52",181,181,0,124,116,0,8,200,76,117,7,1,68,0,2,1,0,0,0,0,6,1,5,1,13,1,18
10,BUZĂU,"CĂMIN CULTURAL",327,RÂMNICELU,48968,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:06:04",1045,1045,0,765,764,0,1,1140,375,589,176,1,326,1,2,1,7,3,4,2,16,65,7,0,4,8,142
10,BUZĂU,"CÃMIN CULTURAL",387,ŢINTEŞTI,49849,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:04:21",1799,1799,0,1177,1152,0,25,1980,798,1088,89,9,619,5,5,9,4,5,12,3,240,67,7,0,8,17,78
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:36:43",92,92,0,76,69,0,7,100,24,70,6,1,46,0,1,0,1,0,2,0,1,5,2,0,0,1,10
10,BUZĂU,"CAMIN CULTURAL BALTENI",182,"C.A. ROSETTI",45815,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:31:33",346,346,0,249,235,0,14,380,131,209,40,0,163,0,1,3,0,1,4,0,3,10,2,0,3,3,16
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",109,"ORAŞ NEHOIU",47916,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:50:03",536,536,0,344,319,0,25,590,246,327,17,1,195,2,3,3,2,0,3,3,21,16,3,0,17,13,45
10,BUZĂU,"CĂMIN CULTURAL CĂNEŞTI",187,CĂNEŞTI,45888,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:59:29",392,392,0,325,262,0,63,430,105,311,14,2,226,1,2,0,6,0,4,0,20,13,5,0,2,3,27
10,BUZĂU,"CĂMIN CULTURAL CU BIBLIOTECĂ",236,GHERĂSENI,46803,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:55:12",1449,1449,0,890,855,0,35,1600,710,825,65,13,531,5,9,3,2,7,13,1,38,52,16,1,9,10,115
