precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi"
15,COVASNA,"ARENA SEPSI",47,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:56:01",115,115,0,93,80,0,13,200,107,92,1,2,5,77,0,1,0,0,2,0,0,3,1,1,0,0,0
15,COVASNA,"BIROUL INFOTURISM",183,SÂNZIENI,64826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:17:59",1189,1189,0,709,618,0,91,1228,519,689,20,3,3,677,2,0,0,1,0,0,2,0,1,0,0,0,0
15,COVASNA,"CĂMIN CULTURAL",50,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:40:50",390,390,0,194,187,0,7,500,306,189,5,3,2,172,0,1,1,0,0,1,1,4,0,1,0,2,1
15,COVASNA,"CĂMIN CULTURAL",49,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:31:22",710,710,0,308,296,0,12,800,492,300,8,0,10,270,2,1,0,0,0,0,0,13,2,2,0,0,0
15,COVASNA,"CĂMIN CULTURAL FLOROAIA",89,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:44",1181,1181,0,635,623,0,12,1300,665,607,28,170,195,4,6,23,3,3,3,0,3,138,10,18,3,21,7
15,COVASNA,"CĂMIN CULTURAL RACOŞUL DE SUS",74,"ORAŞ BARAOLT",63447,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:27:16",733,733,0,367,347,0,20,800,433,336,31,8,0,316,1,1,2,0,0,1,1,0,2,4,0,0,0
15,COVASNA,"CĂMIN CULTURAL ZĂLAN",106,BODOC,63893,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:14:16",532,532,0,308,296,0,12,600,292,296,12,3,0,285,0,1,2,0,0,0,0,2,1,1,1,0,0
15,COVASNA,"CĂMINUL CULTURAL BAŢANII MICI",99,BĂŢANI,63802,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:42:28",436,436,0,247,234,0,13,500,253,230,17,2,1,218,0,0,2,0,0,0,2,2,2,0,0,1,0
15,COVASNA,"CĂMINUL CULTURAL BIBORŢENI",70,"ORAŞ BARAOLT",63447,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:47:11",564,564,0,350,334,0,16,602,252,338,12,1,3,325,0,0,1,0,0,1,3,2,1,0,0,1,0
15,COVASNA,"CĂMINUL CULTURAL BIXAD",103,BIXAD,65121,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:29:22",1383,1383,0,665,641,0,24,1500,835,639,26,7,14,590,1,2,4,2,0,0,3,14,0,1,0,0,1
15,COVASNA,"CĂMINUL CULTURAL BRĂDET",88,"ORAŞ ÎNTORSURA BUZĂULUI",63580,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:04:11",981,981,0,458,452,0,6,1099,642,429,28,99,146,7,10,27,3,2,2,1,2,87,10,17,3,12,1
15,COVASNA,"CĂMINUL CULTURAL CĂPENI",72,"ORAŞ BARAOLT",63447,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:53:11",806,806,0,410,399,0,11,900,490,401,9,0,7,381,2,0,0,1,0,2,1,0,0,2,3,1,1
15,COVASNA,"CĂMINUL CULTURAL CATALINA",123,CATALINA,64130,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:01:59",1082,1082,0,623,618,0,5,1198,574,583,40,11,14,529,1,3,0,2,4,1,2,9,2,1,0,1,3
15,COVASNA,"CĂMINUL CULTURAL CHICHIŞ",133,CHICHIŞ,64238,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:50:51",849,849,0,597,537,0,60,900,303,573,24,27,30,486,2,5,2,1,0,0,1,9,2,2,1,5,0
15,COVASNA,"CĂMINUL CULTURAL DALNIC",136,DALNIC,65147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:36:33",754,754,0,418,405,0,13,800,382,342,76,7,13,310,0,0,0,2,1,0,0,2,0,3,1,2,1
15,COVASNA,"CĂMINUL CULTURAL DIN BODOC",104,BODOC,63893,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:45:01",931,931,0,646,627,0,19,1000,354,621,25,6,6,600,1,1,0,2,0,0,1,3,0,0,0,0,1
15,COVASNA,"CĂMINUL CULTURAL DIN SATUL FOTOŞ",149,GHIDFALĂU,64345,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:22:30",297,297,0,229,207,0,22,300,71,226,3,0,3,219,0,1,0,0,0,0,0,1,1,1,0,0,0
15,COVASNA,"CĂMINUL CULTURAL DIN SATUL GHIDFALĂU",147,GHIDFALĂU,64345,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:23:24",927,927,0,436,409,0,27,1000,564,416,20,2,7,399,1,0,0,0,0,0,1,2,1,2,1,0,0
15,COVASNA,"CĂMINUL CULTURAL ESTELNIC",141,ESTELNIC,65154,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:12:48",687,687,0,409,375,0,34,800,391,389,20,4,4,377,0,0,0,0,0,0,0,2,1,0,1,0,0
15,COVASNA,"CĂMINUL CULTURAL HĂGHIG",151,HĂGHIG,64390,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:18:31",1441,1441,0,749,689,0,60,1594,845,630,119,134,225,146,3,50,13,6,0,5,1,3,1,19,3,16,5
15,COVASNA,"CĂMINUL CULTURAL HĂTIUCA",124,CATALINA,64130,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:27:30",366,366,0,261,258,0,3,400,139,251,10,1,5,237,0,0,2,0,0,0,4,2,0,0,0,0,0
15,COVASNA,"CĂMINUL CULTURAL HILIB",169,OJDULA,64602,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:08:13",204,204,0,133,125,0,8,300,167,124,9,1,2,118,0,0,0,0,0,0,1,1,0,0,0,1,0
15,COVASNA,"CĂMINUL CULTURAL ILIENI",153,ILIENI,64425,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:58:51",876,876,0,644,611,0,33,1000,356,611,33,8,15,561,2,1,3,1,1,3,1,4,2,3,2,2,2
15,COVASNA,"CĂMINUL CULTURAL LISNĂU",173,OZUN,64639,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:29:55",436,436,0,208,194,0,14,500,292,200,8,10,10,161,2,3,0,0,1,0,0,2,1,6,0,1,3
15,COVASNA,"CĂMINUL CULTURAL LUNGA",65,"MUNICIPIUL TÂRGU SECUIESC",63740,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 10:52:53",982,982,0,424,416,0,8,1100,676,409,15,6,9,379,1,1,0,1,1,0,0,3,3,3,1,1,0
15,COVASNA,"CĂMINUL CULTURAL LUTOASA",162,MERENI,65105,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:51:49",332,332,0,204,186,0,18,400,196,197,7,0,0,194,0,1,0,0,0,0,0,1,1,0,0,0,0
