precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
18,GALAŢI,"AȘEZĂMÂNTUL CULTURAL NEGREA",393,SCHELA,77153,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:15:09",533,533,0,340,311,0,29,587,247,309,31,0,6,1,10,1,1,12,0,29,0,3,1,0,235,6,4
18,GALAŢI,"BIBLIOTECA COMUNALA",350,MOVILENI,76745,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:53:51",1541,1541,0,729,709,0,20,1697,968,638,91,6,7,2,22,7,4,60,8,165,5,2,0,1,336,3,10
18,GALAŢI,"CĂMIN CULTURAL",239,BEREŞTI-MERIA,75356,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:28",209,209,0,126,106,0,20,232,106,121,5,0,0,0,8,3,2,8,1,5,1,1,1,1,87,0,3
18,GALAŢI,"CAMIN CULTURAL BURSUCANI",225,BĂLĂBĂNEŞTI,75542,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:43:17",481,481,0,265,258,0,7,529,264,245,20,1,0,0,4,8,0,5,1,20,1,1,0,1,202,0,1
18,GALAŢI,"CĂMIN CULTURAL DIN SAT FURCENII VECHI",275,COSMEŞTI,76040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:39:30",1267,1267,0,574,544,0,30,1395,821,546,28,4,4,1,53,4,3,32,10,89,3,1,0,2,334,3,3
18,GALAŢI,"CĂMIN CULTURAL ”G-RAL EREMIA GRIGORESCU”",271,COSMEŞTI,76040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:50:09",1202,1202,0,502,463,0,39,1328,826,471,31,5,4,0,38,9,2,31,11,81,10,8,1,1,263,2,5
18,GALAŢI,"CĂMIN CULTURAL OANCEA",368,OANCEA,76932,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:25:07",1215,1215,0,715,708,0,7,1200,485,681,34,3,4,0,12,3,2,32,6,41,3,2,2,0,560,4,7
18,GALAŢI,"CĂMIN CULTURAL PECHEA",374,PECHEA,76969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:47:20",1928,1928,0,773,762,0,11,2111,1338,727,46,3,12,2,28,3,5,34,17,94,10,2,0,3,458,52,4
18,GALAŢI,"CĂMIN CULTURAL UMBRĂREȘTI",218,"ORAŞ TÂRGU BUJOR",75472,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:17:09",878,878,0,474,463,0,11,967,493,436,38,3,2,1,7,1,1,33,13,31,4,6,1,2,325,2,4
18,GALAŢI,"CAMINUL CULTURAL",437,VLĂDEŞTI,77536,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:37:19",1188,1188,0,563,540,0,23,1319,758,525,36,0,4,0,6,0,2,10,9,98,2,3,0,0,390,1,0
18,GALAŢI,"CAMINUL CULTURAL",389,SCÂNTEIEŞTI,77126,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:34:37",739,739,0,406,396,0,10,812,406,377,29,5,2,0,9,1,3,21,5,47,2,4,1,2,268,5,2
