precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:19:23",1734,1734,0,1110,1012,0,98,1900,790,1076,34,1,3,26,2,13,3,5,4,128,26,727,7,30,42,0,59
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:20:52",1494,1494,0,977,954,0,23,1600,623,940,37,11,11,7,2,10,3,86,5,176,9,494,4,13,41,2,66
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:52:55",1601,1601,0,1216,1177,0,39,1700,484,1122,94,7,10,24,8,17,3,31,5,117,12,645,9,13,24,0,197
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:44",708,708,0,440,420,0,20,750,310,418,22,9,2,2,1,6,2,7,0,45,8,287,0,4,25,1,19
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:43:47",1651,1651,0,1138,1112,0,26,1800,662,1082,56,10,13,16,12,23,5,8,0,141,0,604,6,12,167,5,60
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:45:18",1774,1774,0,960,917,0,43,1950,990,917,43,27,7,16,10,16,7,13,7,118,41,488,10,24,70,8,55
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:28:51",1337,1337,0,982,882,0,100,1450,468,938,44,19,11,6,0,20,3,7,4,141,29,552,6,40,50,8,42
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:30:37",1166,1166,0,829,772,0,57,1300,471,805,24,26,8,7,9,23,4,12,2,114,22,430,0,51,56,6,35
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:27",318,318,0,194,168,0,26,350,156,187,7,8,2,1,2,2,0,1,0,34,14,68,1,9,36,1,8
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:11:30",1864,1863,1,1173,1055,0,118,1997,824,1144,29,50,3,5,9,24,5,22,5,122,168,265,14,44,362,5,41
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:50:31",1034,1034,0,661,557,0,104,1100,439,628,33,28,9,6,3,11,3,15,9,93,28,291,2,25,73,3,29
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:07:42",1099,1099,0,666,498,0,168,1200,534,656,10,46,3,1,5,11,2,6,4,49,77,157,2,58,203,7,25
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 06:00:56",1637,1637,0,819,724,0,95,1800,981,798,21,45,2,6,0,12,0,4,6,104,80,225,11,82,192,4,25
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:30:02",1959,1959,0,674,624,0,50,2150,1476,664,10,33,4,4,7,8,3,13,4,69,115,145,4,26,194,10,25
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:21:20",1661,1661,0,1014,814,0,200,1800,786,1003,11,107,6,5,3,16,1,9,4,119,144,227,3,79,234,12,34
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:18",1183,1183,0,865,562,0,303,1250,412,821,17,134,3,3,3,11,2,7,0,90,87,169,1,93,185,5,28
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:51",1428,1428,0,1103,1055,0,48,1500,397,1022,81,13,9,10,11,12,0,6,2,117,12,700,9,14,38,9,60
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 04:04:17",669,669,0,413,398,0,15,755,342,396,17,11,6,3,9,4,4,5,2,79,13,133,4,11,76,3,33
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:23",1273,1273,0,745,705,0,40,1350,605,712,33,17,13,7,8,6,2,8,0,88,18,459,4,9,30,2,41
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:37:58",1781,1781,0,957,912,0,45,1950,993,928,29,32,14,13,10,28,9,8,1,146,25,455,7,45,60,7,68
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:26:20",1899,1899,0,974,866,0,108,2050,1076,961,13,80,6,0,8,12,3,6,3,91,173,285,1,65,192,8,28
