precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
32,"SATU MARE","AFTER SCHOOL, MARTINESTI NR. 51",246,ODOREU,138280,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:14:24",1022,1022,0,571,558,0,13,1200,629,558,13,4,174,11,48,1,57,16,0,6,10,1,12,1,2,213,2
32,"SATU MARE","ASOCIAŢIA CARITAS SATU MARE CANTRUL SOCIAL DESCHIS LA CASA PRIETENIEI",3,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:34:31",1009,1009,0,441,426,0,15,1100,659,430,11,2,152,8,49,0,34,24,5,2,10,0,8,0,7,128,1
32,"SATU MARE","ASOCIAŢIA JUDEŢEANĂ DE FOTBAL ( ŞC. NR.15 )",46,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:19:56",1919,1919,0,1093,1046,0,47,2100,1007,1077,16,1,705,24,56,2,61,31,2,6,15,1,16,1,4,151,1
32,"SATU MARE","BIBLIOTECA ARDUD",90,"ORAŞ ARDUD",136848,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:19:58",1612,1611,1,709,701,1,7,1706,997,601,108,3,216,1,151,1,14,7,0,3,12,4,5,1,2,181,0
32,"SATU MARE","BOINESTI SCOALA GENERALA",147,BIXAD,137069,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:25:10",1434,1434,0,742,716,0,26,1578,836,638,104,5,3,4,211,0,53,4,1,36,25,1,14,0,7,267,7
32,"SATU MARE","CAMIN CULTURAL",270,POMI,138618,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:09:10",110,110,0,88,79,0,9,130,42,79,9,1,1,3,9,1,5,0,0,0,1,1,1,0,0,56,0
32,"SATU MARE","CAMIN CULTURAL",172,CEHAL,137363,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:25:02",482,482,0,336,323,0,13,513,177,317,19,1,237,1,9,0,13,4,1,3,4,0,2,0,0,42,0
32,"SATU MARE","CAMIN CULTURAL",120,ACÂŞ,136713,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:18:32",1557,1554,3,862,854,0,8,1663,801,732,130,3,441,11,27,1,6,7,2,4,14,1,9,0,1,205,0
32,"SATU MARE","CAMIN CULTURAL",269,POMI,138618,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:35:02",66,66,0,68,48,0,20,91,23,67,1,0,2,0,11,0,1,0,0,1,2,0,1,0,0,49,0
32,"SATU MARE","CAMIN CULTURAL ATEA",199,DOROLŢ,137675,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:00",315,315,0,214,197,0,17,350,136,197,17,0,186,0,0,0,2,1,0,0,2,0,1,0,0,5,0
32,"SATU MARE","CĂMIN CULTURAL BABȚA",151,BOGDAND,137130,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:28:19",478,478,0,355,329,0,26,561,206,309,46,5,4,0,63,12,12,7,6,3,0,0,2,0,2,193,0
32,"SATU MARE","CĂMIN CULTURAL BERCU",221,LAZURI,137960,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:31:38",499,499,0,303,285,0,18,550,250,296,4,0,280,0,3,0,2,0,0,0,0,0,1,0,0,10,0
32,"SATU MARE","CĂMIN CULTURAL BORLEŞTI",271,POMI,138618,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:32:45",619,619,0,432,377,0,55,680,248,393,39,8,1,3,31,1,12,6,0,10,28,1,5,1,0,285,1
32,"SATU MARE","CĂMIN CULTURAL CHILIA",215,HOMOROADE,137899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:37:02",205,175,30,127,97,0,30,218,93,117,8,3,3,0,10,1,4,0,0,1,6,0,3,1,1,83,1
32,"SATU MARE","CĂMIN CULTURAL CIONCHEŞTI",338,"VIILE SATU MARE",139394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:11:51",303,303,0,190,176,0,14,318,128,185,5,0,23,0,38,0,15,5,0,8,7,0,8,1,0,80,0
32,"SATU MARE","CĂMIN CULTURAL COMLĂUȘA",133,BĂTARCI,136919,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:54:00",863,863,0,360,349,0,11,937,577,323,37,1,3,0,36,0,6,3,3,3,14,3,3,1,4,243,0
32,"SATU MARE","CĂMIN CULTURAL COROD",190,CULCIU,137540,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:44",408,408,0,241,233,0,8,470,229,232,9,2,122,2,24,0,3,0,0,1,4,0,8,0,3,63,0
32,"SATU MARE","CĂMIN CULTURAL DACIA",195,DOBA,137611,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:31:24",140,140,0,111,99,0,12,160,49,102,9,0,0,3,11,4,1,23,0,1,4,0,0,1,1,53,0
32,"SATU MARE","CĂMIN CULTURAL GHERȚA MICĂ",204,"GHERŢA MICĂ",137746,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:17",1326,1326,0,516,503,0,13,1453,946,471,36,10,2,5,91,2,23,11,3,7,10,3,8,1,0,294,1
32,"SATU MARE","CĂMIN CULTURAL HOMORODU DE JOS",216,HOMOROADE,137899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:42",304,298,6,151,139,0,12,320,169,138,13,2,8,1,17,1,2,1,1,3,10,0,4,2,0,85,1
32,"SATU MARE","CĂMIN CULTURAL NECOPOI",217,HOMOROADE,137899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:10:50",191,170,21,113,92,0,21,200,87,107,6,0,5,2,14,0,10,0,1,1,2,0,0,1,1,70,0
32,"SATU MARE","CĂMIN CULTURAL NOROIENI",223,LAZURI,137960,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:30",328,328,0,151,149,0,2,400,249,146,5,2,68,1,21,0,6,0,1,3,4,0,1,3,0,36,0
32,"SATU MARE","CAMIN CULTURAL NOU",219,LAZURI,137960,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:59:12",1467,1467,0,847,828,0,19,1600,753,828,19,1,658,6,30,1,16,3,2,2,12,2,8,0,10,77,0
32,"SATU MARE","CĂMIN CULTURAL PĂULEȘTI",254,PĂULEŞTI,138431,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:10:03",1719,1719,0,1020,971,0,49,1917,897,994,26,13,262,17,102,7,63,42,5,11,29,4,27,0,1,405,6
32,"SATU MARE","CAMIN CULTURAL PETEA",201,DOROLŢ,137675,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:14:52",369,369,0,211,204,0,7,410,199,192,19,1,170,0,5,0,0,0,0,1,0,0,2,0,1,12,0
32,"SATU MARE","CĂMIN CULTURAL POMI",268,POMI,138618,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:35:16",712,712,0,490,430,0,60,750,260,446,44,9,10,6,68,5,30,6,4,6,42,8,5,1,2,242,2
32,"SATU MARE","CĂMIN CULTURAL RESIGHEA",266,PIŞCOLT,138574,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:11:54",356,343,13,209,196,0,13,385,176,196,13,4,29,2,19,2,7,12,1,1,2,0,3,0,0,114,0
32,"SATU MARE","CĂMIN CULTURAL SAT HOREA",279,SANISLĂU,138663,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:26:29",114,114,0,86,66,0,20,152,66,77,9,2,7,0,8,2,6,0,1,2,2,0,0,0,0,47,0
32,"SATU MARE","CĂMIN CULTURAL SAT MARNA NOUĂ",280,SANISLĂU,138663,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:03:14",280,280,0,175,167,0,8,330,155,167,8,3,5,0,40,5,3,2,0,1,11,1,1,2,0,93,0
32,"SATU MARE","CĂMIN CULTURAL SCĂRIȘOARA NOUĂ",267,PIŞCOLT,138574,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:50:00",312,312,0,225,190,0,35,344,119,208,17,4,3,1,47,4,2,46,2,4,8,0,2,0,2,83,0
