precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:52:32",1154,1154,0,901,878,0,23,1270,420,741,86,16,3,9,8,25,9,2,1,2,9,3,6,512,1,133,2
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:18:11",1209,1208,1,761,628,0,133,1240,479,699,62,10,1,0,0,17,3,5,0,1,1,4,4,575,4,70,4
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:30:31",468,468,0,478,442,0,36,515,230,276,9,7,3,0,1,4,0,0,0,0,0,1,0,246,0,14,0
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:30:11",1112,1067,45,599,589,0,10,1185,586,542,57,32,2,2,2,33,5,4,1,3,0,9,3,388,1,52,5
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:01:57",716,716,0,516,435,0,81,790,274,488,28,16,1,1,2,20,9,1,0,0,9,2,6,371,0,47,3
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:43:56",694,694,0,622,535,0,87,670,48,593,29,26,6,0,2,9,2,1,0,0,1,0,0,496,7,41,2
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:53:34",1156,1156,0,811,744,0,67,1270,459,760,51,5,2,6,1,24,1,4,4,2,1,2,3,651,0,52,2
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:23:44",645,645,0,521,457,0,64,705,184,508,13,13,0,2,7,15,7,2,0,0,0,0,0,439,0,22,1
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:24:07",553,553,0,347,324,0,23,605,258,329,18,4,1,1,3,20,2,2,1,0,3,5,5,202,2,77,1
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:09:28",633,633,0,425,315,0,110,695,270,425,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,8,0
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:12:57",1750,1750,0,1364,1254,0,110,1925,561,1338,26,28,3,2,13,30,2,2,1,4,2,2,5,1190,2,50,2
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 07:09:29",566,566,0,427,353,0,74,615,188,416,11,3,0,1,2,12,2,3,0,0,1,0,0,288,1,102,1
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:07:55",669,669,0,480,402,0,78,735,255,443,37,10,1,2,1,15,3,4,0,0,1,13,4,343,3,42,1
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:26:42",1185,1185,0,886,863,0,23,1310,424,850,36,3,1,6,10,31,7,6,18,1,3,2,8,664,2,83,5
36,TELEORMAN,"CĂMINUL CULTURAL",184,ISLAZ,151736,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:20:49",1045,1045,0,632,598,0,34,1120,488,588,44,37,6,0,13,2,4,9,1,0,2,8,9,394,4,96,3
36,TELEORMAN,"CĂMINUL CULTURAL",313,TROIANUL,154790,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:18:21",47,47,0,48,23,0,25,55,7,43,5,6,0,0,1,0,0,1,2,0,2,0,0,27,0,4,0
