precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",74,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:13",1014,1014,0,374,344,0,30,1160,786,361,13,33,117,15,69,6,49,0,2,3,9,21,3,2,19,9,4
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",75,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:55:02",1227,1227,0,478,456,0,22,1410,932,464,14,37,137,32,73,8,84,1,2,1,6,22,15,2,25,15,4
2,ARAD,"BIBLIOTECA ORAȘULUI SÂNTANA",165,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:21:07",1008,1008,0,278,268,0,10,1121,843,244,34,4,141,3,52,2,11,0,0,1,1,19,4,1,2,1,2
2,ARAD,"CĂMIN CULTURAL",303,IGNEŞTI,11307,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:01",187,172,15,154,137,2,15,190,36,140,14,1,62,1,71,1,0,0,0,0,0,2,0,0,1,1,0
2,ARAD,"CĂMIN CULTURAL",277,GURAHONŢ,10943,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:04:10",55,55,0,53,40,0,13,60,7,48,5,1,33,0,3,6,2,0,0,0,0,2,0,0,0,0,1
2,ARAD,"CĂMIN CULTURAL",276,GURAHONŢ,10943,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:02:38",543,525,18,349,314,18,17,580,231,324,25,4,165,2,81,22,12,2,1,0,3,22,1,1,3,3,2
2,ARAD,"CĂMIN CULTURAL ALDEŞTI",193,BÂRSA,10051,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:02:34",433,423,10,314,282,10,22,470,156,305,9,1,206,6,57,4,9,0,0,0,0,12,1,1,1,5,2
2,ARAD,"CĂMIN CULTURAL COVĂSINȚ",240,COVĂSINŢ,10514,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:30",1014,1002,12,488,476,0,12,1100,612,444,44,8,320,5,64,1,9,0,3,3,0,10,5,2,4,6,4
2,ARAD,"CĂMIN CULTURAL DOROBANŢI",260,DOROBANŢI,12912,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:10:59",1334,1334,0,819,802,0,17,1470,651,803,16,642,98,0,19,2,10,1,0,2,0,10,4,2,6,4,3
2,ARAD,"CĂMIN CULTURAL LAZURI",411,VÂRFURILE,12689,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:21:14",585,583,2,385,376,2,7,640,255,370,15,1,179,2,151,6,14,3,2,1,0,6,2,0,0,1,2
