precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",74,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:28",1658,1658,0,759,735,0,24,1850,1091,724,35,15,429,22,100,4,33,1,3,2,3,24,20,10,20,28,10
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",105,CETATE,32884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:34:35",611,611,0,438,431,0,7,650,212,410,28,16,263,5,48,2,28,1,4,1,0,20,4,2,5,11,0
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:41:14",1551,1551,0,900,858,0,42,1700,800,878,22,95,456,19,116,8,73,5,7,6,4,12,17,6,29,21,4
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",295,TELCIU,35054,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:47:12",150,150,0,90,81,0,9,200,110,78,12,0,55,2,9,0,7,1,1,1,1,0,0,0,1,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",242,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:36:06",151,151,0,131,100,0,31,150,19,121,10,5,90,1,16,0,4,0,0,2,0,1,0,0,0,0,2
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",259,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:08:29",553,548,5,559,548,5,6,600,310,265,25,4,156,7,53,3,12,1,1,0,0,8,3,4,7,2,4
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL JOSENII BÂRGĂULUI",148,"JOSENII BÂRGĂULUI",33382,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:14:00",815,815,0,452,439,0,13,900,448,442,10,4,225,11,115,1,35,1,5,1,0,26,5,1,6,4,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:41:20",295,295,0,181,148,0,33,350,169,169,12,110,42,0,4,0,8,1,0,0,0,0,1,0,2,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",276,ŞINTEREAG,34903,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:58",242,242,0,151,137,0,14,250,99,141,10,2,112,2,10,0,1,0,1,2,1,3,1,0,2,2,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",244,"SILIVAŞU DE CÂMPIE",34422,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:22:01",751,721,30,558,502,26,30,800,242,486,72,2,282,4,102,23,19,2,2,2,0,26,7,0,6,3,6
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL AGRIŞU DE SUS",264,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:33:40",122,122,0,90,85,0,5,150,60,83,7,1,36,2,29,0,2,0,1,2,0,3,0,0,0,5,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ALBEŞTII BISTRIŢEI",140,"GALAŢII BISTRIŢEI",33275,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:30:07",143,143,0,95,83,0,12,150,55,87,8,4,50,4,18,1,3,0,1,0,0,2,2,1,1,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCALIA",258,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:24:49",796,796,0,396,388,0,8,900,504,364,32,2,177,10,105,0,14,1,2,1,2,22,6,0,7,6,9
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",286,TEACA,34985,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:13:50",421,421,0,278,269,0,9,450,172,262,16,11,171,8,23,4,8,0,2,2,1,11,2,1,6,10,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:25:35",336,336,0,234,234,0,0,371,137,220,14,0,179,1,27,1,3,0,2,1,0,5,0,0,0,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:21:42",701,701,0,441,418,0,23,751,309,414,27,99,159,6,76,1,19,3,3,3,0,23,3,2,7,3,7
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL BEUDIU",208,NUŞENI,34075,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:07:48",453,453,0,325,270,0,55,500,175,317,8,6,261,0,23,1,3,1,0,1,0,7,10,1,1,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BIDIU",176,MATEI,33658,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:01:59",133,133,0,96,86,0,10,150,55,84,11,4,58,1,9,0,5,0,1,1,1,1,0,0,1,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BÎRLA",183,MĂRIŞELU,33765,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:25:02",269,269,0,202,194,0,8,300,98,189,13,1,141,0,17,1,3,0,1,0,0,6,4,0,6,7,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BISTRIŢA BÎRGĂULUI",85,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:27:26",1379,1379,0,827,810,0,17,1500,673,785,42,16,478,11,133,3,33,4,4,6,3,51,13,0,9,6,15
