precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
9,BRĂILA,"CĂMIN CULTURAL",268,UNIREA,44355,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:16:05",1028,1023,5,660,634,5,21,1105,445,611,49,7,468,11,51,2,19,1,2,1,0,42,0,2,1,2,2
9,BRĂILA,"CĂMIN CULTURAL",164,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:20:13",243,243,0,175,163,0,12,300,125,149,26,1,114,0,19,0,0,0,0,0,0,15,0,0,0,0,0
9,BRĂILA,"CĂMIN CULTURAL",197,GROPENI,43313,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:29:41",1407,1407,0,935,922,0,13,1550,614,846,89,4,641,3,85,7,11,1,5,4,1,62,1,0,12,2,7
9,BRĂILA,"CĂMIN CULTURAL",267,UNIREA,44355,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:18",820,804,16,575,534,16,25,900,330,552,18,0,450,3,38,2,11,0,3,3,0,27,4,2,3,5,1
9,BRĂILA,"CĂMIN CULTURAL CONSTANTIN GABRIELESCU",167,"BORDEI VERDE",42913,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:37:55",494,492,2,337,319,2,16,550,213,313,24,0,260,0,19,2,3,0,0,3,0,15,2,0,3,4,2
9,BRĂILA,"CAMIN CULTURAL DIN FOSTUL SAT TIBANESTI",261,TUFEŞTI,44300,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:11:33",1042,1042,0,574,563,0,11,1150,576,551,23,5,414,3,67,1,6,1,0,0,0,37,1,0,8,7,1
9,BRĂILA,"CAMIN CULTURAL GRADISTEA",194,GRĂDIŞTEA,43279,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:56:39",962,962,0,655,626,0,29,1050,395,565,90,1,483,2,39,1,4,0,0,4,2,20,3,2,1,2,1
9,BRĂILA,"CAMIN CULTURAL LATINU",209,MĂXINENI,43563,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:03:44",571,569,2,587,569,2,16,650,301,327,22,3,242,4,38,2,4,0,0,0,0,22,5,1,1,3,2
9,BRĂILA,"CAMIN CULTURAL M.MIRESII",214,"MOVILA MIRESII",43652,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:12:13",1149,1149,0,721,701,0,20,1300,579,660,61,5,506,6,55,3,10,0,2,3,2,45,4,0,4,6,9
9,BRĂILA,"CĂMIN CULTURAL SAT IBRIANU",195,GRĂDIŞTEA,43279,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:32",475,475,0,521,475,0,46,550,209,313,28,1,258,3,27,0,3,0,2,1,0,14,1,0,2,0,1
9,BRĂILA,"CĂMIN CULTURAL SAT MARALOIU",196,GRĂDIŞTEA,43279,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:43:49",224,208,16,167,145,6,16,250,60,158,9,1,131,0,7,0,2,0,1,1,0,9,0,0,0,2,4
9,BRĂILA,"CAMIN CULTURAL ZAVOAIA",282,ZĂVOAIA,44532,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:32:56",929,920,9,566,547,9,10,980,414,527,39,1,410,0,53,1,4,1,1,3,0,42,1,1,3,2,4
9,BRĂILA,"CĂMINUI CULTURAL NR. 2",262,TUFEŞTI,44300,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:19:59",832,832,0,503,496,0,7,900,386,474,29,2,364,2,55,2,9,1,0,1,0,29,4,1,2,1,1
9,BRĂILA,"CĂMINUL CULTURAL ARICIU",227,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:46:06",130,130,0,84,76,0,8,150,66,81,3,1,44,0,26,0,3,0,0,0,0,1,0,0,1,3,2
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE JOS",162,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:58",669,669,0,396,390,0,6,700,304,354,42,1,289,2,40,1,2,0,0,2,0,12,2,0,2,0,1
9,BRĂILA,"CĂMINUL CULTURAL BERTEȘTII DE SUS",163,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:19:27",253,253,0,152,146,0,6,321,170,130,21,0,96,1,15,0,1,1,0,1,0,8,2,0,0,1,4
9,BRĂILA,"CĂMINUL CULTURAL COMĂNEASCA",258,"TUDOR VLADIMIRESCU",44257,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:49:18",166,166,0,112,103,0,9,200,88,106,6,0,50,1,7,1,32,1,1,0,0,6,1,1,2,1,2
9,BRĂILA,"CĂMINUL CULTURAL CORBU NOU",207,MĂXINENI,43563,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:20",673,673,0,444,423,0,21,765,315,421,22,1,336,1,34,0,4,1,3,4,1,27,4,0,2,0,3
9,BRĂILA,"CĂMINUL CULTURAL CORBU VECHI",208,MĂXINENI,43563,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:31:34",207,207,0,139,131,0,8,260,121,134,5,1,94,0,15,1,7,0,0,2,0,10,0,0,1,3,0
9,BRĂILA,"CĂMINUL CULTURAL DUDESCU",284,ZĂVOAIA,44532,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:32:04",583,583,0,372,362,0,10,676,285,354,18,1,281,3,26,4,4,0,0,1,0,26,2,1,2,1,2
9,BRĂILA,"CĂMINUL CULTURAL II",171,CHISCANI,42708,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:03:07",1703,1703,0,881,868,0,13,1843,962,822,59,10,494,12,148,0,21,1,1,8,0,85,7,1,11,14,9
9,BRĂILA,"CAMINUL CULTURAL JUGUREANU",266,ULMU,44328,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:19:29",725,725,0,744,725,0,19,800,324,431,45,4,340,1,35,2,7,0,1,3,0,31,2,0,1,0,4
9,BRĂILA,"CĂMINUL CULTURAL LIȘCOTEANCA",168,"BORDEI VERDE",42913,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:42:10",429,429,0,272,262,0,10,500,228,250,22,3,206,1,19,0,2,0,0,0,0,11,0,0,7,1,0
9,BRĂILA,"CĂMINUL CULTURAL MĂGURENI",203,MĂRAŞU,43493,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:58:48",397,395,2,232,228,0,4,450,218,203,29,0,166,0,18,0,3,1,0,2,0,8,1,0,0,2,2
9,BRĂILA,"CĂMINUL CULTURAL MĂRAȘU",201,MĂRAŞU,43493,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:11:37",716,716,0,469,458,0,11,800,331,423,46,0,303,0,45,2,14,1,3,2,1,31,1,0,15,1,4
9,BRĂILA,"CAMINUL CULTURAL MOHREANU",265,ULMU,44328,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:31:07",905,904,1,611,600,1,10,1004,393,560,51,5,479,0,33,1,4,1,1,5,1,19,1,1,2,5,2
9,BRĂILA,"CĂMINUL CULTURAL OLĂNEASCA",230,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:11:29",307,307,0,187,176,0,11,350,163,172,15,1,58,1,80,2,13,2,0,1,0,5,1,1,3,2,2
9,BRĂILA,"CĂMINUL CULTURAL SALCIA TUDOR",226,"SALCIA TUDOR",43867,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:01:26",537,537,0,360,353,0,7,550,190,329,31,2,140,1,145,1,13,1,0,1,2,16,0,0,4,1,2
9,BRĂILA,"CĂMINUL CULTURAL SAT CĂLDĂRUȘA",254,TRAIAN,44202,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:15:12",152,148,4,112,100,4,8,200,88,103,9,2,74,0,12,0,2,1,1,1,1,6,2,0,0,0,1
9,BRĂILA,"CĂMINUL CULTURAL SAT LACU SĂRAT",173,CHISCANI,42708,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:41:18",1075,1075,0,552,547,0,5,1215,668,530,17,2,242,8,82,2,44,2,4,3,3,88,12,2,12,9,15
9,BRĂILA,"CĂMINUL CULTURAL SCORȚARU VECHI",259,"TUDOR VLADIMIRESCU",44257,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:01:40",733,732,1,455,444,0,11,800,345,419,36,3,257,0,40,6,85,0,1,0,1,17,1,0,4,0,4
9,BRĂILA,"CĂMINUL CULTURAL SILIȘTEA",233,SILIŞTEA,43992,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:55:30",594,594,0,325,318,0,7,650,324,306,19,0,203,1,52,2,8,0,1,2,0,23,3,0,4,6,1
9,BRĂILA,"CĂMINUL CULTURAL SPIRU HARET",165,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:44:59",1183,1183,0,593,575,0,18,1300,707,536,57,3,375,3,93,2,11,1,1,5,1,29,1,2,3,1,5
9,BRĂILA,"CĂMINUL CULTURAL SURDILA GĂISEANCA",241,SURDILA-GĂISEANCA,44113,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:48:55",1261,1261,0,922,901,0,21,1400,478,862,60,10,606,1,141,5,12,0,0,3,0,53,2,4,10,9,6
9,BRĂILA,"CĂMINUL CULTURAL ŞUŢEŞTI",246,ŞUŢEŞTI,44140,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:46",1077,1042,35,668,606,35,27,1200,532,638,30,5,509,4,54,2,14,3,0,2,6,31,0,2,1,2,3
9,BRĂILA,"CAMINUL CULTURAL ULMU",264,ULMU,44328,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:58",1137,1137,0,782,754,0,28,1250,468,732,50,13,596,1,56,0,8,0,0,10,3,16,4,5,10,8,2
9,BRĂILA,"CĂMINUL CULTURAL ZĂVOAIA",283,ZĂVOAIA,44532,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:00:56",871,860,11,565,554,0,11,950,385,516,49,3,402,0,61,3,6,3,0,4,0,22,0,0,5,5,2
9,BRĂILA,"CASA CORPULUI DIDACTIC",86,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:30:45",1080,1080,0,401,392,0,9,1200,808,380,12,1,170,12,57,8,38,3,1,5,3,45,8,2,11,12,4
9,BRĂILA,"CASA DE CULTURĂ FĂUREI, SALA MICĂ",141,"ORAŞ FĂUREI",42753,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:38:41",1318,1318,0,895,849,0,46,1420,525,830,65,3,565,13,108,5,25,2,6,7,0,37,10,6,14,22,7
9,BRĂILA,"CASA DE CULTURĂ ”ION THEODORESCU SION”",146,"ORAŞ IANCA",43331,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:08:11",1155,1155,0,605,605,0,0,1250,645,590,15,0,415,9,71,3,14,1,1,0,2,35,7,3,11,15,3
9,BRĂILA,"CASA DE CULTURĂ ROȘIORI",224,ROŞIORI,43812,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:55:34",1153,1153,0,640,624,0,16,1300,660,580,60,0,394,4,124,5,16,1,1,3,0,17,3,5,2,2,3
