precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
10,BUZĂU,"ANEXĂ IMOBIL-PRIMĂRIA COMUNEI CALVINI",177,CALVINI,45753,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:30:28",821,786,35,846,786,35,25,884,325,485,63,0,372,7,57,2,16,0,3,0,0,0,6,0,8,4,10
10,BUZĂU,"CĂMIN CULTURAL",122,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:56:59",697,697,0,460,447,0,13,760,300,435,25,0,256,5,90,4,14,0,4,0,0,12,37,1,7,5,0
10,BUZĂU,"CĂMIN CULTURAL",124,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:52",181,181,0,124,116,0,8,200,76,117,7,1,68,2,18,1,6,0,0,0,1,1,13,0,1,5,0
10,BUZĂU,"CĂMIN CULTURAL",327,RÂMNICELU,48968,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:08:40",1045,1045,0,765,753,0,12,1140,375,589,176,1,326,2,142,1,16,2,7,3,0,65,4,1,8,7,4
10,BUZĂU,"CÃMIN CULTURAL",387,ŢINTEŞTI,49849,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:50:08",1801,1799,2,1177,1170,0,7,1980,798,1088,89,9,619,5,78,9,240,3,4,5,0,67,8,5,17,7,12
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:36:43",92,92,0,76,69,0,7,100,24,70,6,1,46,1,10,0,1,0,1,0,0,5,0,0,1,2,2
10,BUZĂU,"CAMIN CULTURAL BALTENI",182,"C.A. ROSETTI",45815,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:31:33",346,346,0,249,235,0,14,380,131,209,40,0,163,1,16,3,3,0,0,1,0,10,3,0,3,2,4
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",109,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:50:08",536,536,0,344,327,0,17,590,246,327,17,1,195,3,45,3,21,3,2,0,0,16,17,2,13,3,3
10,BUZĂU,"CĂMIN CULTURAL CĂNEŞTI",187,CĂNEŞTI,45888,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:59:29",392,392,0,325,262,0,63,430,105,311,14,2,226,2,27,0,20,0,6,0,0,13,2,1,3,5,4
10,BUZĂU,"CĂMIN CULTURAL CU BIBLIOTECĂ",236,GHERĂSENI,46803,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:55:12",1449,1449,0,890,855,0,35,1600,710,825,65,13,531,9,115,3,38,1,2,7,1,52,9,5,10,16,13
10,BUZĂU,"CĂMIN CULTURAL CURMĂTURA",112,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:36:12",115,115,0,92,85,0,7,130,38,89,3,1,68,1,9,0,4,0,0,0,0,2,3,0,1,0,0
10,BUZĂU,"CĂMIN CULTURAL JOSENI",148,BERCA,45101,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:14:21",694,694,0,398,377,0,21,760,365,376,19,2,222,10,53,2,36,3,3,1,0,19,4,4,4,7,6
10,BUZĂU,"CĂMIN CULTURAL MLĂJET",115,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:48:09",675,675,0,448,433,0,15,750,302,422,26,4,240,5,80,2,19,0,3,1,3,24,15,2,8,10,6
10,BUZĂU,"CĂMIN CULTURAL PĂLTINENI",116,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:49",624,624,0,409,401,0,8,690,281,384,25,0,243,1,50,2,30,3,2,0,1,18,13,2,8,9,2
10,BUZĂU,"CĂMIN CULTURAL PÎCLE",149,BERCA,45101,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:50:13",108,108,0,59,49,0,10,130,71,55,4,0,18,0,18,0,15,0,0,0,0,3,0,0,0,1,0
