precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
12,CĂLĂRAŞI,"CAMIN CULTURAL",162,LEHLIU,93851,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:19:18",1321,1321,0,986,950,0,36,1454,504,871,79,4,646,10,95,6,17,1,4,11,2,50,4,3,7,7,4
12,CĂLĂRAŞI,"CĂMIN CULTURAL ȘTEFĂNEȘTI",155,ILEANA,103764,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:04:35",599,599,0,369,342,0,27,658,289,356,13,2,267,3,42,3,5,0,0,1,0,19,3,0,5,5,1
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",50,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:00:13",538,538,0,250,242,0,8,600,350,220,30,3,126,2,72,1,4,0,0,1,0,3,0,2,1,1,4
12,CĂLĂRAŞI,"CANTINA DE AJUTOR SOCIAL",53,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:15:20",1103,1100,3,585,570,3,12,1217,635,563,19,2,335,16,89,8,23,6,0,3,2,31,12,5,8,17,6
12,CĂLĂRAŞI,"CASA DE CULTURA",77,"ORAŞ LEHLIU-GARĂ",93888,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:50:29",1479,1471,8,925,886,8,31,1528,603,889,36,2,495,20,193,15,34,3,5,3,4,43,14,1,25,29,3
12,CĂLĂRAŞI,"CENTRUL CULTURAL MULTIFUNCȚIONAL",121,DOROBANŢU,93441,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:31",1150,1150,0,814,757,0,57,1258,444,722,92,2,532,4,88,6,7,1,5,5,0,33,3,2,16,11,7
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",4,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:37:01",720,720,0,368,357,0,11,720,352,353,15,0,163,18,62,5,38,3,2,4,5,18,5,4,14,6,6
12,CĂLĂRAŞI,"CENTRUL JUDEŢEAN DE RESURSE ŞI ASISTENŢĂ EDUCAŢIONALĂ CĂLĂRAŞI",3,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:53",1037,941,96,471,375,85,11,1045,574,454,17,5,211,26,68,9,48,3,2,6,1,21,13,5,12,19,5
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIU",51,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:58:19",1299,1299,0,647,633,0,14,1437,790,628,19,2,322,20,98,21,75,5,4,2,3,23,12,1,23,11,6
12,CĂLĂRAŞI,"COLEGIUL ECONOMIC SEDIUL B",43,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:31",1069,1053,16,491,475,0,16,1162,684,461,16,4,224,7,111,5,32,1,2,5,0,20,14,1,14,14,7
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",34,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:15",1221,1219,2,546,524,0,22,1343,797,528,18,0,248,18,121,12,47,4,2,3,1,23,13,4,15,13,4
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ” BARBU ŞTIRBEI” CĂLĂRAŞI",35,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:02:24",1060,1060,0,488,475,0,13,1173,676,478,9,1,201,13,137,12,31,6,6,1,1,29,7,4,11,13,5
12,CĂLĂRAŞI,"COLEGIUL NAȚIONAL ”NEAGOE BASARAB”",59,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:43:06",1738,1735,3,877,837,0,40,1913,1033,846,31,4,553,15,111,11,38,5,9,4,3,35,13,3,18,17,7
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",57,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:46",1647,1646,1,816,797,0,19,1813,992,786,30,2,464,13,92,16,61,9,5,3,2,41,31,3,18,21,5
12,CĂLĂRAŞI,"COLEGIUL NAŢIONAL ”NEAGOE BASARAB” - SALA DE SPORT",56,"MUNICIPIUL OLTENIŢA",100610,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:54:44",1684,1653,31,868,837,0,31,1828,951,832,36,7,531,11,110,54,2,5,9,0,42,15,16,12,10,8,0
12,CĂLĂRAŞI,"CONSILIUL LOCAL VILCELELE",233,VÂLCELELE,94731,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:45:55",467,467,0,298,278,0,20,512,214,276,22,0,239,2,16,2,2,0,1,4,0,7,0,1,1,1,0
12,CĂLĂRAŞI,"CREŞA NR. 1 CĂLĂRAŞI ( FOSTA CREŞA SĂPTĂMÂNALĂ CU 100 LOCURI)",29,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:44",729,729,0,274,263,0,11,813,539,259,15,0,114,4,84,6,13,1,3,0,3,18,3,2,4,4,0
