precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
11,CARAŞ-SEVERIN,"AZILUL DE BĂTRÂNI-CENTRU DE ZI",248,FOROTIC,52856,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:51:01",555,555,0,381,356,0,25,610,229,353,28,2,256,4,49,3,10,0,2,4,0,13,4,1,0,5,0
11,CARAŞ-SEVERIN,"BIBLIOTECA VALERIU LEU",255,GORUIA,52954,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:30:36",330,229,101,277,166,10,101,327,59,246,21,3,80,4,95,4,20,1,2,1,1,12,3,5,1,11,3
11,CARAŞ-SEVERIN,"CADIREA PRIMARIEI(FOSTUL SEDIU AL PRIMARIEI DIN SOCOLARI)",201,"CICLOVA ROMÂNĂ",51948,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:05:45",118,118,0,82,63,0,19,130,48,79,3,3,50,3,10,0,4,0,0,0,1,3,3,0,0,0,2
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",130,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:53:37",1259,1242,17,667,642,17,8,1367,700,595,72,9,330,9,97,4,42,6,11,9,2,37,11,0,10,10,8
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",131,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:21",162,162,0,108,100,0,8,180,71,104,4,2,74,1,9,1,7,1,0,1,0,6,2,0,0,0,0
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",140,"ORAŞ ORAVIŢA",51118,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:43:36",451,451,0,197,183,0,14,496,299,179,18,2,72,1,63,1,8,1,0,2,0,20,1,0,0,3,5
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL BORLOVENII VECHI",301,PRIGOR,53577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:28:42",341,335,6,234,212,6,16,370,136,216,18,0,136,1,46,6,7,0,3,0,1,8,0,0,8,0,0
11,CARAŞ-SEVERIN,"CAMIN CULTURAL SICHEVITA",318,SICHEVIŢA,53853,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:47:22",1162,1160,2,892,813,2,77,1272,446,785,41,6,448,2,126,3,66,0,3,10,0,76,7,0,6,13,19
11,CARAŞ-SEVERIN,"CAMININUL CULTURAL-STANCILOVA DE JOS",332,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:31:28",81,78,3,76,65,3,8,84,8,74,2,0,43,1,14,0,7,1,0,0,0,5,1,0,0,1,1
11,CARAŞ-SEVERIN,"CAMINNUL CULTURAL STANCILOVA DE SUS",333,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:11",114,108,6,106,89,6,11,124,18,102,4,2,72,0,3,1,6,1,3,1,0,7,0,0,3,3,0
