precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:06",876,873,3,452,444,2,6,900,464,406,30,15,185,7,82,4,32,4,3,3,2,21,4,6,8,23,7
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:08:00",331,324,7,228,221,4,3,350,122,202,26,3,120,0,52,0,2,4,0,1,0,8,3,3,1,3,2
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:28:49",1299,1299,0,459,444,0,15,1400,941,436,23,23,174,17,95,6,24,2,5,4,4,23,26,4,13,14,2
22,HUNEDOARA,"ASOCIAȚIA COMPOSESORALĂ ”NOBIL” ZEICANI - MAGAZIN ZEICANI",455,SARMIZEGETUSA,91054,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:03:11",92,92,0,71,62,0,9,100,29,70,1,4,46,0,12,0,2,0,0,0,0,3,0,0,1,2,0
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:16:58",1409,1409,0,493,484,0,9,1500,1007,467,26,17,209,10,115,5,14,3,4,4,1,27,13,9,17,14,5
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:26:53",1670,1670,0,554,547,0,7,1800,1246,521,33,21,226,20,139,5,17,3,3,3,3,32,14,7,10,14,4
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:40:57",520,518,2,221,207,2,12,550,333,213,4,11,102,12,35,4,9,1,3,2,2,11,8,2,3,6,2
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:59:03",191,191,0,159,159,0,0,210,51,137,22,0,94,1,7,0,26,0,4,1,0,3,1,0,0,0,0
22,HUNEDOARA,"CĂMIN CULTURAL MUNCELU MARE",514,VEŢEL,91982,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:55:10",51,51,0,41,30,0,11,70,29,39,2,1,21,0,14,0,0,0,0,0,0,1,1,0,0,1,0
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:02:36",143,143,0,104,98,0,6,160,56,104,0,0,85,0,8,0,2,0,0,1,0,1,5,1,1,0,0
22,HUNEDOARA,"CAMIN CULTURAL RUNCU MARE",392,LELESE,90066,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:28:57",73,73,0,63,57,0,6,90,27,61,2,2,51,0,7,0,1,0,0,0,0,0,0,0,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:33:17",232,232,0,162,148,0,14,250,88,152,10,1,106,1,19,0,6,1,0,1,4,7,2,0,1,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:28:59",300,300,0,166,156,0,10,350,184,158,8,1,89,5,39,0,4,1,0,1,0,1,6,2,4,3,2
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:35:20",274,262,12,201,180,9,12,300,111,183,6,1,102,1,41,4,14,1,1,4,1,8,2,0,1,2,0
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:41",158,158,0,113,108,0,5,200,87,110,3,1,50,3,41,0,4,0,0,0,0,2,2,2,3,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:49",253,253,0,169,163,0,6,300,135,155,10,1,85,0,47,4,3,0,0,2,0,9,0,0,1,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞ SĂLIŞTE",521,ZAM,92177,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:11:38",101,101,0,64,57,0,7,120,56,61,3,2,47,0,7,1,1,2,1,0,0,0,0,0,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU MIC",410,"PESTIŞU MIC",90431,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:22:26",66,66,0,73,53,0,20,80,7,72,1,0,41,0,13,1,5,0,0,1,1,5,1,0,1,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU SEC",336,CÂRJIŢI,86749,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:06:31",173,170,3,161,126,3,32,180,19,156,5,3,90,4,32,2,8,0,0,1,3,5,3,0,3,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL ALUN",292,BOŞOROD,88449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:20:56",58,51,7,44,37,0,7,60,16,42,2,3,23,1,13,0,2,0,0,0,0,0,0,0,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL ARDEU",261,BALŞA,87843,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:08:21",49,49,0,51,41,0,10,60,9,50,1,1,24,0,20,0,1,1,0,1,1,0,0,0,1,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:28:42",771,769,2,491,478,1,12,900,429,455,16,1,300,7,54,2,15,1,2,1,0,32,31,1,2,2,4
22,HUNEDOARA,"CĂMINUL CULTURAL BACEA",381,ILIA,89856,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:43:20",279,279,0,151,139,0,12,300,149,141,10,1,84,1,35,0,2,2,0,0,0,6,3,2,2,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL BĂCIA",270,BĂCIA,88047,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:39",845,845,0,543,511,0,32,1000,457,523,20,58,253,18,91,1,19,6,3,3,3,26,15,5,8,11,3
22,HUNEDOARA,"CĂMINUL CULTURAL BĂIȚA",273,BĂIŢA,88092,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:44:15",1010,999,11,613,589,2,22,1100,487,599,14,5,380,10,118,3,21,2,2,4,0,24,6,6,11,4,3
22,HUNEDOARA,"CĂMINUL CULTURAL BĂLATA",475,ŞOIMUŞ,91330,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:39:54",362,362,0,248,241,0,7,400,152,235,13,3,128,3,44,3,14,5,1,1,1,15,2,2,3,9,1
22,HUNEDOARA,"CĂMINUL CULTURAL BALOMIR",467,SÂNTĂMĂRIA-ORLEA,91232,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:42:39",258,258,0,191,178,0,13,300,109,189,2,1,113,0,52,0,5,0,0,1,2,6,1,0,2,1,5
22,HUNEDOARA,"CĂMINUL CULTURAL BERIU",281,BERIU,88261,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:59",600,600,0,368,355,0,13,700,332,349,19,4,183,2,96,1,14,0,1,2,1,16,5,1,10,5,8
22,HUNEDOARA,"CĂMINUL CULTURAL BLĂJENI",287,BLĂJENI,88350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:05:50",447,427,20,494,416,20,58,500,65,412,23,18,282,1,66,3,10,0,2,1,1,13,1,0,2,8,4
22,HUNEDOARA,"CĂMINUL CULTURAL BOBÂLNA",429,"RAPOLTU MARE",90663,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:33:55",374,371,3,260,245,3,12,410,150,245,15,5,70,6,114,2,18,0,2,1,3,6,7,2,2,3,4
22,HUNEDOARA,"CĂMINUL CULTURAL BOHOLT",476,ŞOIMUŞ,91330,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:52:00",272,272,0,195,184,0,11,298,103,190,5,3,116,1,34,3,6,1,4,0,0,12,2,3,5,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOIȚA",434,RĂCHITOVA,90725,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:28:50",337,330,7,281,244,7,30,380,99,275,6,22,177,2,47,1,9,0,1,2,1,4,2,1,3,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOIU",430,"RAPOLTU MARE",90663,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:53:44",123,121,2,82,73,2,7,140,58,78,4,1,46,0,23,0,4,0,0,0,0,3,0,0,0,0,1
