precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
28,MUREŞ,"CAMIN CULTURAL",305,CHEŢANI,116046,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:03:46",459,459,0,290,272,0,18,510,220,273,17,72,81,4,35,1,46,0,4,4,2,7,2,1,5,4,5
28,MUREŞ,"CAMIN CULTURAL",400,GORNEŞTI,117177,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:42:45",83,83,0,43,32,0,11,102,59,41,2,35,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,MUREŞ,"CAMIN CULTURAL",320,COZMA,116224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:16:20",115,85,30,86,56,0,30,100,14,79,7,6,59,0,6,0,2,0,0,0,0,3,1,0,1,0,1
28,MUREŞ,"CAMIN CULTURAL",401,GORNEŞTI,117177,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:58:45",353,353,0,270,246,0,24,390,120,268,2,261,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0
28,MUREŞ,"CAMIN CULTURAL",471,"PAPIU ILARIAN",118637,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:09:10",685,685,0,466,441,0,25,760,294,441,25,279,50,1,85,0,5,0,0,0,0,10,1,1,2,4,3
28,MUREŞ,"CAMIN CULTURAL",338,CUCI,116439,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:50:12",128,128,0,92,74,0,18,148,56,85,7,1,48,1,19,0,2,0,0,2,0,9,1,0,1,0,1
28,MUREŞ,"CĂMIN CULTURAL",339,CUCI,116439,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:37:13",415,415,0,243,221,0,22,460,217,217,26,4,172,0,24,2,3,0,4,1,0,3,1,1,1,1,0
28,MUREŞ,"CĂMIN CULTURAL",290,BRÂNCOVENEŞTI,115897,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:48:48",361,361,0,190,180,0,10,400,210,172,18,10,37,4,76,0,7,0,6,1,1,18,0,3,4,2,3
28,MUREŞ,"CĂMIN CULTURAL",265,BĂLA,115600,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:13",381,340,41,315,258,41,16,413,98,268,47,6,167,4,37,0,18,0,13,4,0,11,1,0,0,4,3
28,MUREŞ,"CĂMIN CULTURAL",158,"ORAŞ IERNUT",117827,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:28:14",254,244,10,89,79,0,10,280,191,86,3,3,50,0,26,0,1,0,0,0,0,3,1,0,2,0,0
28,MUREŞ,"CĂMIN CULTURAL AGRIŞTEU",268,BĂLĂUŞERI,115637,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:24:49",626,626,0,305,292,0,13,690,385,282,23,217,31,0,13,0,0,1,3,1,1,4,4,2,4,0,1
28,MUREŞ,"CĂMIN CULTURAL ALBEȘTI",223,ALBEŞTI,114603,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:52:44",1734,1734,0,858,841,0,17,1910,1052,795,63,151,331,13,130,6,51,2,12,3,2,36,10,4,12,23,9
28,MUREŞ,"CAMIN CULTURAL BAND",248,BAND,115389,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:46:53",1014,1013,1,506,497,1,8,1110,604,337,169,60,134,2,18,0,1,1,102,0,0,14,0,1,0,0,4
28,MUREŞ,"CĂMIN CULTURAL BATOŞ",259,BATOŞ,115520,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:28",1098,1088,10,587,571,6,10,1200,613,549,38,89,273,9,74,2,35,2,4,4,0,17,14,4,12,8,2
28,MUREŞ,"CĂMIN CULTURAL BERNADEA",240,BAHNEA,115307,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:02:06",157,157,0,83,77,0,6,180,97,68,15,2,28,2,15,1,4,0,3,2,0,7,1,1,0,0,2
28,MUREŞ,"CĂMIN CULTURAL BICHIŞ",282,BICHIŞ,115771,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:04",139,139,0,97,85,0,12,152,55,95,2,75,13,0,0,0,3,0,0,2,0,0,1,0,1,0,0
28,MUREŞ,"CĂMIN CULTURAL BOLINTINENI, SAT BOLINTINENI",479,PĂSĂRENI,118753,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:37:02",185,185,0,94,80,0,14,210,116,83,11,49,8,0,9,0,2,0,2,0,0,5,0,0,1,1,6
28,MUREŞ,"CĂMIN CULTURAL BORD",334,CUCERDEA,116395,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:27:39",98,94,4,68,60,4,4,111,43,53,15,1,31,0,8,1,5,0,1,0,0,1,4,0,0,0,1
28,MUREŞ,"CAMIN CULTURAL BOTEZ",235,AŢINTIŞ,115236,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:50:29",146,146,0,96,93,0,3,174,78,94,2,1,48,1,20,0,5,1,3,1,2,5,3,0,1,2,1
28,MUREŞ,"CAMIN CULTURAL BREAZA",293,BREAZA,115851,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:46:44",1059,1059,0,693,682,0,11,1160,467,667,26,325,134,8,59,2,70,2,2,3,0,23,14,2,6,8,9
28,MUREŞ,"CĂMIN CULTURAL CĂPUȘU DE CÎMPIE",428,ICLĂNZEL,117667,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:35:07",644,631,13,406,369,13,24,690,285,369,36,11,161,5,109,7,29,1,2,1,0,11,5,1,14,6,6
28,MUREŞ,"CĂMIN CULTURAL CERGHID",205,"ORAŞ UNGHENI",119894,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:01:17",406,405,1,270,254,0,16,450,180,258,12,4,150,3,31,2,25,0,9,1,1,19,9,0,3,0,1
28,MUREŞ,"CÂMIN CULTURAL CHINARI",528,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:51",616,616,0,373,373,0,0,681,308,350,23,136,105,9,47,10,10,1,3,1,0,13,4,2,1,4,4
28,MUREŞ,"CĂMIN CULTURAL CHIRILEU",515,SÂNPAUL,119466,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:50:40",714,714,0,421,408,0,13,790,369,255,166,52,98,9,52,3,11,0,4,3,0,12,3,0,5,0,3
28,MUREŞ,"CĂMIN CULTURAL CLOAȘTERF",496,SASCHIZ,119206,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:00:52",145,145,0,79,71,0,8,162,83,76,3,2,42,1,20,0,1,1,0,0,1,2,3,1,0,1,1
28,MUREŞ,"CĂMIN CULTURAL CRĂCIUNEŞTI SALA MICĂ",321,CRĂCIUNEŞTI,116288,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:14:31",745,745,0,285,258,0,27,820,535,252,33,229,7,1,8,0,0,0,0,1,0,4,0,1,1,0,0
28,MUREŞ,"CĂMIN CULTURAL CURTENI",529,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:03:29",881,881,0,571,571,0,0,970,399,553,18,476,32,8,11,4,6,2,0,0,0,3,2,1,2,4,2
28,MUREŞ,"CĂMIN CULTURAL DEDA",346,DEDA,116545,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:35:35",1506,1506,0,1067,1019,0,48,1660,593,966,101,6,475,11,302,1,44,4,5,0,1,67,12,3,13,9,13
28,MUREŞ,"CĂMIN CULTURAL DEDRAD",260,BATOŞ,115520,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:23:41",1341,1322,19,765,744,2,19,1470,705,720,45,9,450,11,120,3,30,1,11,2,2,36,10,3,19,8,5
28,MUREŞ,"CĂMIN CULTURAL DELENI",430,"IDECIU DE JOS",117783,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:39:41",192,192,0,168,144,0,24,210,42,161,7,3,77,2,44,1,22,0,1,0,1,6,2,0,1,0,1
28,MUREŞ,"CĂMIN CULTURAL DELENII",264,BĂGACIU,115575,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:43:55",865,856,9,524,501,9,14,940,416,495,29,307,89,4,29,0,17,0,3,3,0,10,6,1,8,12,6
28,MUREŞ,"CĂMIN CULTURAL DILEU VECHI",467,OGRA,118575,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:54:43",127,127,0,101,81,0,20,152,51,94,7,20,49,0,15,0,2,0,0,1,0,5,1,0,0,0,1
28,MUREŞ,"CĂMIN CULTURAL DULCEA",425,IBĂNEŞTI,117550,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:52:21",887,887,0,601,568,0,33,980,379,569,32,3,388,8,97,2,9,1,5,3,1,27,7,0,10,4,4
28,MUREŞ,"CĂMIN CULTURAL DUMITRENI",270,BĂLĂUŞERI,115637,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:43:42",358,336,22,179,157,22,0,390,211,173,6,162,3,0,4,0,1,0,0,0,0,1,1,0,0,0,1
28,MUREŞ,"CĂMIN CULTURAL FILITELNIC",271,BĂLĂUŞERI,115637,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:05:23",173,173,0,102,91,0,11,190,88,93,9,29,37,1,14,1,5,0,1,1,1,2,1,0,0,0,0
28,MUREŞ,"CĂMIN CULTURAL FILPIŞU MARE",294,BREAZA,115851,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:14:00",636,636,0,389,373,0,16,700,311,327,62,75,144,1,66,0,11,1,2,3,0,9,0,2,3,6,4
28,MUREŞ,"CĂMIN CULTURAL GĂIEȘTI",211,ACĂŢARI,114970,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:43:39",299,298,1,199,184,0,15,330,131,194,5,182,4,1,4,0,1,0,0,0,0,0,1,0,0,0,1
28,MUREŞ,"CÃMIN CULTURAL GÎMBUŢ",283,BICHIŞ,115771,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:05:49",120,120,0,93,84,0,9,131,38,92,1,9,61,3,10,0,4,0,0,0,1,2,1,0,1,0,0
28,MUREŞ,"CĂMIN CULTURAL GORENI",261,BATOŞ,115520,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:05",493,486,7,284,270,7,7,540,256,260,24,49,137,4,31,2,8,0,1,3,0,6,8,0,2,3,6
28,MUREŞ,"CĂMIN CULTURAL GREBENISU DE CIMPIE",405,"GREBENIŞU DE CÂMPIE",117275,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:48:04",1320,1320,0,999,912,0,87,1460,461,875,124,13,280,4,368,5,58,0,6,10,2,65,5,12,18,18,11
