precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
29,NEAMŢ,"ANEXĂ ȘCOALA NEGREȘTI",183,BIRA,121386,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:36:21",150,150,0,96,83,0,13,200,104,88,8,1,63,2,6,2,1,0,1,1,0,4,1,1,2,0,3
29,NEAMŢ,"BIBLIOTECA COMUNALA FAUREI",277,FĂUREI,122613,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:34:59",209,201,8,212,201,3,8,300,166,119,15,1,64,0,9,0,36,0,1,0,0,5,1,0,1,0,1
29,NEAMŢ,"CAMIN CULTURAL",174,BICAZ-CHEI,121297,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:11:59",1095,1095,0,599,588,0,11,1200,601,553,46,3,392,2,79,1,3,0,0,3,2,28,9,4,13,6,8
29,NEAMŢ,"CAMIN CULTURAL",322,"ION CREANGĂ",123102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:21",787,787,0,486,466,0,20,900,414,456,30,1,346,0,42,1,4,2,6,1,0,25,13,1,4,5,5
29,NEAMŢ,"CAMIN CULTURAL",311,HORIA,120922,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:00:15",1739,1738,1,784,778,0,6,1900,1116,722,62,5,303,13,207,7,70,4,5,1,3,45,18,2,17,19,3
29,NEAMŢ,"CAMIN CULTURAL",442,TAŞCA,124563,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:46:55",1362,1345,17,767,736,16,15,1500,733,715,52,9,301,20,185,21,26,6,8,3,0,69,22,6,9,17,13
29,NEAMŢ,"”CĂMIN CULTURAL”",206,BORLEŞTI,121732,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:30:28",244,237,7,96,89,0,7,300,204,91,5,0,54,2,13,1,7,1,0,1,2,6,0,0,0,2,2
29,NEAMŢ,"CĂMIN CULTURAL",325,"ION CREANGĂ",123102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:35:25",645,645,0,379,361,0,18,700,321,361,18,4,265,2,49,0,10,1,1,1,1,11,3,0,4,3,6
29,NEAMŢ,"CĂMIN CULTURAL",178,"BICAZU ARDELEAN",121340,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:15:08",1290,1269,21,637,601,21,15,1400,763,611,26,6,346,5,118,2,43,1,2,5,0,31,7,2,21,11,11
29,NEAMŢ,"CĂMIN CULTURAL",324,"ION CREANGĂ",123102,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:50",655,655,0,394,364,0,30,700,306,367,27,3,277,3,45,0,5,1,1,5,2,16,2,0,2,3,2
