precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:30:24",1902,1902,0,1918,1902,0,16,2100,1136,933,28,4,363,62,171,19,118,4,19,5,4,28,26,6,40,48,16
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL",248,CACICA,147526,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:33:10",1533,1533,0,919,892,0,27,1700,781,853,66,7,573,14,117,2,42,2,5,8,4,34,9,2,15,13,6
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL BASARABI",436,PREUTEŞTI,149968,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:49:33",1393,1386,7,893,886,0,7,1500,607,838,55,16,523,7,140,11,34,2,4,11,1,48,9,0,12,8,12
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:47:35",1537,1537,0,440,420,0,20,1700,1260,415,25,2,154,11,91,4,47,0,4,8,2,47,13,3,16,8,5
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:56",1818,1818,0,877,832,0,45,2000,1123,841,36,6,527,5,181,0,17,2,0,13,0,52,10,5,9,5,9
35,SUCEAVA,"CAMIN CULTURAL",484,ŞCHEIA,146432,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:22:20",186,186,0,125,117,0,8,200,75,117,8,0,55,1,31,1,10,0,2,0,0,7,3,1,0,5,1
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:05:45",1189,1189,0,1189,1181,0,8,1300,655,615,30,1,308,5,172,2,32,0,3,16,3,41,3,0,9,12,8
35,SUCEAVA,"CĂMIN CULTURAL",256,CÂRLIBABA,147713,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:12:33",1576,1576,0,897,889,0,8,1700,837,814,49,19,535,4,144,5,14,4,6,10,1,28,11,7,12,4,10
35,SUCEAVA,"CĂMIN CULTURAL",487,ŞCHEIA,146432,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:11:19",1732,1720,12,977,965,0,12,1800,823,937,40,4,511,29,156,5,83,5,4,11,1,38,10,12,30,32,6
35,SUCEAVA,"CĂMIN CULTURAL",486,ŞCHEIA,146432,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:59:28",1730,1717,13,899,886,0,13,1800,896,857,42,22,394,34,163,7,66,3,3,14,1,52,20,7,17,48,6
