precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
36,TELEORMAN,"CĂMIN CULTURAL",115,BRÂNCENI,152252,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:56:19",1177,1154,23,901,827,23,51,1270,420,741,86,3,512,6,133,3,16,2,2,2,1,25,9,1,9,8,9
36,TELEORMAN,"CĂMIN CULTURAL",121,BUZESCU,152332,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:32:48",1208,1208,0,774,641,0,133,1240,479,699,62,4,575,4,70,1,10,1,4,5,0,17,1,4,3,0,0
36,TELEORMAN,"CĂMIN CULTURAL",256,RĂDOIEŞTI,153865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:30:31",468,468,0,478,442,0,36,515,230,276,9,1,246,0,14,3,7,0,0,0,0,4,0,0,0,1,0
36,TELEORMAN,"CĂMIN CULTURAL",147,CRÂNGENI,152617,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:33:14",1112,1067,45,599,551,38,10,1185,586,542,57,9,388,3,52,2,32,3,5,4,1,33,0,1,5,2,2
36,TELEORMAN,"CĂMIN CULTURAL",141,CIUPERCENI,151709,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:01:57",716,716,0,516,435,0,81,790,274,488,28,2,371,6,47,1,16,0,3,1,0,20,9,0,9,2,1
36,TELEORMAN,"CĂMIN CULTURAL",300,TALPA,154521,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:53:43",694,607,87,622,535,0,87,670,48,593,29,0,496,0,41,6,26,0,2,1,0,9,1,7,2,2,0
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:15:52",1156,1156,0,811,802,0,9,1270,459,760,51,2,651,3,52,2,5,2,2,4,4,24,1,0,1,1,6
36,TELEORMAN,"CĂMIN CULTURAL CUCUEŢI",272,SCRIOAŞTEA,154013,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:21",669,645,24,585,521,24,40,705,184,507,14,0,439,0,22,0,13,0,1,2,0,15,0,0,7,6,2
36,TELEORMAN,"CĂMIN CULTURAL SAT PURANI",331,VITĂNEŞTI,153776,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:38:03",587,553,34,347,290,34,23,605,258,329,18,5,202,5,77,1,4,0,1,2,1,20,3,2,2,3,1
36,TELEORMAN,"CĂMIN CULTURAL SAT SILIŞTEA",332,VITĂNEŞTI,153776,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:09:28",633,633,0,425,315,0,110,695,270,425,0,0,417,0,8,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,"CĂMIN CULTURAL SCRIOAȘTEA",270,SCRIOAŞTEA,154013,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:13:47",1750,1750,0,1364,1254,0,110,1925,561,1336,28,2,1189,5,50,3,27,4,2,2,1,30,2,2,2,13,2
36,TELEORMAN,"CĂMIN CULTURAL STEJARU",291,STEJARU,154415,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:55:02",601,566,35,427,353,35,39,615,188,416,11,0,288,0,102,0,3,0,1,3,0,12,1,1,2,2,1
36,TELEORMAN,"CĂMINUL CULTURAL",333,ZÂMBREASCA,154978,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:17:59",741,669,72,480,402,72,6,735,255,441,39,13,342,4,42,1,9,0,1,4,0,15,1,3,3,1,2
36,TELEORMAN,"CĂMINUL CULTURAL",242,PLOSCA,153605,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:38:20",1205,1185,20,886,866,0,20,1310,37,849,0,2,663,8,83,1,3,1,5,6,18,31,3,2,7,10,6
36,TELEORMAN,"CĂMINUL CULTURAL",184,ISLAZ,151736,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:54:31",1055,1045,10,647,613,10,24,1120,473,601,46,8,394,9,96,6,36,0,2,9,1,12,2,4,4,13,5
36,TELEORMAN,"CĂMINUL CULTURAL",313,TROIANUL,154790,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:17:09",48,43,5,48,23,5,20,55,7,43,5,0,27,0,4,0,6,0,0,1,2,0,2,0,0,1,0
36,TELEORMAN,"CĂMINUL CULTURAL",120,BUJORU,152314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:55:28",735,686,49,697,600,48,49,755,155,490,110,3,352,4,91,5,0,0,1,5,0,20,0,1,2,4,2
36,TELEORMAN,"CĂMINUL CULTURAL",113,BRAGADIRU,152234,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:28:38",905,881,24,582,524,17,41,970,388,566,16,6,453,4,60,0,14,0,1,2,0,15,3,0,5,2,1
36,TELEORMAN,"CĂMINUL CULTURAL BALCI",92,BALACI,151996,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:15",644,644,0,523,396,0,127,705,182,490,33,0,312,6,145,0,8,2,1,3,0,10,0,1,0,2,0
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:48:51",799,799,0,673,590,0,83,880,207,626,47,7,487,3,57,1,28,0,10,3,0,18,6,0,3,3,0
36,TELEORMAN,"CĂMINUL CULTURAL BUJORENI",117,BUJORENI,152270,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:18",374,374,0,209,163,0,46,420,211,201,8,2,141,2,22,2,11,1,0,2,0,11,0,1,2,1,3
36,TELEORMAN,"CĂMINUL CULTURAL DIDEȘTI",155,DIDEŞTI,152724,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:56:18",903,849,54,682,570,54,58,935,253,636,46,2,500,3,73,4,9,0,0,4,1,22,2,0,6,2,8
36,TELEORMAN,"CĂMINUL CULTURAL DIN SATUL CRÂNGU",151,CRÂNGU,152662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:58:10",889,832,57,466,344,57,65,915,505,402,8,17,311,0,39,3,1,1,1,0,0,19,1,0,4,4,1
36,TELEORMAN,"CĂMINUL CULTURAL FRUMOASA",174,FRUMOASA,152993,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:24:27",715,693,22,517,473,22,22,765,248,479,38,0,341,5,54,2,18,0,2,0,1,37,3,3,6,7,0
36,TELEORMAN,"CĂMINUL CULTURAL GĂRĂGĂU",321,VÂRTOAPE,154932,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:36",521,496,25,405,355,25,25,550,29,381,24,0,374,0,7,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,"CĂMINUL CULTURAL GURUIENI",200,MĂGURA,153240,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:20:00",713,691,22,497,457,18,22,760,263,479,18,2,345,1,88,4,3,2,3,1,0,18,4,1,3,0,4
36,TELEORMAN,"CĂMINUL CULTURAL MĂGURA",199,MĂGURA,153240,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:43:09",1332,1332,0,925,838,0,87,1460,535,887,38,1,633,1,160,11,9,1,1,4,0,41,3,1,7,11,3
36,TELEORMAN,"CĂMINUL CULTURAL PERETU",231,PERETU,153543,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:07:26",1225,1225,0,693,686,0,7,1345,652,648,45,2,505,0,62,0,16,4,0,2,1,19,3,6,11,9,8
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:20",134,134,0,120,110,0,10,150,30,111,9,5,95,0,7,1,0,0,0,1,0,0,0,0,1,0,1
36,TELEORMAN,"CĂMINUL CULTURAL RĂDULEŞTI",154,CREVENICU,151932,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:53:58",395,395,0,274,257,0,17,430,156,259,15,1,183,2,48,0,5,0,0,1,0,14,2,0,2,0,1
36,TELEORMAN,"CĂMINUL CULTURAL RĂSMIREŞTI",259,RĂSMIREŞTI,153909,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:05",591,558,33,626,427,33,166,640,14,578,48,0,519,0,40,0,9,0,0,2,2,6,0,0,0,0,0
36,TELEORMAN,"CĂMINUL CULTURAL SILIŞTEA",282,SILIŞTEA,154228,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:24:45",1003,972,31,805,737,0,68,1075,270,757,48,9,554,1,82,2,23,2,3,1,0,50,5,3,12,3,7
36,TELEORMAN,"CĂMINUL CULTURAL TECUCI",93,BALACI,151996,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:31:29",489,489,0,434,342,0,92,540,106,421,13,3,198,0,179,1,0,0,4,2,0,25,2,2,1,1,3
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE JOS",322,VÂRTOAPE,154932,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:04:38",667,667,0,699,667,0,32,735,183,552,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,"CĂMINUL CULTURAL VIRTOAPELE DE SUS",320,VÂRTOAPE,154932,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:23:29",781,756,25,645,546,25,74,825,182,599,44,0,426,0,139,3,8,3,0,6,0,14,0,0,0,0,0
36,TELEORMAN,"CASA DE CULTURĂ",51,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:40:58",398,397,1,415,397,1,17,1105,690,385,19,2,193,9,48,3,89,1,1,0,1,13,2,1,11,9,2
36,TELEORMAN,"CASA DE CULTURA VIDELE",76,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:15:01",1443,1443,0,953,921,0,32,1595,642,949,4,110,491,78,130,12,57,5,8,9,1,38,4,3,1,1,1
36,TELEORMAN,"CENTRU DE ZI",160,DRACEA,155109,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:36:00",63,63,0,54,42,0,12,70,16,51,3,0,43,1,5,0,1,0,0,0,0,0,0,0,0,1,0
36,TELEORMAN,"CENTRU DE ZI",161,DRACEA,155109,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:27:29",134,134,0,127,88,0,39,145,18,125,2,0,111,0,5,0,3,0,0,1,0,4,0,0,0,1,0
36,TELEORMAN,"CENTRU EDUCAȚIONAL",71,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:02:43",1223,1223,0,402,395,0,7,1350,948,371,31,3,240,6,59,3,14,3,0,4,1,19,3,5,1,7,3
