precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
41,VRANCEA,"AGENŢIA JUDEŢEANĂ PENTRU PLĂŢI ŞI INSPECŢIE SOCIALĂ",33,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:10",1384,1384,0,550,539,0,11,1528,976,521,29,0,245,21,72,14,59,2,10,2,3,30,11,6,23,23,0
41,VRANCEA,"AȘEZĂMÂNT CULTURAL",344,VINTILEASCA,178475,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:25:05",591,591,0,387,347,0,40,652,265,349,38,0,260,1,42,2,10,1,1,0,3,11,6,1,3,7,1
41,VRANCEA,"ATENEUL POPULAR „MAIOR GHEORGHE PASTIA” FOCȘANI",3,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:49:11",1397,1397,0,665,623,0,42,1537,873,631,31,3,307,34,81,11,85,2,4,6,1,28,15,3,19,23,9
41,VRANCEA,"BIBLIOTECA ORĂȘENEASCĂ ”ANA GEORGESCU”",85,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:18",1460,1460,0,764,746,0,18,1615,851,726,38,13,462,13,104,11,38,7,3,4,10,30,1,1,14,13,2
41,VRANCEA,"CAMIN CULTURAL",119,BROŞTENI,175466,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:50:04",1361,1357,4,814,802,4,8,1501,687,745,69,4,505,5,116,5,19,3,1,6,0,27,8,2,13,19,12
41,VRANCEA,"CAMIN CULTURAL",291,STRĂOANE,177799,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:21",767,766,1,429,421,1,7,840,411,414,15,2,225,7,91,2,40,2,2,1,1,14,2,1,7,12,5
41,VRANCEA,"CĂMIN CULTURAL",128,CÂRLIGELE,175732,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:31:57",1133,1108,25,580,544,25,11,1217,637,545,35,6,343,6,92,1,19,0,0,24,0,27,10,4,6,6,1
41,VRANCEA,"CĂMIN CULTURAL",107,BILIEŞTI,178929,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:35:19",1053,1053,0,621,600,0,21,1158,536,588,33,2,428,11,52,1,21,4,3,0,1,35,7,0,6,10,7
41,VRANCEA,"CĂMIN CULTURAL",106,BILIEŞTI,178929,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:22:19",999,999,0,595,563,0,32,1109,507,562,33,1,404,3,57,1,33,2,0,6,3,14,3,3,12,14,6
41,VRANCEA,"CAMIN CULTURAL CALIENII-VECHI",224,NĂNEŞTI,176855,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:17:57",537,507,30,546,507,30,9,556,278,252,26,1,188,2,25,0,23,0,0,1,1,6,3,0,0,1,1
41,VRANCEA,"CAMIN CULTURAL CIORASTI",136,CIORĂŞTI,175590,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:27:57",654,647,7,363,327,7,29,716,363,311,42,2,220,0,47,2,5,0,5,1,1,18,1,1,3,3,2
41,VRANCEA,"CAMIN CULTURAL DUMBRAVENI",152,DUMBRĂVENI,175938,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:52:38",1655,1654,1,933,917,0,16,1817,884,855,78,5,531,9,132,4,31,2,2,4,1,58,10,5,19,29,13
41,VRANCEA,"CĂMIN CULTURAL FARAOANELE",333,VÂRTEŞCOIU,178689,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:12:55",974,974,0,568,553,0,15,1071,503,529,39,1,404,9,38,2,12,2,1,4,0,31,6,1,9,6,3
41,VRANCEA,"CĂMIN CULTURAL GOLEŞTI",176,GOLEŞTI,174824,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:38",1619,1618,1,780,768,0,12,1786,1006,754,26,2,392,18,139,11,71,6,5,1,5,44,18,6,15,17,4
41,VRANCEA,"CAMIN CULTURAL NANESTI",222,NĂNEŞTI,176855,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:12:57",1026,975,51,619,546,50,23,1080,493,546,41,9,396,7,68,1,28,2,0,0,2,14,5,0,4,5,5
41,VRANCEA,"CĂMIN CULTURAL NEICU",99,"ORAŞ PANCIU",175055,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:39",498,498,0,256,242,0,14,553,297,230,26,1,131,3,37,1,22,1,1,0,2,14,3,2,4,7,1
41,VRANCEA,"CAMIN CULTURAL PĂULEȘTI",236,PĂULEŞTI,178910,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:14:39",588,581,7,382,375,0,7,642,260,344,38,2,218,1,29,5,45,1,1,1,3,11,4,5,11,4,3
41,VRANCEA,"CAMIN CULTURAL PAUNESTI",242,PĂUNEŞTI,177236,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:51:56",1073,1073,0,472,458,0,14,1170,698,419,53,0,200,11,67,52,26,2,0,4,1,22,8,1,12,11,2
41,VRANCEA,"CAMIN CULTURAL POIANA CRISTEI, PRIMARIA COMUNEI POIANA CRISTEI",247,"POIANA CRISTEI",177263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:02:36",934,934,0,638,626,0,12,1025,387,534,104,0,317,0,81,0,84,0,0,2,0,25,0,3,11,8,3
41,VRANCEA,"CAMIN CULTURAL PRAHUDA",235,PALTIN,177101,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:55:04",419,419,0,265,261,0,4,458,193,245,20,1,192,0,32,0,3,0,0,0,0,9,0,1,3,3,1
41,VRANCEA,"CAMIN CULTURAL(SALA FESTIVITATI)",105,BÂRSEŞTI,175224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:45:44",1149,1103,46,783,737,0,46,1218,435,742,41,4,544,2,107,2,22,2,1,1,0,17,6,1,15,12,6
41,VRANCEA,"CĂMIN CULTURAL SAT SPINEȘTI",357,VRÂNCIOAIA,178750,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:18:47",620,595,25,339,308,25,6,656,318,300,38,4,237,3,19,2,12,0,2,0,0,11,1,2,3,2,2
41,VRANCEA,"CĂMIN CULTURAL TĂTĂRANU",300,TĂTĂRANU,177986,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:35:31",1105,1105,0,568,549,0,19,1218,650,519,49,2,378,2,51,7,40,1,1,0,1,18,5,1,2,7,3
41,VRANCEA,"CĂMIN CULTURAL VERDEA",262,RĂCOASA,177405,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:35",551,551,0,348,331,0,17,607,259,307,41,0,169,1,100,1,10,2,0,1,0,15,4,0,2,0,2
41,VRANCEA,"CAMIN CULTURAL VIRTESCOIU",331,VÂRTEŞCOIU,178689,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:11:18",1276,1271,5,669,656,5,8,1401,732,626,43,1,381,9,88,5,30,1,2,1,3,44,15,3,18,12,13
41,VRANCEA,"CAMINUL CULTURAL",117,BORDEŞTI,175439,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-17 20:30:46",960,960,0,594,539,0,55,1049,455,531,63,3,331,6,60,4,77,0,2,0,0,21,6,1,10,7,3
41,VRANCEA,"CAMINUL CULTURAL",190,HOMOCEA,176445,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:55:14",1676,1676,0,469,458,0,11,1841,1372,436,33,6,309,0,37,12,4,0,0,2,0,54,2,0,2,1,7
41,VRANCEA,"CAMINUL CULTURAL",194,HOMOCEA,176445,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:57:41",992,992,0,517,512,0,5,1092,579,468,45,3,298,5,50,14,9,0,0,2,0,64,2,2,7,5,7
41,VRANCEA,"CĂMINUL CULTURAL",283,"SLOBOZIA CIORĂŞTI",177726,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:16:44",1056,1056,0,568,549,0,19,1163,595,529,39,2,332,5,86,2,18,4,4,2,1,51,3,4,1,6,8
41,VRANCEA,"CĂMINUL CULTURAL BOGZA",274,SIHLEA,177600,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:14:47",675,660,15,310,276,15,19,725,415,290,20,2,214,1,33,0,13,1,2,2,3,8,1,0,1,3,6
41,VRANCEA,"CAMINUL CULTURAL BUDESTI",149,COTEŞTI,175885,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:16:40",1469,1469,0,844,824,0,20,1625,781,800,44,6,332,11,175,2,175,5,4,5,5,37,7,3,14,14,5
