precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",74,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:13",1023,993,21,9,0,353,344,0,9,0,342,11,1180,827,63,72,79,34,13,63,18
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",75,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:02",1372,1227,139,6,0,465,459,0,6,0,456,9,1420,955,60,120,99,36,9,110,22
2,ARAD,"BIBLIOTECA ORAȘULUI SÂNTANA",165,"ORAŞ SÂNTANA",12091,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:56:53",1012,1005,0,4,3,276,269,0,4,3,255,21,1110,834,35,130,53,5,4,9,19
2,ARAD,"CĂMIN CULTURAL",303,IGNEŞTI,11307,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:02",187,170,0,15,2,154,137,0,15,2,144,10,188,34,69,65,9,0,0,0,1
2,ARAD,"CĂMIN CULTURAL",277,GURAHONŢ,10943,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:18:47",62,49,0,8,5,53,40,0,8,5,51,2,60,7,1,22,21,0,7,0,0
2,ARAD,"CĂMIN CULTURAL",276,GURAHONŢ,10943,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:39",525,495,0,13,17,344,314,0,13,17,319,25,580,236,51,63,156,3,24,11,11
2,ARAD,"CĂMIN CULTURAL ALDEŞTI",193,BÂRSA,10051,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:37",445,415,0,8,22,312,282,0,8,22,304,8,460,148,37,111,141,1,2,6,6
2,ARAD,"CĂMIN CULTURAL COVĂSINȚ",240,COVĂSINŢ,10514,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:30",1037,1002,3,4,28,483,449,2,4,28,447,36,1100,617,45,276,95,6,1,13,11
2,ARAD,"CĂMIN CULTURAL DOROBANŢI",260,DOROBANŢI,12912,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:02:38",1347,1293,0,13,41,819,765,0,13,41,797,22,1470,651,14,90,25,655,0,8,5
2,ARAD,"CĂMIN CULTURAL LAZURI",411,VÂRFURILE,12689,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:17",585,570,2,3,10,382,367,2,3,10,369,13,640,258,136,95,110,0,6,19,3
2,ARAD,"CĂMIN CULTURAL PĂIUŞENI",233,CHISINDIA,10417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:20",286,264,0,7,15,235,215,0,6,14,230,5,312,77,31,101,86,1,3,5,3
2,ARAD,"CĂMIN CULTURAL PĂULIŞ",322,PĂULIŞ,11539,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:34:17",1548,1495,18,19,16,941,906,0,19,16,905,36,1670,729,321,431,87,11,6,19,30
2,ARAD,"CĂMIN CULTURAL SÂMBĂTENI",325,PĂULIŞ,11539,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:27:24",1699,1660,7,14,18,993,958,3,14,18,948,45,1846,853,518,269,93,3,5,33,27
