precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞERBAN MARCEL-IULIAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"AGENȚIA POȘTALĂ",258,"ORAŞ PREDEAL",40303,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:00:45",277,270,0,5,2,169,162,0,5,2,160,9,306,137,66,14,22,10,4,4,40
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",381,MÂNDRA,41417,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:28:21",695,681,0,9,5,372,358,0,9,5,336,36,750,378,75,47,111,14,5,5,79
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",382,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:17",469,453,0,11,5,284,268,0,11,5,261,23,500,216,69,29,88,14,11,3,47
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",383,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:01",209,194,1,14,0,123,109,0,14,0,116,7,200,77,36,12,39,1,2,2,24
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",384,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:47",237,220,0,8,9,138,121,0,8,9,133,5,300,162,28,19,55,4,4,0,23
8,BRAŞOV,"AȘEZĂMÎNT CULTURAL MÂNDRA",380,MÂNDRA,41417,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:38",1012,990,1,13,8,598,577,0,13,8,557,41,1050,452,107,69,218,16,8,7,132
8,BRAŞOV,"CAMIN CULTURAL",433,TĂRLUNGENI,42003,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:47:11",1786,1762,7,9,8,923,906,0,9,8,763,160,1900,977,301,116,61,42,164,4,75
8,BRAŞOV,"CAMIN CULTURAL",351,HĂLCHIU,41033,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:30",1055,1043,2,8,2,570,559,1,8,2,526,44,1100,530,164,28,56,19,228,6,25
8,BRAŞOV,"CĂMIN CULTURAL ACRIȘ",452,"VAMA BUZĂULUI",42183,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:23",1046,1044,0,2,0,474,472,0,2,0,393,81,1100,626,53,102,184,17,7,7,23
8,BRAŞOV,"CAMIN CULTURAL BECLEAN",299,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:14:00",777,720,2,42,13,432,376,1,42,13,404,28,762,330,218,54,85,12,5,5,25
8,BRAŞOV,"CĂMIN CULTURAL BEIA",322,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:42",326,316,0,10,0,210,200,0,10,0,192,18,350,140,127,31,17,5,8,2,2
8,BRAŞOV,"CAMIN CULTURAL BOHOLT",300,BECLEAN,40544,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:42:50",186,159,0,24,3,148,121,0,24,3,143,5,200,52,72,16,43,6,3,0,3
8,BRAŞOV,"CAMIN CULTURAL CALBOR",301,BECLEAN,40544,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:52:17",236,215,0,19,2,161,140,0,19,2,152,9,215,54,100,17,13,4,0,2,16
8,BRAŞOV,"CĂMIN CULTURAL DRĂUȘENI",323,CAŢA,40768,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:07",413,406,1,6,0,242,236,0,6,0,221,21,450,208,67,14,37,1,100,0,2
8,BRAŞOV,"CAMIN CULTURAL GRID",392,PĂRĂU,41578,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:44:23",234,220,1,11,2,158,144,1,11,2,146,12,229,71,53,26,37,6,7,3,14
8,BRAŞOV,"CAMIN CULTURAL HOMOROD",368,HOMOROD,41248,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 22:49:45",1205,1194,0,8,3,556,545,0,8,3,472,84,1300,744,74,128,205,6,51,3,5
8,BRAŞOV,"CAMIN CULTURAL JIMBOR",369,HOMOROD,41248,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 21:05:01",386,379,0,7,0,211,204,0,7,0,189,22,441,230,18,4,32,3,130,1,1
8,BRAŞOV,"CAMIN CULTURAL LUTA",303,BECLEAN,40544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:53:12",90,69,0,19,2,74,53,0,19,2,74,0,103,29,40,10,12,4,1,0,7
8,BRAŞOV,"CAMIN CULTURAL MERCHEASA",370,HOMOROD,41248,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 22:07:24",436,427,1,8,0,265,257,0,8,0,216,49,499,234,84,43,71,7,7,1,3
8,BRAŞOV,"CAMIN CULTURAL RUCAR",456,VIŞTEA,42236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:19",398,331,0,60,7,302,235,0,60,7,278,24,350,48,175,22,68,1,8,1,3
8,BRAŞOV,"CĂMIN CULTURAL ŞERCAIA",416,ŞERCAIA,41818,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:33",1471,1427,7,8,29,764,725,2,8,29,676,81,1600,836,336,132,78,28,52,5,45
8,BRAŞOV,"CĂMIN CULTURAL VAD",418,ŞERCAIA,41818,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:50:24",486,456,1,24,5,286,256,1,24,5,266,17,504,216,111,19,74,10,9,11,32
8,BRAŞOV,"CĂMIN CULTURAL VAMA BUZĂULUI",451,"VAMA BUZĂULUI",42183,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:32:37",1350,1338,2,7,3,674,663,1,7,3,602,72,1500,826,105,92,314,27,10,5,49
8,BRAŞOV,"CAMIN CULTURAL VENETIA DE JOS",393,PĂRĂU,41578,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:44",588,556,0,23,9,374,342,0,23,9,312,62,600,226,115,40,98,22,8,7,22
8,BRAŞOV,"CAMIN CULTURAL VISTEA DE SUS",457,VIŞTEA,42236,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:11",568,516,1,36,15,372,321,0,36,15,361,11,600,228,146,43,113,3,9,7,40
8,BRAŞOV,"CĂMINUL CULTURAL",423,ŞINCA,41854,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:42:37",574,571,0,2,1,370,367,0,2,1,222,148,600,230,81,34,75,10,7,4,11
8,BRAŞOV,"CĂMINUL CULTURAL",421,ŞINCA,41854,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:04:07",270,264,1,5,0,150,145,0,5,0,120,30,300,150,41,19,43,7,4,2,4
8,BRAŞOV,"CĂMINUL CULTURAL",336,CRIZBAV,42456,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:34:27",1472,1433,1,32,6,873,835,0,32,6,815,58,1600,727,98,81,88,27,488,1,32
