precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"AȘEZĂMÂNTUL CULTURAL NEGREA",393,SCHELA,77153,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:03",542,514,1,8,19,340,312,1,8,19,321,19,604,264,3,136,145,12,0,4,0,1,5,3,1,10,1
18,GALAŢI,"BIBLIOTECA COMUNALA",350,MOVILENI,76745,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:42:20",1553,1525,2,10,16,735,709,0,10,16,654,81,1700,965,73,203,204,115,6,0,2,2,21,2,2,20,4
18,GALAŢI,"CĂMIN CULTURAL",239,BEREŞTI-MERIA,75356,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:57:36",219,209,0,10,0,118,108,0,10,0,115,3,228,110,0,23,78,5,0,0,0,0,2,0,1,4,2
18,GALAŢI,"CAMIN CULTURAL BURSUCANI",225,BĂLĂBĂNEŞTI,75542,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:34:53",482,480,0,1,1,261,259,0,1,1,245,16,529,268,1,66,156,13,4,0,1,0,2,0,0,1,1
18,GALAŢI,"CĂMIN CULTURAL DIN SAT FURCENII VECHI",275,COSMEŞTI,76040,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:55:26",1274,1250,1,6,17,571,548,0,6,17,545,22,1371,800,6,112,276,60,7,2,2,1,21,3,1,51,3
18,GALAŢI,"CĂMIN CULTURAL ”G-RAL EREMIA GRIGORESCU”",271,COSMEŞTI,76040,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:26:39",1197,1167,1,5,24,542,515,0,5,22,512,30,1360,818,4,88,279,47,8,2,2,1,19,6,3,45,8
18,GALAŢI,"CĂMIN CULTURAL OANCEA",368,OANCEA,76932,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:54",1287,1216,0,6,65,714,643,0,6,65,696,18,1200,486,10,84,550,15,0,1,0,0,18,6,0,11,1
18,GALAŢI,"CĂMIN CULTURAL PECHEA",374,PECHEA,76969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:31:55",1936,1928,2,6,0,769,763,0,6,0,730,39,2200,1431,6,149,430,59,2,2,1,2,11,41,1,23,3
18,GALAŢI,"CĂMIN CULTURAL UMBRĂREȘTI",218,"ORAŞ TÂRGU BUJOR",75472,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:57",886,860,0,8,18,481,455,0,8,18,458,23,967,486,10,143,264,15,0,0,1,1,9,3,0,10,2
18,GALAŢI,"CAMINUL CULTURAL",437,VLĂDEŞTI,77536,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:53",1200,1137,0,11,52,552,489,0,11,52,521,31,1318,766,7,107,320,71,0,1,0,0,3,4,0,4,4
