precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:43:37",1064,1034,0,18,12,861,831,0,18,12,822,39,1130,269,3,87,13,484,230,5
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:57:57",1741,1725,4,9,3,648,636,0,9,3,608,40,1914,1266,21,219,20,246,94,8
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:22:16",545,477,1,47,20,402,335,0,47,20,375,27,546,144,2,78,7,260,25,3
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:14:49",622,588,0,17,17,474,440,0,17,17,466,8,660,186,3,109,14,308,30,2
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:38:10",795,711,0,56,28,688,604,0,56,28,585,103,765,77,3,176,4,369,32,1
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:55:51",826,795,0,6,25,642,612,0,6,24,631,11,908,266,6,85,15,492,32,1
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:37:15",1446,1411,3,25,7,820,788,0,25,7,788,32,1562,742,7,280,37,397,57,10
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:45",1235,1082,2,149,2,914,763,0,149,2,901,13,1180,266,6,113,30,740,12,0
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,887,74,1441,480,2,22,6,819,36,2
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:32:18",1367,1286,2,41,38,875,796,0,41,38,826,49,1451,576,0,271,10,476,60,9
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:50:09",576,545,0,13,18,399,368,0,13,18,388,11,632,233,2,48,4,312,22,0
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",92,CĂLUGĂRENI,101662,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 17:44:16",1248,1222,0,26,0,924,898,0,26,0,881,43,1342,418,6,253,12,575,33,2
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:36:16",1068,771,1,296,0,918,622,0,296,0,882,34,924,8,1,405,22,397,56,1
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:36:23",795,665,0,103,27,640,510,0,103,27,634,6,755,115,0,85,15,510,24,0
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:52:53",749,670,2,52,25,552,473,2,52,25,542,10,755,203,2,166,10,352,12,0
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:35",875,796,1,42,36,673,595,0,42,36,651,22,914,241,3,271,8,306,58,5
