precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"AFTER SCHOOL DOMNESTI",215,DOMNEŞTI,102570,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:21:56",1825,1735,1,81,8,1089,1000,0,81,8,1062,27,1900,811,121,804,34,4,6,6,5,19,63
25,ILFOV,"AȘEZĂMÂNTUL SOCIAL AL BISERICII SF. DUMITRU",191,COPĂCENI,179588,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 08:44:18",1506,1494,1,9,2,982,971,0,9,2,974,8,1600,618,187,540,44,4,6,108,6,11,68
25,ILFOV,"BAZA SPORTIVĂ - CAMERA 12 (VESTIAR GAZDE)",277,"ŞTEFĂNEŞTII DE JOS",105419,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:09:16",1637,1601,0,23,13,1197,1161,0,23,13,1181,16,1700,503,26,1082,39,0,0,0,0,0,34
25,ILFOV,"CAMIN CULTURAL",182,CIOLPANI,101902,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:02:35",713,704,0,8,1,429,420,0,8,1,406,23,764,335,39,302,16,0,2,4,1,5,37
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 00:15:14",1651,1598,0,6,47,1138,1085,0,6,47,1074,62,1800,662,123,674,33,5,0,5,2,14,218
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,895,39,2000,1066,139,566,38,5,9,12,3,29,94
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",269,SNAGOV,105160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:51",1387,1339,5,43,0,932,887,2,43,0,875,57,1500,568,104,611,37,7,17,3,7,18,71
25,ILFOV,"CASA DE CULTURĂ GHERMĂNEŞTI",270,SNAGOV,105160,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:44:50",1202,1163,2,35,2,852,814,1,35,2,820,30,1300,448,99,568,19,9,10,3,8,26,78
25,ILFOV,"CENTRUL DE ASISTENȚĂ DUPĂ PROGROMUL ȘCOLAR",283,TUNARI,105570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:26",326,318,0,8,0,176,168,0,8,0,171,5,336,160,24,89,3,1,7,3,3,2,39
25,ILFOV,"CLĂDIREA AFTER SCHOOL",195,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:11:30",1941,1863,29,48,1,1113,1056,8,48,1,1088,25,1998,885,99,301,17,3,32,11,10,12,603
25,ILFOV,"CLĂDIRE POLICLINICĂ",136,BALOTEŞTI,100969,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:10:19",1047,1032,5,8,2,567,557,0,8,2,546,21,1101,534,69,327,20,6,9,4,3,9,99
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS - COSMOPOLIS PLAZA",275,"ŞTEFĂNEŞTII DE JOS",105419,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:42",1146,1087,42,17,0,516,499,0,17,0,507,9,1200,684,32,146,21,1,10,12,2,14,269
25,ILFOV,"COMPLEX REZIDENȚIAL COSMOPOLIS, SPAȚIUL NR. 7 (SHOWROOM)",272,"ŞTEFĂNEŞTII DE JOS",105419,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:54:37",1730,1635,71,23,1,748,723,1,23,1,718,30,1800,1052,45,208,32,5,9,5,5,17,392
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:02",1975,1959,0,16,0,650,634,0,16,0,630,20,2200,1550,59,177,22,4,18,10,6,10,324
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:13",1760,1661,21,78,0,953,875,0,78,0,856,15,1800,929,119,276,19,1,18,17,6,4,396
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:20",1252,1175,12,65,0,630,565,0,65,0,607,23,1300,670,80,189,20,2,21,3,3,12,277
25,ILFOV,"DIRECȚIA POLIȚIEI LOCALE BUFTEA",30,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:42:51",1431,1392,0,27,12,1100,1061,0,27,12,1017,83,1500,400,112,720,43,2,7,7,34,26,66
25,ILFOV,"FOSTA ŞCOALA NR. 3 PERIS",260,PERIŞ,104546,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:59:16",687,669,1,13,4,446,428,1,13,4,408,33,750,304,73,133,22,2,2,6,18,12,140
25,ILFOV,"FOSTA SCOALA SI GRADINITA ALUNISU",47,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:31",1293,1273,1,10,9,726,707,0,10,9,698,28,1400,674,82,513,23,2,8,8,3,10,49
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:31",1851,1781,37,22,11,961,928,0,22,11,927,34,2000,1039,117,552,65,13,17,17,15,23,108
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:07:21",1932,1899,12,21,0,890,869,0,21,0,874,16,2050,1160,86,329,27,4,16,7,3,11,391
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:22:44",1911,1871,11,29,0,843,814,0,29,0,820,23,2000,1157,136,239,10,2,20,10,4,5,394
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:03:31",2013,1961,9,43,0,1002,959,0,43,0,974,28,2200,1198,134,331,22,4,25,13,3,11,431
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:43:26",1860,1830,9,21,0,874,853,0,21,0,850,24,2000,1126,152,248,26,6,25,11,7,11,364
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:19",1886,1848,18,18,2,929,908,1,18,2,900,29,2100,1171,90,327,19,7,22,24,7,17,387
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:43:33",1797,1765,16,16,0,969,953,0,16,0,933,1,1945,975,72,421,25,3,18,17,8,11,358
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:46:39",1523,1505,0,18,0,882,864,0,18,0,857,25,1650,768,80,243,17,1,18,48,2,14,434
25,ILFOV,"GRADINITA CU PROGRAM PRELUNGIT NR.3",143,BERCENI,101145,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:52:03",1982,1857,4,109,12,1347,1226,0,109,12,1268,58,1889,544,108,876,39,3,9,9,7,30,187
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 04:20:28",1577,1560,6,11,0,668,656,1,11,0,656,12,1699,1031,95,214,35,4,10,9,9,13,267
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:26",1655,1609,24,22,0,740,718,0,22,0,726,14,1749,1009,65,247,31,5,23,10,3,13,329
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 06:18:08",1639,1606,3,30,0,682,652,0,30,0,661,18,1700,1021,58,182,26,2,10,10,3,21,349
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:28:14",1406,1385,16,5,0,541,536,0,5,0,527,14,1500,959,69,200,29,2,6,14,5,12,190
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:02",1368,1349,6,13,0,527,514,0,13,0,507,20,1500,973,63,178,26,2,9,17,1,16,195
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:15",1534,1499,10,25,0,727,702,0,25,0,710,17,1700,973,76,253,21,2,16,14,5,19,304
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:44:30",1439,1411,5,23,0,679,656,0,23,0,669,10,1500,815,94,234,33,9,6,11,12,15,255
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 22:28:47",1559,1531,9,19,0,579,560,0,19,0,559,20,1700,1121,75,201,28,4,15,17,1,7,211
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",216,DOMNEŞTI,102570,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:49:49",2105,1990,3,108,4,1211,1099,0,108,4,1176,23,2200,989,76,884,68,2,0,10,2,20,114
25,ILFOV,"GRADINIȚA CU PROGRAM PRELUNGIT TARÂMUL PRIETENIEI",217,DOMNEŞTI,102570,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:36:41",2010,1910,0,96,4,1042,942,0,96,4,1018,24,2100,1058,105,708,39,6,8,10,3,15,124
25,ILFOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEL”",34,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:52:12",1149,1143,0,6,0,539,533,0,6,0,522,17,1300,761,59,383,13,2,8,9,3,12,33
25,ILFOV,"GRĂDINIŢA DE COPII",238,GRUIU,103513,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:32",1818,1787,0,22,9,1095,1064,0,22,9,1015,80,2000,905,94,645,39,2,5,7,3,19,201
25,ILFOV,"GRĂDINIŢA NR. 1",196,CORBEANCA,102160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:52",1169,1131,1,37,0,664,626,1,37,0,643,21,1250,586,89,182,11,4,30,8,12,8,299
25,ILFOV,"GRĂDINIŢA NR.1",152,BRĂNEŞTI,101298,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:47",1254,1250,0,4,0,706,702,0,4,0,648,58,1350,644,85,475,38,2,0,8,0,12,28
25,ILFOV,"GRĂDINIȚA NR. 1",242,JILAVA,179383,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:46:09",1404,1378,3,23,0,998,975,0,23,0,939,59,1500,502,126,660,51,4,13,12,3,17,53
25,ILFOV,"GRĂDINIŢA NR. 1 CIOFLICENI",268,SNAGOV,105160,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:22:27",1144,1118,9,17,0,733,716,0,17,0,705,28,1200,467,81,467,19,2,12,5,6,23,90
25,ILFOV,"GRĂDINIȚA NR. 1 DRAGOMIREȘTI-DEAL(ȘCOALA VECHE)",223,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:26",1381,1264,4,109,4,789,676,0,109,4,758,31,1400,611,83,424,25,1,11,11,6,12,185
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:39:55",1838,1826,1,11,0,733,722,0,11,0,684,43,1998,1265,115,438,30,3,7,11,0,9,71
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 21:42:04",1870,1867,0,3,0,722,719,0,3,0,692,30,2117,1395,129,383,44,11,9,13,5,13,85
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:08:33",1252,1236,10,6,0,507,501,0,6,0,486,0,1400,914,71,314,24,2,2,7,2,11,53
