precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"BIBLIOTECA JUDEŢEANĂ PANAIT CERNA",37,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:10:34",1291,1274,12,5,0,533,528,0,5,0,512,21,1404,871,153,9,162,78,23,56,6,25
38,TULCEA,"CAMIN CULTURAL",180,"SFÂNTU GHEORGHE",161231,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:47:21",689,664,0,8,17,544,519,0,8,17,525,19,738,194,225,18,196,47,20,7,2,10
38,TULCEA,"CĂMIN CULTURAL",143,LUNCAVIŢA,160680,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:54",1284,1268,1,12,3,721,705,1,12,3,667,53,1400,680,172,2,387,59,1,15,2,29
38,TULCEA,"CĂMIN CULTURAL",106,"CHILIA VECHE",160172,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:31:07",771,766,0,1,4,419,414,0,1,4,396,23,844,425,103,6,123,108,4,41,0,11
38,TULCEA,"CĂMIN CULTURAL",142,LUNCAVIŢA,160680,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:58:23",1623,1607,0,12,4,969,953,0,12,4,895,74,1774,805,245,10,523,83,7,13,2,12
38,TULCEA,"CĂMIN CULTURAL",113,DĂENI,160305,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:27:50",1552,1497,0,17,38,912,857,0,17,38,875,37,1696,784,612,5,101,127,4,5,4,17
38,TULCEA,"CĂMIN CULTURAL",115,DOROBANŢU,160323,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:51",341,325,0,9,7,162,146,0,9,7,152,10,361,199,7,2,73,60,2,7,1,0
38,TULCEA,"CĂMIN CULTURAL",105,"CHILIA VECHE",160172,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:46",730,727,1,0,2,397,394,1,0,2,383,14,803,406,93,14,118,100,4,41,1,12
38,TULCEA,"CAMIN CULTURAL FRECATEI",117,FRECĂŢEI,160387,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:14:31",988,962,0,13,13,563,537,0,13,13,537,26,1071,508,246,6,190,39,4,22,6,24
38,TULCEA,"CĂMIN CULTURAL IAZURILE",202,"VALEA NUCARILOR",161482,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:03:29",642,620,1,11,10,343,322,0,11,10,325,18,685,336,115,2,121,51,18,5,1,12
38,TULCEA,"CĂMIN CULTURAL MURIGHIOL",156,MURIGHIOL,160911,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:51",1205,1203,1,1,0,690,689,0,1,0,657,33,1330,640,225,32,208,90,23,33,4,42
38,TULCEA,"CAMIN CULTURAL POSTA",119,FRECĂŢEI,160387,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:42:40",515,499,0,7,9,293,277,0,7,9,283,10,557,264,85,3,136,14,3,5,4,33
38,TULCEA,"CĂMIN CULTURAL SARINASUF",161,MURIGHIOL,160911,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:10:15",329,325,0,4,0,176,172,0,4,0,168,8,357,181,59,0,77,18,1,6,1,6
38,TULCEA,"CĂMIN CULTURAL TELIȚA",120,FRECĂŢEI,160387,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:14:34",452,432,4,9,7,254,237,1,9,7,236,15,490,239,65,23,90,29,7,6,0,16
38,TULCEA,"CAMINUL CULTURAL",172,PARDINA,161133,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:01",493,447,1,37,8,358,313,0,37,8,345,13,488,130,93,15,146,57,5,22,1,6
38,TULCEA,"CĂMINUL CULTURAL",187,STEJARU,161348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:42",423,326,0,68,29,423,326,0,68,29,422,1,528,105,334,0,63,9,0,1,13,2
38,TULCEA,"CĂMINUL CULTURAL",182,"SLAVA CERCHEZĂ",161259,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:34:14",907,867,0,20,20,466,427,0,20,19,403,63,981,515,98,6,103,160,8,12,3,13
38,TULCEA,"CĂMINUL CULTURAL",131,"I. C. BRĂTIANU",161525,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:54:31",937,908,0,25,4,602,573,0,25,4,583,19,1005,403,411,2,105,28,2,8,3,24
38,TULCEA,"CĂMINUL CULTURAL",98,CEATALCHIOI,160047,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:56:31",364,347,1,13,3,257,240,1,13,3,243,14,397,140,90,19,83,30,4,5,1,11
38,TULCEA,"CĂMINUL CULTURAL",137,JIJILA,160617,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:49",1009,1006,0,3,0,400,397,0,3,0,382,18,1120,720,99,5,115,110,6,14,5,28
38,TULCEA,"CĂMINUL CULTURAL",200,"VALEA NUCARILOR",161482,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:25:30",814,782,2,12,18,509,478,1,12,18,464,28,861,369,214,1,170,42,5,7,3,22
38,TULCEA,"CĂMINUL CULTURAL",173,PECENEAGA,161151,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:12",1339,1264,0,13,62,927,852,0,13,62,894,33,1456,529,216,10,557,55,6,29,2,19
38,TULCEA,"CĂMINUL CULTURAL",104,CERNA,160127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:30",805,777,1,6,21,485,458,0,6,21,460,25,863,378,114,1,134,191,1,3,5,11
