precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ANEXĂ PRIMĂRIE",303,MILCOIU,171469,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:02:03",267,225,0,15,27,175,133,0,15,27,159,16,270,95,31,100,1,14,3,2,3,1,1,3
40,VÂLCEA,"AȘEZĂMÂNT CULTURAL BĂILE GOVORA ( FOST CINEMATOGRAF)",115,"ORAŞ BĂILE GOVORA",167641,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:58:10",1212,1085,1,120,6,823,697,0,120,6,798,25,1220,397,189,478,3,39,52,12,8,3,3,11
40,VÂLCEA,"BLOC B1 - LICEUL TEHNOLOGIC DE TURISM CĂLIMĂNEŞTI",139,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:43",899,892,1,6,0,491,484,1,6,0,463,28,990,499,123,246,5,30,36,11,2,0,3,7
40,VÂLCEA,"CAMIN CULTURAL",314,"NICOLAE BĂLCESCU",171628,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:05",680,660,1,12,7,416,398,0,12,6,394,22,716,300,58,292,0,14,12,7,1,1,0,9
40,VÂLCEA,"CĂMIN CULTURAL(ATENEU SĂTESC)",343,PRUNDENI,172457,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:19:41",1180,1146,0,33,1,685,651,0,33,1,642,41,1260,567,183,368,0,35,20,14,0,2,7,13
40,VÂLCEA,"CĂMIN CULTURAL FÂRTĂŢEŞTI",221,FÂRTĂŢEŞTI,169681,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:16:20",333,300,0,24,9,248,215,0,24,9,222,26,380,132,14,154,2,37,6,1,1,0,1,6
40,VÂLCEA,"CĂMIN CULTURAL(FOSTUL CĂMIN CULTURAL DIN CURTEA PRIMĂRIEI)",320,ORLEŞTI,171879,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:44",1453,1407,0,1,45,923,877,0,1,45,862,61,1550,627,487,253,2,17,15,63,3,2,2,18
40,VÂLCEA,"CĂMIN CULTURAL GREBLEŞTI",189,CÂINENI,169119,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:41",579,536,0,37,6,371,328,0,37,6,344,27,600,229,229,37,3,44,8,3,2,0,16,2
40,VÂLCEA,"CĂMIN CULTURAL RUDA",179,BUDEŞTI,168791,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:29",469,458,0,11,0,277,266,0,11,0,255,22,510,233,111,103,1,19,1,5,1,0,2,12
40,VÂLCEA,"CĂMIN CULTURAL VOICEŞTI",427,VOICEŞTI,174218,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:16:56",1286,1168,3,55,60,905,796,1,48,60,894,11,1290,385,234,576,3,35,12,14,1,1,4,14
