county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","ONC SABIN-voturi","ONC SABIN-mandate-faza-1","ONC SABIN-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","MACARIE GHEORGHE-voturi","MACARIE GHEORGHE-mandate-faza-1","MACARIE GHEORGHE-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","PARTIDUL PHRALIPE AL ROMILOR-voturi","PARTIDUL PHRALIPE AL ROMILOR-mandate-faza-1","PARTIDUL PHRALIPE AL ROMILOR-mandate-faza-2","BĂDILA IOAN-voturi","BĂDILA IOAN-mandate-faza-1","BĂDILA IOAN-mandate-faza-2","BUNESCU LUISA-MARIA-voturi","BUNESCU LUISA-MARIA-mandate-faza-1","BUNESCU LUISA-MARIA-mandate-faza-2","CORLACIU RAFILA-voturi","CORLACIU RAFILA-mandate-faza-1","CORLACIU RAFILA-mandate-faza-2","BENCHEA VASILE-voturi","BENCHEA VASILE-mandate-faza-1","BENCHEA VASILE-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","TUHUŢ CRISTIAN-voturi","TUHUŢ CRISTIAN-mandate-faza-1","TUHUŢ CRISTIAN-mandate-faza-2","COMŞA VASILE-voturi","COMŞA VASILE-mandate-faza-1","COMŞA VASILE-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","RADAC VASILE-voturi","RADAC VASILE-mandate-faza-1","RADAC VASILE-mandate-faza-2","DĂRĂŞTEANU PAUL-MIHAI-voturi","DĂRĂŞTEANU PAUL-MIHAI-mandate-faza-1","DĂRĂŞTEANU PAUL-MIHAI-mandate-faza-2","BUCUR VALER-SORIN-voturi","BUCUR VALER-SORIN-mandate-faza-1","BUCUR VALER-SORIN-mandate-faza-2","SÎRB TEODOR-IOAN-voturi","SÎRB TEODOR-IOAN-mandate-faza-1","SÎRB TEODOR-IOAN-mandate-faza-2","DANCIU IONELA-MARIANA-voturi","DANCIU IONELA-MARIANA-mandate-faza-1","DANCIU IONELA-MARIANA-mandate-faza-2","FLOREA PAUL-VICTOR-voturi","FLOREA PAUL-VICTOR-mandate-faza-1","FLOREA PAUL-VICTOR-mandate-faza-2","SZABO-BUZATU GABRIEL-voturi","SZABO-BUZATU GABRIEL-mandate-faza-1","SZABO-BUZATU GABRIEL-mandate-faza-2","GAVRILĂ-PAVEN IONELA-voturi","GAVRILĂ-PAVEN IONELA-mandate-faza-1","GAVRILĂ-PAVEN IONELA-mandate-faza-2","SIDERAŞ ALEXANDRU-voturi","SIDERAŞ ALEXANDRU-mandate-faza-1","SIDERAŞ ALEXANDRU-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","KOPENETZ LORAND-MÁRTON-voturi","KOPENETZ LORAND-MÁRTON-mandate-faza-1","KOPENETZ LORAND-MÁRTON-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","CRIŞAN TEODOR-voturi","CRIŞAN TEODOR-mandate-faza-1","CRIŞAN TEODOR-mandate-faza-2","TAT SORIN-HOREA-voturi","TAT SORIN-HOREA-mandate-faza-1","TAT SORIN-HOREA-mandate-faza-2","BEC TRAIAN-IOAN-voturi","BEC TRAIAN-IOAN-mandate-faza-1","BEC TRAIAN-IOAN-mandate-faza-2"
1,ALBA,ALBAC,2130,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:21:08",1635,1477,1,84,73,1362,1204,1,84,73,1324,38,1750,388,66,92,105,115,443,3,1,226,1,1,53,0,0,602,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"ALMAŞU MARE",2309,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:15:14",1046,978,0,44,24,817,749,0,44,24,795,22,1096,279,39,55,63,88,284,3,0,136,1,1,47,0,1,131,1,0,46,0,1,111,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,ARIEŞENI,2381,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:10:29",1382,1248,2,66,66,1161,1028,1,66,66,1136,25,1414,253,56,79,90,126,707,5,1,104,0,1,0,0,0,325,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"AVRAM IANCU",2577,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:45:43",1203,1145,3,16,39,872,817,0,16,39,840,31,1275,404,42,58,67,92,158,1,0,172,1,1,104,1,0,346,3,1,0,0,0,0,0,0,0,0,0,11,0,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BERGHIN,2988,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:23:16",1552,1523,3,14,12,859,833,0,14,12,818,41,1711,852,40,57,65,74,464,6,0,218,2,1,0,0,0,72,0,1,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BISTRA,3039,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:13:34",3787,3725,1,39,22,2396,2334,1,39,22,2283,107,4093,1703,114,159,182,169,1086,6,1,144,0,1,0,0,0,653,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BLANDIANA,3397,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:59:01",770,678,1,32,59,596,505,0,32,59,585,11,816,220,29,40,46,65,392,6,0,0,0,0,0,0,0,193,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,"BUCERDEA GRÂNOASĂ",9026,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:23:04",1813,1773,2,3,35,1240,1202,0,3,35,1192,48,1996,756,59,83,95,103,373,3,1,540,5,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,BUCIUM,3459,2,FINAL,UAT,CL,CL_CE,"2024-06-12 13:58:03",1098,1024,0,29,45,836,762,0,29,45,817,19,1294,458,40,57,65,90,312,3,0,89,0,1,0,0,0,416,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ALBA,CÂLNIC,4106,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:25:16",1547,1484,3,31,29,1028,967,1,31,29,963,65,1640,612,48,67,77,77,672,8,1,43,0,0,0,0,0,181,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
