county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","CONSTANTIN VICTORIA-voturi","CONSTANTIN VICTORIA-mandate-faza-1","CONSTANTIN VICTORIA-mandate-faza-2","NICOLAIE COSTEL-voturi","NICOLAIE COSTEL-mandate-faza-1","NICOLAIE COSTEL-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","FRĂŢILOIU ŞTEFAN-voturi","FRĂŢILOIU ŞTEFAN-mandate-faza-1","FRĂŢILOIU ŞTEFAN-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","RADU ION-voturi","RADU ION-mandate-faza-1","RADU ION-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PODGOREANU MĂDĂLIN-NICU-voturi","PODGOREANU MĂDĂLIN-NICU-mandate-faza-1","PODGOREANU MĂDĂLIN-NICU-mandate-faza-2","VIŞINICĂ FĂNEL-voturi","VIŞINICĂ FĂNEL-mandate-faza-1","VIŞINICĂ FĂNEL-mandate-faza-2","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-mandate-faza-1","PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-mandate-faza-2","BLOCUL SUVERANIST ROMÂN-voturi","BLOCUL SUVERANIST ROMÂN-mandate-faza-1","BLOCUL SUVERANIST ROMÂN-mandate-faza-2","VOVEC CRISTIAN-voturi","VOVEC CRISTIAN-mandate-faza-1","VOVEC CRISTIAN-mandate-faza-2","STURZU GHEORGHE-voturi","STURZU GHEORGHE-mandate-faza-1","STURZU GHEORGHE-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","BARDAŞ IONEL-voturi","BARDAŞ IONEL-mandate-faza-1","BARDAŞ IONEL-mandate-faza-2","MIHAI GHEORGHE-voturi","MIHAI GHEORGHE-mandate-faza-1","MIHAI GHEORGHE-mandate-faza-2","MOISE DAN-voturi","MOISE DAN-mandate-faza-1","MOISE DAN-mandate-faza-2","ANDREIU LUCIAN-voturi","ANDREIU LUCIAN-mandate-faza-1","ANDREIU LUCIAN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2"
10,BUZĂU,AMARU,44863,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:33:32",1789,1737,1,25,26,1093,1042,0,25,26,1042,51,1903,810,52,72,83,88,683,7,1,69,0,1,224,2,0,46,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BĂLĂCEANU,44989,1,FINAL,UAT,CL,CL_CE,"2024-06-12 13:03:51",1285,1128,0,89,68,959,802,0,89,68,937,22,1313,354,46,65,74,104,443,4,0,0,0,0,398,3,1,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,"BALTA ALBĂ",44934,2,FINAL,UAT,CL,CL_CE,"2024-06-17 02:06:19",2094,1871,4,138,81,1525,1303,3,138,81,1476,49,2059,500,73,103,118,130,724,5,1,37,0,0,573,4,0,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BECENI,45003,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:22:17",3252,3084,0,93,75,2231,2063,0,93,75,2166,65,3762,1531,108,151,173,166,1619,9,1,140,0,1,407,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BERCA,45101,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:03:01",6990,6901,2,59,28,3598,3510,1,59,28,3492,100,7666,4072,174,244,279,232,2445,10,1,241,1,0,233,1,0,573,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BISOCA,45245,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:28:43",1838,1812,1,19,6,1093,1068,0,19,6,1036,57,2016,923,51,72,82,90,822,9,0,41,0,0,173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BLĂJANI,45334,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:22:25",810,723,1,47,39,628,541,1,47,39,607,21,840,212,30,42,48,64,437,6,1,0,0,0,139,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BOLDU,45361,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:54:58",1745,1676,1,18,50,1118,1050,0,18,50,1070,48,1894,776,53,74,85,89,761,8,1,0,0,0,225,2,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BOZIORU,45389,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:59:33",838,709,0,104,25,637,508,0,104,25,611,26,696,58,30,42,48,67,404,6,0,0,0,0,207,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BRĂDEANU,45496,2,FINAL,UAT,CL,CL_CE,"2024-06-26 14:02:05",1859,1828,0,8,23,1214,1183,0,8,23,1177,36,2019,806,58,82,94,107,601,5,1,0,0,0,508,4,1,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
