county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-1","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-2","TRIFU VASILICA-voturi","TRIFU VASILICA-mandate-faza-1","TRIFU VASILICA-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","ALIANȚA PMP - FORȚA DREPTEI-voturi","ALIANȚA PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","MAVRODIN MARIAN-GHEORGHE-voturi","MAVRODIN MARIAN-GHEORGHE-mandate-faza-1","MAVRODIN MARIAN-GHEORGHE-mandate-faza-2","PANĂ VICTOR-voturi","PANĂ VICTOR-mandate-faza-1","PANĂ VICTOR-mandate-faza-2","CONSTANTIN GEORGICĂ-voturi","CONSTANTIN GEORGICĂ-mandate-faza-1","CONSTANTIN GEORGICĂ-mandate-faza-2"
12,CĂLĂRAŞI,"ALEXANDRU ODOBESCU",94125,2,FINAL,UAT,CL,CL_CE,"2024-06-13 16:08:25",2483,2151,3,209,120,1874,1547,1,209,117,1837,37,2325,451,91,128,146,165,1136,6,1,682,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,BELCIUGATELE,101083,3,FINAL,UAT,CL,CL_CE,"2024-06-20 15:13:10",1781,1596,8,127,50,1365,1188,0,127,50,1330,31,1802,441,66,93,106,120,538,4,0,595,4,1,0,0,0,197,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,BORCEA,92961,2,FINAL,UAT,CL,CL_CE,"2024-06-19 12:03:20",6363,6214,1,61,87,3478,3329,1,61,87,3370,108,7004,3526,168,235,269,211,2423,11,0,568,2,1,0,0,0,96,0,0,188,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CĂSCIOARELE,101724,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:35:44",1468,1337,2,64,65,1118,989,0,64,65,1106,12,1467,349,55,77,88,100,483,4,1,623,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CHIRNOGI,101804,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:16:23",5683,5625,2,33,23,3002,2946,0,33,23,2766,236,6268,3266,138,193,221,181,674,3,1,1749,9,1,0,0,0,0,0,0,298,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CHISELET,101822,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:40:48",2480,2412,1,14,53,1438,1371,0,14,53,1393,45,2688,1250,69,97,111,107,1014,9,0,379,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CIOCĂNEŞTI,93085,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:01:48",3317,3095,2,70,150,2366,2146,1,70,149,2235,82,3542,1225,111,156,178,171,851,4,1,1250,7,0,0,0,0,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CRIVĂŢ,180055,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:50:04",1612,1531,0,21,60,1138,1058,0,21,59,1092,46,1688,550,54,76,87,99,365,3,1,441,4,0,286,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,CURCANI,102419,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:48:15",4029,3978,2,25,24,2630,2581,0,25,24,2471,139,4221,1601,123,172,197,163,1216,7,0,1107,6,1,22,0,0,0,0,0,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"CUZA VODĂ",93281,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:07:48",3525,3396,3,68,58,2338,2216,0,68,54,2262,76,3740,1402,113,158,180,164,1207,7,0,933,5,1,25,0,0,23,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
