county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","GURGU MARIAN-voturi","GURGU MARIAN-mandate-faza-1","GURGU MARIAN-mandate-faza-2","ZEGOICEA CRISTIAN-voturi","ZEGOICEA CRISTIAN-mandate-faza-1","ZEGOICEA CRISTIAN-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-1","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","FORUMUL CEHILOR DIN ROMÂNIA-voturi","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","BĂRBULESCU CRISTIAN-VALENTIN-voturi","BĂRBULESCU CRISTIAN-VALENTIN-mandate-faza-1","BĂRBULESCU CRISTIAN-VALENTIN-mandate-faza-2","GOGAN MARINICĂ-voturi","GOGAN MARINICĂ-mandate-faza-1","GOGAN MARINICĂ-mandate-faza-2","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-voturi","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2","BĂLOI CONSTANTIN-voturi","BĂLOI CONSTANTIN-mandate-faza-1","BĂLOI CONSTANTIN-mandate-faza-2","GUSTEA TITU-voturi","GUSTEA TITU-mandate-faza-1","GUSTEA TITU-mandate-faza-2","GUSTEA DANIEL-COSMIN-voturi","GUSTEA DANIEL-COSMIN-mandate-faza-1","GUSTEA DANIEL-COSMIN-mandate-faza-2"
27,MEHEDINŢI,BÂCLEŞ,110571,2,FINAL,UAT,CL,CL_CE,"2024-06-12 19:49:26",1520,1184,1,112,223,1104,769,1,112,222,1079,25,1439,331,53,75,86,97,912,9,0,89,0,1,73,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BALA,110296,2,FINAL,UAT,CL,CL_CE,"2024-06-15 15:33:45",3109,2937,0,157,15,2102,1930,0,157,15,2015,86,3209,1107,100,141,161,152,716,4,1,685,4,1,283,1,1,168,1,0,134,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BĂLĂCIŢA,110535,2,FINAL,UAT,CL,CL_CE,"2024-06-15 15:51:10",1901,1524,0,265,112,1534,1157,0,265,112,1470,60,2187,610,73,102,117,126,525,4,0,782,6,0,80,0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BALTA,110456,2,FINAL,UAT,CL,CL_CE,"2024-06-15 16:50:05",1090,755,0,312,23,909,574,0,312,23,878,31,1219,310,43,61,70,92,577,6,0,252,2,1,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BÂLVĂNEŞTI,110688,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:12:32",1054,710,1,339,4,891,548,0,339,4,869,22,1066,175,43,60,69,94,264,2,1,583,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BRANIŞTEA,114060,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:35:03",1447,1291,0,39,117,969,813,0,39,117,944,25,1541,572,47,66,75,85,226,2,1,665,7,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BREZNIŢA-MOTRU,110740,2,FINAL,UAT,CL,CL_CE,"2024-06-12 17:04:16",1160,961,0,112,87,865,666,0,112,87,843,22,1136,271,42,59,67,92,288,3,0,503,5,0,45,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BREZNIŢA-OCOL,110820,2,FINAL,UAT,CL,CL_CE,"2024-06-11 20:17:16",3303,3233,1,23,46,1805,1736,0,23,46,1745,60,3560,1755,87,122,139,128,80,0,0,1473,11,1,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,BROŞTENI,110875,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:26:02",2465,2236,0,182,47,1714,1485,0,182,47,1670,44,2484,770,83,116,133,143,375,2,1,776,5,0,432,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"BURILA MARE",110946,2,FINAL,UAT,CL,CL_CE,"2024-06-12 18:43:36",1710,1538,6,82,84,1204,1036,2,82,84,1127,74,1822,618,56,78,90,101,251,2,1,749,7,0,113,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
