precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÎNZÎNĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VELCESCU FLORIN-BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PERIANU RADU-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂRĂŞOIU DORIN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","LAZĂR ION-CORNEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SOARE EMANUEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALEXANDRESCU INGRID-ELENA-PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"AȘEZĂMÂNTUL SOCIAL DE LA PAROHIA MĂRCUȘ",113,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:06:44",483,475,0,8,0,275,267,0,8,0,264,11,600,325,52,14,21,1,5,166,5
3,ARGEŞ,"BIBLIOTECA JUDEŢEANĂ ARGEŞ ”DINICU GOLESCU”",1,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:39:47",1207,1199,4,4,0,432,428,0,4,0,422,10,1300,868,146,31,105,8,16,101,15
3,ARGEŞ,"BIBLIOTECA MUNICIPALA ION BARBU - FILIALA GRUI",96,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:41:43",1408,1400,1,7,0,701,694,0,7,0,684,17,1600,899,216,58,71,4,8,304,23
3,ARGEŞ,"CĂMIN CULTURAL ALBOTA",196,ALBOTA,13935,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:51",2044,2031,5,8,0,1301,1292,1,8,0,1254,47,2236,935,596,106,344,5,6,106,91
3,ARGEŞ,"CĂMIN CULTURAL BĂDENI",474,STOENEŞTI,18858,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:18:47",1398,1379,1,5,13,772,753,1,5,13,742,30,1500,728,394,58,78,1,4,183,24
3,ARGEŞ,"CĂMIN CULTURAL BĂDICENI",370,MĂLURENI,17049,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:39",415,402,0,9,4,274,261,0,9,4,260,14,440,166,117,23,25,0,54,35,6
3,ARGEŞ,"CĂMIN CULTURAL BĂJEŞTI",221,BĂLILEŞTI,14272,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:48:47",818,808,0,10,0,559,549,0,10,0,539,20,895,336,270,66,126,3,1,55,18
3,ARGEŞ,"CĂMIN CULTURAL BĂLILEŞTI",220,BĂLILEŞTI,14272,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:20:59",898,879,0,19,0,613,594,0,19,0,596,17,970,357,326,42,151,4,6,35,32
3,ARGEŞ,"CĂMIN CULTURAL BELEŢI",229,BELEŢI-NEGREŞTI,14352,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:00:49",527,517,3,0,7,392,383,2,0,7,378,14,567,175,105,64,156,18,4,22,9
3,ARGEŞ,"CĂMIN CULTURAL BEREVOEŞTI-PĂMÎNTENI",231,BEREVOEŞTI,14405,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:56:54",1632,1627,0,3,2,1094,1089,0,3,2,1088,6,1730,636,600,112,254,26,8,41,47
3,ARGEŞ,"CĂMIN CULTURAL BOTENI",240,BOTENI,14673,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:39:59",1411,1377,0,3,31,970,936,0,3,31,928,42,1432,462,475,184,124,5,4,109,27
