precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GALIŞ FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIONCA-ARGHIR IUSTIN-MARINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","FIFOR MIHAI-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","PERO TAMAS-CAROL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOROŢIU FLORIN-DORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL RAZVAN-PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","KISS DAN-MIHAI-PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",74,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:13",1023,993,21,9,0,353,344,0,9,0,339,14,1180,827,59,76,78,29,12,67,18
2,ARAD,"AGENȚIA NAȚIONALĂ DE ADMINISTRARE FISCALĂ, FOSTA DIRECȚIE VAMALĂ",75,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:02",1372,1227,139,6,0,465,459,0,6,0,448,17,1420,955,44,127,93,36,14,112,22
2,ARAD,"BIBLIOTECA ORAȘULUI SÂNTANA",165,"ORAŞ SÂNTANA",12091,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:56:53",1012,1005,0,4,3,276,269,0,4,3,254,22,1110,834,34,133,52,3,2,11,19
2,ARAD,"CĂMIN CULTURAL",303,IGNEŞTI,11307,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:42:02",187,170,0,15,2,154,137,0,15,2,141,13,188,34,66,62,11,0,0,0,2
2,ARAD,"CĂMIN CULTURAL",277,GURAHONŢ,10943,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:04:10",62,49,0,8,5,53,40,0,8,5,52,1,60,7,0,23,22,0,6,1,0
2,ARAD,"CĂMIN CULTURAL",276,GURAHONŢ,10943,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:38",525,495,0,13,17,344,314,0,13,17,319,25,580,236,49,67,167,2,19,7,8
2,ARAD,"CĂMIN CULTURAL ALDEŞTI",193,BÂRSA,10051,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:38",445,415,0,8,22,312,282,0,8,22,304,8,460,148,31,111,147,1,2,6,6
2,ARAD,"CĂMIN CULTURAL COVĂSINȚ",240,COVĂSINŢ,10514,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:47:30",1037,1002,3,4,28,483,449,2,4,28,444,39,1100,617,45,280,92,2,2,13,10
2,ARAD,"CĂMIN CULTURAL DOROBANŢI",260,DOROBANŢI,12912,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:02:38",1347,1293,0,13,41,819,765,0,13,41,797,22,1470,651,14,96,25,639,4,9,10
2,ARAD,"CĂMIN CULTURAL LAZURI",411,VÂRFURILE,12689,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:16",585,570,2,3,10,382,367,2,3,10,366,16,640,258,120,95,114,1,12,23,1
2,ARAD,"CĂMIN CULTURAL PĂIUŞENI",233,CHISINDIA,10417,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:21",286,264,0,7,15,235,215,0,6,14,225,10,310,75,21,101,88,0,5,7,3
2,ARAD,"CĂMIN CULTURAL PĂULIŞ",322,PĂULIŞ,11539,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:34:21",1548,1495,18,19,16,941,906,0,19,16,896,45,1670,729,315,427,81,12,4,32,25
2,ARAD,"CĂMIN CULTURAL SÂMBĂTENI",325,PĂULIŞ,11539,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:27:16",1699,1660,7,14,18,993,958,3,14,18,948,45,1846,853,518,269,93,3,5,33,27
2,ARAD,"CĂMIN CULTURAL SATU NOU",166,"ORAŞ SÂNTANA",12091,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:34:32",1077,1068,0,5,4,549,540,0,5,4,539,10,1180,631,103,265,113,9,14,20,15
2,ARAD,"CĂMIN CULTURAL SLATINA DE MUREŞ",203,BÂRZAVA,10104,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:26",129,117,0,7,5,83,71,0,7,5,79,4,130,47,2,12,60,2,0,2,1
2,ARAD,"CĂMIN CULTURAL ŢĂRMURE",289,HĂLMAGIU,11058,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:39",257,224,0,14,19,206,173,0,14,19,200,6,288,82,16,138,46,0,0,0,0
2,ARAD,"CAMIN CULTURAL ȚELA",191,BATA,9887,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:19:31",284,249,1,25,9,207,172,1,25,9,194,13,280,73,11,122,39,2,0,14,6
2,ARAD,"CĂMIN CULTURAL VALEA MARE",346,SĂVÂRŞIN,11842,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:38:28",169,154,0,7,8,110,95,0,7,8,108,2,180,70,24,48,32,0,1,0,3
2,ARAD,"CĂMIN CULTURAL VĂSOAIA",234,CHISINDIA,10417,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:09:21",48,33,0,15,0,38,23,0,15,0,38,0,40,2,4,18,12,1,1,2,0
2,ARAD,"CĂMIN CULTURAL ZĂBRANI",426,ZĂBRANI,12778,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:01:31",993,973,2,7,11,573,557,1,4,11,545,28,1070,497,80,192,157,1,2,99,14
2,ARAD,"CĂMIN CULTURAL ZIMANDCUZ",440,"ZIMANDU NOU",12876,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:46:00",1491,1473,8,6,4,682,672,0,6,4,644,38,1650,968,79,208,70,178,8,61,40
2,ARAD,"CĂMINUL CULTURAL ACIUŢA",337,PLEŞCUŢA,11762,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:01:25",175,162,3,10,0,135,122,3,10,0,128,7,180,45,7,93,24,0,0,1,3
2,ARAD,"CĂMINUL CULTURAL ADEA",359,"SINTEA MARE",12055,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:44",840,810,6,5,19,520,494,2,5,19,482,38,910,390,14,107,104,179,3,5,70
2,ARAD,"CĂMINUL CULTURAL AGRIŞU MIC",295,HĂŞMAŞ,11236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:02:20",172,153,0,15,4,133,114,0,15,4,126,6,170,38,58,33,29,1,0,3,2
2,ARAD,"CĂMINUL CULTURAL ALMAŞ",176,ALMAŞ,9743,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:02:47",1131,1083,4,10,34,760,717,1,8,34,737,23,1190,430,103,321,235,1,6,26,45
2,ARAD,"CĂMINUL CULTURAL ANDREI ȘAGUNA",439,"ZIMANDU NOU",12876,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:21:37",1190,1156,0,6,28,695,661,0,6,28,660,35,1300,605,86,365,79,52,3,50,25
2,ARAD,"CĂMINUL CULTURAL ARĂNEAG",395,TÂRNOVA,12509,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:16:47",391,346,1,33,11,274,230,0,33,11,262,12,380,106,13,146,91,2,1,4,5
2,ARAD,"CĂMINUL CULTURAL BACĂUL DE MIJLOC",189,BATA,9887,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:25",150,142,0,7,1,112,104,0,7,1,105,7,160,48,10,53,29,0,3,9,1
2,ARAD,"CĂMINUL CULTURAL BAIA",404,"VĂRĂDIA DE MUREŞ",12572,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:42",102,94,0,6,2,76,68,0,6,2,74,2,110,34,32,12,26,2,1,1,0
2,ARAD,"CĂMINUL CULTURAL BĂNEȘTI",284,HĂLMAGIU,11058,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:51",212,196,0,8,8,176,160,0,8,8,169,7,230,54,27,83,54,1,0,3,1
2,ARAD,"CĂMINUL CULTURAL BÂRZAVA",196,BÂRZAVA,10104,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:10:15",755,713,1,19,22,466,425,0,19,22,446,17,810,347,43,35,340,1,4,7,16
2,ARAD,"CĂMINUL CULTURAL BENEŞTI",205,BELIU,9930,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:12:51",110,98,1,7,4,78,66,1,7,4,70,8,110,32,13,32,20,0,0,2,3
2,ARAD,"CĂMINUL CULTURAL BERINDIA",225,BUTENI,10293,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:44:38",177,168,0,2,7,139,130,0,2,7,138,1,200,61,19,75,30,2,6,2,4
2,ARAD,"CĂMINUL CULTURAL BIRCHIŞ",210,BIRCHIŞ,10006,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:05:12",530,502,0,19,9,333,305,0,19,9,321,12,570,237,130,130,44,2,0,10,5
2,ARAD,"CĂMINUL CULTURAL BOCHIA",206,BELIU,9930,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:53:31",49,41,0,6,2,32,24,0,6,2,32,0,50,18,1,23,6,0,1,0,1
2,ARAD,"CĂMINUL CULTURAL BOCSIG",213,BOCSIG,10195,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:21:20",1519,1488,0,9,22,971,940,0,9,22,918,53,1600,629,198,393,277,2,16,14,18
