precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",74,"ORAŞ NĂSĂUD",32544,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:42:44",1677,1658,0,17,2,752,733,0,17,2,728,24,1850,1098,13,391,2,32,281,9
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",105,CETATE,32884,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:07:00",618,602,1,7,8,439,424,0,7,8,427,12,656,217,23,187,2,22,191,2
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:05:08",1596,1525,3,42,26,902,834,0,42,26,884,12,1700,804,62,343,13,26,419,21
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",295,TELCIU,35054,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:33:15",158,149,0,9,0,90,81,0,9,0,85,5,200,110,5,36,0,4,40,0
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",242,"SÂNMIHAIU DE CÂMPIE",34477,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:31:23",176,146,0,25,5,128,98,0,25,5,125,3,150,22,6,17,4,6,92,0
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",259,ŞIEU-MĂGHERUŞ,34690,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:22:37",546,538,0,3,5,287,279,0,3,5,278,9,600,313,9,99,0,20,144,6
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL JOSENII BÂRGĂULUI",148,"JOSENII BÂRGĂULUI",33382,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:24:21",827,815,2,6,4,461,450,1,6,4,447,14,915,454,36,99,4,79,221,8
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:41:20",304,273,0,9,22,179,148,0,9,22,167,12,316,137,7,73,0,3,68,16
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",276,ŞINTEREAG,34903,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:35:13",250,239,1,7,3,147,137,0,7,3,143,4,250,103,2,47,1,4,89,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",244,"SILIVAŞU DE CÂMPIE",34422,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:46:46",741,696,0,19,26,553,508,0,19,26,525,28,783,230,21,109,1,71,322,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL AGRIŞU DE SUS",264,ŞIEU-ODORHEI,34770,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:16:19",125,121,0,4,0,89,85,0,4,0,84,5,150,61,3,23,2,24,31,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ALBEŞTII BISTRIŢEI",140,"GALAŢII BISTRIŢEI",33275,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:48:32",149,143,0,6,0,89,83,0,6,0,82,7,150,61,3,14,0,16,49,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCALIA",258,ŞIEU-MĂGHERUŞ,34690,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:25:27",781,773,1,4,3,402,396,0,4,2,383,19,887,485,10,260,2,19,88,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",286,TEACA,34985,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:55:59",426,418,1,7,0,276,269,0,7,0,267,9,450,174,12,115,3,10,125,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:14",337,318,1,0,18,236,217,1,0,18,224,12,371,135,4,41,0,13,166,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:57:25",707,689,0,6,12,436,418,0,6,12,419,16,751,315,17,234,2,39,118,9
