precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CSOMA BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CORDOŞ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIPOŞ EUGEN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIŞE ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","NICULA FLORIAN-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi","OROS NECHITA-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"ALUNISU NR.74 CAMINUL CULTURAL",619,SÂNCRAIU,59434,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:15:39",95,88,2,3,2,61,55,1,3,2,58,3,102,41,36,5,5,11,0,1
13,CLUJ,"ASEZAMANTUL SOCIAL BISERICESC",520,JUCU,58259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:42:35",649,628,6,9,6,405,389,1,9,6,399,6,692,287,5,123,27,96,10,138
13,CLUJ,"ASOCIAŢIA ”CARITATEA”",57,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:42:25",1192,1089,88,15,0,667,652,0,15,0,649,18,1301,634,39,45,55,233,19,258
13,CLUJ,"BIROUL PRIMĂRIEI CARA",424,COJOCNA,57350,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:42:27",701,680,0,21,0,392,371,0,21,0,366,26,749,357,34,123,26,104,19,60
13,CLUJ,"CAMIN CULT. SAMBOIENI",627,SÂNMĂRTIN,59498,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:10:28",106,100,1,5,0,73,68,0,5,0,68,5,100,27,0,5,4,58,0,1
13,CLUJ,"CAMIN CULTURAL",290,"ORAŞ HUEDIN",55446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:05",253,246,0,6,1,133,126,0,6,1,133,0,272,139,101,4,1,13,0,14
13,CLUJ,"CAMIN CULTURAL",560,MOCIU,58623,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:37:17",274,260,1,11,2,200,187,0,11,2,179,21,288,88,4,32,18,117,5,3
13,CLUJ,"CAMIN CULTURAL",549,"MIHAI VITEAZU",55277,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:38",686,667,1,15,3,409,391,0,15,3,388,21,743,334,101,36,19,207,11,14
13,CLUJ,"CAMIN CULTURAL",643,"TRITENII DE JOS",59693,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:20:27",232,224,0,8,0,137,129,0,8,0,128,9,246,109,2,21,19,44,5,37
13,CLUJ,"CAMIN CULTURAL",641,"TRITENII DE JOS",59693,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:12",950,940,1,9,0,496,487,0,9,0,483,13,1036,540,6,70,53,162,17,175
