precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP DARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRIŞ DUMITRU-CRISTIAN-FORȚA DREPTEI-voturi","POP NADIA-MARIA-PARTIDUL VERTICALA NOUĂ-voturi","CÎMPEAN CORNELIA-PARTIDUL PATRIOȚILOR-voturi","ROPAN MIHAI-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PONDE ELENA-SIMONA-PARTIDUL ECOLOGIST ROMÂN-voturi","IVAN DAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FILIP MARIANA-FLORENTINA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","IVAŞCO ALINA-PARTIDUL S.O.S. ROMÂNIA-voturi","PINTÉR ZSOLT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞTEŢCO GABRIEL-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ZETEA GABRIEL-VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","MORARIU CĂLIN-TEODOR-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
26,MARAMUREŞ,"ADMINISTRAȚIA BAZELOR SPORTIVE",47,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 16:02:38",1390,1373,5,12,0,625,613,0,12,0,608,17,1500,875,28,21,72,1,4,13,91,6,5,40,147,173,7
26,MARAMUREŞ,"AGENȚIA DE PLĂȚI ȘI INTERVENȚIE PENTRU AGRICULTURĂ MARAMUREȘ",1,"MUNICIPIUL BAIA MARE",106318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:07:58",1741,1711,16,14,0,917,903,0,14,0,903,14,1800,883,56,16,114,5,8,11,134,8,16,30,213,283,9
26,MARAMUREŞ,"ANSAMBLUL FOLCLORIC NAȚIONAL „TRANSILVANIA”",42,"MUNICIPIUL BAIA MARE",106318,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:39:32",1309,1286,12,11,0,567,556,0,11,0,556,8,1400,833,23,13,51,3,4,18,87,2,11,63,129,135,17
26,MARAMUREŞ,"BIBLIOTECA JUDEȚEANĂ „PETRE DULFU”",50,"MUNICIPIUL BAIA MARE",106318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:01:56",1206,1195,1,9,1,623,613,0,9,1,609,14,1298,675,28,20,37,2,5,15,85,2,10,139,137,124,5
26,MARAMUREŞ,"CĂMIN CULTURAL",318,FĂRCAŞA,108106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:21:04",463,427,5,23,8,325,291,3,23,8,316,7,500,177,24,2,18,0,1,3,5,1,3,3,188,67,1
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 10:47:19",1164,1137,1,26,0,616,590,0,26,0,594,22,1300,684,56,10,7,1,2,5,12,1,17,6,116,359,2
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:50",537,494,0,16,27,260,217,0,16,27,235,25,500,240,17,0,3,1,1,0,2,1,1,1,158,50,0
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:10:07",1928,1907,2,13,6,922,903,0,13,6,898,24,2080,1158,86,11,39,5,4,13,39,3,27,10,240,417,4
26,MARAMUREŞ,"CĂMIN CULTURAL",317,FĂRCAŞA,108106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:49:43",628,592,0,20,16,322,286,0,20,16,306,16,600,278,39,6,18,6,0,5,12,1,0,5,157,57,0
26,MARAMUREŞ,"CĂMIN CULTURAL",378,REMEŢI,108552,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:09",319,315,0,3,1,152,148,0,3,1,137,15,400,248,6,1,0,0,0,0,7,1,13,34,37,38,0
