precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",666,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 09:34:42",1105,1077,19,9,0,451,441,1,9,0,440,11,1204,753,150,58,7,39,21,149,16
47,"Sector 4","COLEGIUL NAȚIONAL DE ARTE ”DINU LIPATTI”",667,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 04:06:49",1329,1282,33,14,0,560,545,1,14,0,547,13,1400,840,177,57,10,58,31,186,28
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",675,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 02:03:44",1377,1346,20,11,0,624,613,0,11,0,613,11,1600,976,194,77,9,76,23,206,28
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",676,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 05:44:36",958,948,9,1,0,381,380,0,1,0,377,4,1096,715,158,38,6,39,10,117,9
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",757,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:18:28",1427,1416,3,8,0,603,595,0,8,0,581,22,1500,897,309,57,8,36,31,117,23
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",755,"BUCUREŞTI SECTORUL 4",179178,2,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 13:09:51",1664,1654,3,7,0,731,723,1,7,0,715,15,1800,1065,355,77,13,52,41,152,25
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",756,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 06:32:11",1090,1084,3,3,0,507,504,0,3,0,485,19,1200,696,243,50,11,29,17,111,24
47,"Sector 4","COLEGIUL NAŢIONAL OCTAV ONICESCU",758,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 08:53:22",1302,1293,2,5,2,660,653,0,5,2,638,22,1400,740,301,52,12,49,31,163,30
47,"Sector 4","COLEGIUL TEHNIC GRIGORE CERCHEZ",678,"BUCUREŞTI SECTORUL 4",179178,3,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-12 02:13:46",1344,1326,9,9,0,619,610,0,9,0,597,21,1500,881,216,74,6,56,16,197,32
47,"Sector 4","COLEGIUL TEHNIC GRIGORE CERCHEZ",677,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,CL,CL_SV_SECTOR,"2024-06-10 12:37:05",965,941,23,1,0,418,418,0,0,0,398,20,998,580,175,34,3,40,17,121,8
