precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SCHULLER HORST-voturi","FĂTU MIRCEA-ADRIAN-voturi","GRECEA MARIA-voturi"
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINTI",192,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:28",1191,1182,2,6,1,487,480,0,6,1,476,11,1100,613,53,40,235,35,34,43,3,7,26
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINŢI",190,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:11",1114,1107,0,7,0,450,443,0,7,0,422,28,1200,750,33,22,239,30,17,51,5,14,11
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINŢI",191,"MUNICIPIUL CODLEA",40241,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:30:03",1075,1068,1,6,0,473,467,0,6,0,465,8,1200,727,49,36,261,13,25,59,2,6,14
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINŢI",189,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:54",960,943,1,4,12,366,350,0,4,12,345,21,1026,660,29,35,186,17,35,20,4,7,12
8,BRAŞOV,"GRADINITA NR.1",195,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:05",1353,1344,2,6,1,634,627,0,6,1,600,34,1500,866,78,34,270,35,47,69,19,25,23
8,BRAŞOV,"GRADINITA NR.1",194,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:01",1239,1228,7,4,0,598,594,0,4,0,577,21,1400,802,70,36,274,40,60,44,19,9,25
8,BRAŞOV,"GRADINITA NR.4",198,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:13",1206,1194,2,10,0,441,431,0,10,0,429,12,1318,877,32,34,263,15,22,30,4,12,17
8,BRAŞOV,"GRADINITA NR.4",199,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:53",1756,1745,4,7,0,854,847,0,7,0,830,24,1900,1046,109,53,428,36,61,63,14,28,38
8,BRAŞOV,"GRUP SCOLAR FORESTIER",196,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:06",1591,1577,9,5,0,724,717,2,5,0,702,22,1800,1076,102,35,325,41,39,86,22,32,20
8,BRAŞOV,"LICEUL TEORETIC",203,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:33",1274,1264,2,8,0,600,592,0,8,0,577,23,1400,800,91,34,258,29,36,64,11,44,10
8,BRAŞOV,"ŞCOALA DE ARTE SI MESERII",205,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:21",1512,1501,1,10,0,683,672,1,10,0,611,72,1720,1037,50,42,431,18,24,25,2,2,17
8,BRAŞOV,"ŞCOALA DE ARTE SI MESERII",204,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:15:30",1058,1043,7,8,0,529,521,0,8,0,520,9,1200,671,67,34,288,25,32,42,6,13,13
8,BRAŞOV,"ŞCOALA GENERALA NR.2",193,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:42",1094,1085,1,8,0,504,496,0,8,0,494,10,1200,696,55,38,266,30,31,38,13,5,18
8,BRAŞOV,"ŞCOALA GENERALA NR. 3",201,"MUNICIPIUL CODLEA",40241,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:38",1286,1278,2,6,0,546,538,2,6,0,531,15,1400,842,60,34,254,30,45,50,2,18,38
8,BRAŞOV,"ŞCOALA GENERALA NR. 3",202,"MUNICIPIUL CODLEA",40241,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:03",946,940,0,6,0,422,416,0,6,0,404,16,1000,580,34,17,228,18,39,33,2,9,24
8,BRAŞOV,"ŞCOALA GENERALA NR. 3",200,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:06",886,879,0,7,0,396,389,0,7,0,380,16,1000,604,38,21,199,36,29,18,5,13,21
8,BRAŞOV,"ŞCOALA GIMNAZIALA NR. 3",197,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:49",1261,1237,2,14,8,497,475,0,14,8,478,12,1400,910,23,27,271,31,47,23,8,24,24
