precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","STRÎMBEANU RADU-COSTINEL-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL TOHANUL NOU",295,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:59",1206,1194,3,3,6,677,668,0,3,6,655,22,1300,623,208,49,313,54,31
8,BRAŞOV,"CAMINUL CULTURAL TOHANUL VECHI",294,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:43",1745,1733,2,9,1,856,846,0,9,1,819,37,1900,1044,172,80,488,40,39
8,BRAŞOV,"CASA DE CULTURĂ",284,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:55",1289,1275,5,9,0,668,659,0,9,0,661,7,1400,732,206,48,301,64,42
8,BRAŞOV,"CLUBUL PENSIONARILOR",287,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:25",1161,1148,2,10,1,564,553,0,10,1,539,25,1300,736,152,42,260,51,34
8,BRAŞOV,"CLUBUL PENSIONARILOR - CARAIMAN",286,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:23",1324,1313,2,9,0,612,603,0,9,0,594,18,1500,888,165,51,260,63,55
8,BRAŞOV,"GRĂDINIŢA BOBOCEL",280,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:37",1315,1307,1,7,0,651,644,0,7,0,629,22,1500,849,115,71,362,37,44
8,BRAŞOV,"GRĂDINIŢA VOINICELUL NR. 2",285,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:13",1094,1086,0,8,0,540,532,0,8,0,518,22,1200,660,122,54,257,40,45
8,BRAŞOV,"LICEUL TEHNOLOGIC MALAXA",292,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:21",1003,996,2,5,0,416,411,0,5,0,396,20,1100,684,60,56,233,27,20
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP B",283,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:21",1586,1575,0,9,2,802,791,0,9,2,770,32,1700,898,179,87,417,54,33
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP B",282,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:39:35",1353,1346,1,6,0,780,774,0,6,0,764,16,1500,720,212,60,388,62,42
8,BRAŞOV,"SALA DE SPORT A LICEULUI TEORETIC MITROPOLIT IOAN MEŢIANU",281,"ORAŞ ZĂRNEŞTI",40492,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:08",1347,1337,0,10,0,736,726,0,10,0,706,30,1500,764,162,57,414,44,29
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 GHEORGHE CRĂCIUN",290,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:01",1390,1384,2,3,1,656,652,0,3,1,631,25,1500,844,135,41,349,60,46
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 GHEORGHE CRĂCIUN",289,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:17:37",1200,1193,1,5,1,551,545,0,5,1,525,26,1322,771,136,58,255,48,28
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ NR. 1 GHEORGHE CRĂCIUN",291,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:28",1367,1335,0,7,25,696,664,0,7,25,676,20,1500,804,161,43,373,43,56
8,BRAŞOV,"SCOALA GIMNAZIALA NR. 2",293,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:35",1698,1691,0,7,0,563,556,0,7,0,486,77,1900,1337,59,101,304,12,10
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 3 POMPILIU DAN-CORP A",288,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:24:54",1090,1075,4,10,1,563,551,1,10,1,553,10,1200,637,177,41,220,75,40
