precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMIN CULTURAL JOSENI",148,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:21",698,683,0,7,8,392,377,0,7,8,380,12,763,371,29,31,276,44
10,BUZĂU,"CĂMIN CULTURAL PÎCLE",149,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:50:17",118,110,0,8,0,57,49,0,8,0,54,3,121,62,9,3,15,27
10,BUZĂU,"CASA DE CULTURĂ BERCA-PARTER",145,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:39",1214,1206,0,7,1,652,644,0,7,1,633,19,1351,699,36,13,493,91
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL NITRARIA BERCA",146,BERCA,45101,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:14:23",925,919,0,5,1,453,447,0,5,1,437,16,1015,562,42,23,285,87
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL RĂTEŞTI",152,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:06:28",725,717,1,5,2,325,317,1,5,2,318,7,791,466,13,41,228,36
10,BUZĂU,"GRĂDINIŢA SĂTUC",153,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:05",555,548,0,6,1,291,284,0,6,1,278,13,605,314,29,18,208,23
10,BUZĂU,"LICEUL TEHNOLOGIC SF.MUCENIC SAVA, BERCA",147,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:36:56",644,636,0,4,4,335,327,0,4,4,331,4,716,381,19,31,188,93
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PLEȘCOI",150,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:18",817,809,1,3,4,416,409,0,3,4,402,8,892,482,18,22,293,69
10,BUZĂU,"ȘCOALA GIMNAZIALĂ PLEȘCOI",151,BERCA,45101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:27",721,711,0,8,2,382,372,0,8,2,371,11,794,412,25,34,250,62
10,BUZĂU,"ŞCOALA PRIMARĂ VALEA NUCULUI",154,BERCA,45101,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:57",573,562,0,6,5,295,284,0,6,5,288,7,618,323,21,17,209,41
