precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA ARMENILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ISZTOICA ROBERT-voturi","MĂRGINEAN FLAVIA-ALEXANDRA-voturi","TRIF ADRIAN-CLAUDIU-voturi"
13,CLUJ,"CLUBUL COPIILOR GHERLA",242,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:00:37",1400,1392,3,4,1,612,607,0,4,1,604,8,1577,965,78,10,62,252,53,66,1,21,61
13,CLUJ,"LICEUL TEORETIC ANA IPATESCU",235,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:02:39",1340,1325,3,6,6,623,611,0,6,6,614,9,1510,887,74,9,71,184,109,92,7,34,34
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",239,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:21",1356,1349,1,5,1,651,645,0,5,1,633,18,1517,866,89,13,54,175,65,89,3,47,98
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",238,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:52:06",1546,1519,5,5,17,716,694,0,5,17,688,28,1722,1006,81,10,60,237,85,107,5,25,78
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",240,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:25:09",1244,1240,3,1,0,598,597,0,1,0,590,8,1408,810,76,3,50,212,68,90,5,32,54
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",241,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:19",1332,1321,3,4,4,562,554,0,4,4,551,11,1499,937,95,6,43,186,87,71,3,22,38
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",234,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:07:45",1126,1120,1,4,1,515,510,0,4,1,506,9,1235,720,75,4,46,156,105,63,5,21,31
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",233,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:29",1219,1209,3,7,0,468,461,0,7,0,451,17,1362,894,70,2,72,166,43,51,8,13,26
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",231,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:43",1666,1649,2,7,8,777,762,0,7,8,765,12,1814,1037,87,3,88,287,118,124,4,12,42
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",230,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:00:30",1486,1478,2,4,2,643,637,0,4,2,624,19,1629,986,79,15,103,232,53,78,11,16,37
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",232,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:06",1025,1016,0,4,5,459,450,0,4,5,452,7,1142,683,60,6,77,143,68,66,2,14,16
13,CLUJ,"SCOALA CLS. I - IV BAITA",243,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:41",402,387,0,11,4,174,163,0,7,4,171,3,427,253,29,2,22,51,31,28,1,2,5
13,CLUJ,"ŞCOALA CLS. I - IV HĂŞDATE",244,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:17",276,263,2,8,3,117,106,1,8,2,113,4,295,178,20,2,18,39,5,14,0,8,7
13,CLUJ,"ŞCOALA CLS. I - IV SILIVAŞ",245,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:27",154,143,0,8,3,60,49,0,8,3,53,7,154,94,12,2,5,21,4,6,1,1,1
13,CLUJ,"ŞCOALA GIMNAZIALĂ NR.1",237,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:56",810,797,0,8,5,348,335,0,8,5,338,10,895,547,46,11,29,104,50,59,6,21,12
13,CLUJ,"ŞCOALA GIMNAZIALĂ NR.1",236,"MUNICIPIUL GHERLA",55384,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:05:59",1807,1795,6,4,2,805,799,0,4,2,781,24,2171,1366,105,10,88,237,137,122,10,31,41
