precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
13,CLUJ,"CAMIN CULTURAL ARGHISU",294,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:30:45",98,86,1,11,0,42,31,0,11,0,39,3,93,51,19,4,2,14
13,CLUJ,"CAMIN CULTURAL BAGARA",295,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:02",325,319,0,6,0,169,163,0,6,0,165,4,345,176,20,5,125,15
13,CLUJ,"CAMIN CULTURAL DOROLTU",296,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:26:03",81,73,0,8,0,56,48,0,8,0,55,1,79,23,7,1,41,6
13,CLUJ,"CAMIN CULTURAL LEGHIA",298,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:19",369,354,1,6,8,222,208,0,6,8,218,4,386,164,17,2,187,12
13,CLUJ,"CĂMINUL CULTURAL AGHIREŞU FABRICI",292,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:35",1118,1108,0,4,6,540,530,0,4,6,512,28,1205,665,174,42,63,233
13,CLUJ,"IMOBIL CONSILIU NR. 7",299,AGHIREŞU,55473,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:17",512,489,0,8,15,337,314,0,8,15,322,15,514,177,22,5,260,35
13,CLUJ,"SCOALA GENERALA AGHIRESU",291,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:54",1030,1009,0,2,19,371,353,0,2,16,348,23,1115,744,163,41,29,115
13,CLUJ,"SCOALA GENERALA AGHIRESU-FABRICI",293,AGHIREŞU,55473,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:45",1387,1377,0,4,6,632,622,0,4,6,600,32,1518,886,217,46,56,281
13,CLUJ,"SCOALA GENERALA INUCU",297,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:59:47",268,254,0,7,7,194,180,0,7,7,190,4,275,81,23,1,155,11
13,CLUJ,"SCOALA GENERALA TICU-COLONIE",300,AGHIREŞU,55473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:16:30",226,217,1,8,0,85,77,0,8,0,75,10,236,151,23,4,4,44
