precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
14,CONSTANŢA,"CREŞA DIN STRADA TUDOR VLADIMIRESCU",283,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:18:15",969,958,0,8,3,461,450,0,8,3,441,20,1069,608,18,117,146,68,9,74,9
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 4",282,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:27:46",1386,1376,0,7,3,706,696,0,7,3,688,18,1528,822,45,206,157,125,14,116,25
14,CONSTANŢA,"LICEUL TEHNOLOGIC AXIOPOLIS CERNAVODĂ",285,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:18:51",1129,1115,2,11,1,547,535,0,11,1,533,14,1231,684,94,107,154,76,40,49,13
14,CONSTANŢA,"LICEUL TEHNOLOGIC AXIOPOLIS CERNAVODĂ",284,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:36:35",1350,1334,6,7,3,679,669,0,7,3,663,16,1483,804,89,186,191,88,24,73,12
14,CONSTANŢA,"LICEUL TEORETIC ANGHEL SALIGNY",280,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:58:07",1523,1506,3,9,5,767,753,0,9,5,753,14,1658,891,83,171,205,114,58,100,22
14,CONSTANŢA,"LICEUL TEORETIC ANGHEL SALIGNY",281,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:48:47",1420,1407,5,6,2,757,749,0,6,2,735,22,1560,803,95,188,235,88,49,59,21
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ MIRCEA ELIADE",286,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:22:21",1048,1030,3,13,2,489,474,0,13,2,480,9,1157,668,81,107,148,56,13,55,20
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",278,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:58:10",1281,1277,0,4,0,566,562,0,4,0,533,33,1411,845,18,97,217,109,19,66,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",277,"ORAŞ CERNAVODĂ",60776,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:30:34",1757,1752,0,4,1,824,819,0,4,1,789,31,1926,1100,46,139,231,229,15,116,13
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.1",276,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:25:54",1525,1508,3,5,9,714,700,0,5,9,702,12,1665,951,56,166,207,113,32,109,19
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 2",279,"ORAŞ CERNAVODĂ",60776,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 23:27:14",1335,1322,1,5,7,693,680,1,5,7,674,19,1480,767,66,199,179,111,30,74,15
