precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL OAMENILOR TINERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:06",882,873,3,4,2,450,444,0,4,2,417,23,900,460,14,54,179,74,11,16,13,27,25,4
22,HUNEDOARA,"CĂMINUL CULTURAL SÎNTUHALM",46,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:24",661,646,0,9,6,318,303,0,9,6,308,10,942,624,19,43,96,58,4,26,10,29,21,2
22,HUNEDOARA,"CANTINA DE AJUTOR SOCIAL (FOSTA CANTINA LICEU MINER)",44,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:50",1012,995,2,12,3,440,425,0,12,3,418,22,1100,660,24,59,105,84,11,29,12,44,38,12
22,HUNEDOARA,"CASA MAGHIARĂ DEVA ( FOSTA CASA ARMATEI)",32,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:35",1116,1096,10,8,2,550,539,1,8,2,545,5,1200,650,125,38,140,109,8,36,5,43,38,3
22,HUNEDOARA,"CASA MAGHIARĂ DEVA (FOSTA CASA ARMATEI)",33,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:22",1249,1219,16,14,0,631,617,0,14,0,611,20,1400,769,53,60,170,133,6,57,14,58,54,6
22,HUNEDOARA,"CENTRUL CULTURAL DRĂGAN MUNTEAN",1,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:50:48",1681,1665,0,16,0,782,766,0,16,0,757,25,1800,1018,44,57,247,187,7,41,15,61,88,10
22,HUNEDOARA,"CENTRUL CULTURAL DRĂGAN MUNTEAN",2,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:55",1109,1097,0,12,0,498,486,0,12,0,485,10,1200,693,22,64,163,93,6,26,9,58,39,5
22,HUNEDOARA,"CENTRUL CULTURAL DRĂGAN MUNTEAN",3,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:48",1404,1385,12,7,0,643,636,0,7,0,630,13,1600,957,26,48,230,126,13,57,12,50,59,9
22,HUNEDOARA,"CLUB ŞCOLAR SPORTIV",31,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:13",1270,1254,6,10,0,585,575,0,10,0,567,18,1300,715,30,51,173,109,17,46,5,78,52,6
22,HUNEDOARA,"COLEGIUL NAŢIONAL ”DECEBAL”",17,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:10",1133,1113,7,11,2,531,518,0,11,2,505,25,1200,669,30,43,168,121,13,28,5,46,47,4
22,HUNEDOARA,"COLEGIUL NAȚIONAL PEDAGOGIC”REGINA MARIA”",13,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:44:31",1183,1144,21,17,1,567,548,1,17,1,554,11,1300,735,47,54,168,115,12,41,13,46,45,13
22,HUNEDOARA,"COLEGIUL NAȚIONAL SPORTIV CETATE DEVA",18,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:07",1365,1353,2,10,0,714,702,2,10,0,692,22,1500,786,54,77,227,161,12,48,5,35,55,18
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",36,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:47",1296,1287,0,9,0,460,451,0,9,0,445,15,1400,940,13,67,147,72,36,19,16,55,18,2
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",35,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:53",1861,1841,6,7,7,759,745,0,7,7,720,39,1900,1141,26,88,225,142,59,40,23,65,38,14
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",34,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:50",1416,1411,0,5,0,520,515,0,5,0,469,48,1500,983,16,63,147,73,49,21,10,55,31,4
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",27,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:16",1245,1235,4,6,0,519,513,0,6,0,502,17,1300,781,25,64,158,109,12,19,12,60,35,8
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",28,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:23",1547,1534,4,8,1,623,614,0,8,1,580,16,1600,1004,44,74,219,88,9,29,12,58,33,14
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",26,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:27:28",1414,1402,2,9,1,637,627,0,9,1,625,12,1500,863,47,56,209,111,18,44,14,65,51,10
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",29,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:26:17",1344,1333,1,10,0,541,531,0,10,0,522,17,1400,861,45,66,151,108,8,25,8,55,49,7
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",24,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:45",865,855,1,9,0,331,322,0,9,0,321,10,1100,769,20,37,104,76,7,16,6,21,29,5
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",25,"MUNICIPIUL DEVA",86687,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:06:11",743,732,2,9,0,306,297,0,9,0,288,9,1000,703,18,19,84,56,15,35,4,33,20,4
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA(FOSTA ȘCOALĂ GENERALĂ)",30,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:07",1462,1448,1,13,0,619,606,0,13,0,604,15,1600,981,36,67,197,101,10,40,21,76,45,11
22,HUNEDOARA,"DIRECȚIA GENERALĂ DE ASISTENȚĂ SOCIALĂ ȘI PROTECȚIA COPILULUI",21,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:00",1034,1026,0,8,0,480,472,0,8,0,467,13,1100,620,40,36,161,75,12,31,8,46,48,10
22,HUNEDOARA,"DIRECŢIA SILVICĂ DEVA",22,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:23",1115,1102,0,12,1,467,454,0,12,1,462,5,1300,833,27,42,165,87,8,22,8,52,44,7
22,HUNEDOARA,"GALERIA FORMA",16,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:53:43",1226,1206,8,12,0,599,587,0,12,0,583,14,1309,710,26,53,184,119,13,48,12,75,43,10
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",40,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:28:51",1129,1115,1,12,1,495,482,0,12,1,480,15,1300,805,22,75,133,82,16,19,9,65,36,23
