precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi","NIŢĂ DORINA-VERONICA-voturi","NICULESCU FLORIN-VLAD-DAN-voturi","POP LAURENŢIU-MIHAI-voturi","FILIMON BOGDAN-ALIN-voturi"
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:44:06",1300,1289,2,9,0,454,445,0,9,0,435,19,1400,946,66,82,161,23,25,11,7,3,45,7,3,2
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:32",1392,1383,1,8,0,493,485,0,8,0,472,21,1500,1007,45,93,220,14,11,19,5,6,40,2,5,12
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:54",1642,1615,0,3,24,544,517,0,3,24,521,23,1800,1256,44,121,237,20,19,15,2,10,34,4,11,4
22,HUNEDOARA,"CASA PENSIONARILOR",161,"MUNICIPIUL PETROŞANI",86990,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:45:02",1398,1392,0,6,0,521,515,0,6,0,497,24,1600,1079,43,107,244,26,10,22,10,1,26,5,1,2
22,HUNEDOARA,"CASA PENSIONARILOR",162,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:55:56",1023,1016,0,7,0,378,371,0,7,0,359,19,1100,722,26,111,149,14,14,16,2,2,10,3,4,8
22,HUNEDOARA,"CLUB SPORTIV ȘCOLAR",144,"MUNICIPIUL PETROŞANI",86990,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:34:45",937,924,0,12,1,391,378,0,12,1,386,5,1100,709,65,69,143,20,17,6,4,6,41,4,6,5
22,HUNEDOARA,"COLEGIUL ECONOMIC ”HERMES ”",150,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:26:56",1502,1412,0,55,35,585,543,0,10,32,563,22,1600,1015,53,164,203,22,34,12,18,5,42,4,3,3
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ ”CARMEN SYLVA” (GRĂDINIȚA CU PROGRAM NORMAL NR.5)",152,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:44",1361,1347,0,14,0,496,482,0,14,0,476,20,1500,1004,36,92,184,35,31,8,5,6,53,9,2,15
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ ”CARMEN SYLVA” (GRĂDINIȚA CU PROGRAM NORMAL NR.5)",151,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:02",1360,1352,1,7,0,525,518,0,7,0,500,25,1500,975,35,101,192,35,36,9,1,7,70,5,4,5
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ CARMEN SYLVA (LICEUL DE INFORMATICĂ)",149,"MUNICIPIUL PETROŞANI",86990,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:21:13",1286,1280,0,6,0,576,570,0,6,0,553,18,1500,929,61,109,203,23,42,11,11,3,63,9,7,11
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”MIHAI EMINESCU” (LICEUL TEORETIC)",147,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:20:22",1643,1626,5,5,7,674,661,1,5,7,653,21,1800,1126,51,186,263,28,26,20,4,7,49,8,8,3
22,HUNEDOARA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU” (ŞCOALA GIMNAZIALĂ DÂLJA MARE)",165,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:06:02",183,173,0,10,0,130,120,0,10,0,128,2,200,70,4,42,77,1,3,0,0,0,1,0,0,0
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT AEROPORT",155,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:57",823,813,1,9,0,242,233,0,9,0,225,17,912,670,14,60,109,5,11,3,2,3,10,2,2,4
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ AVRAM STANCA (ȘCOALA GENERALĂ NR.4)",145,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:12",989,982,1,6,0,420,414,0,6,0,407,13,1200,780,42,71,130,31,30,7,6,4,61,5,9,11
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ AVRAM STANCA (ȘCOALA GENERALĂ NR.4)",146,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:42",1583,1572,1,7,3,701,691,0,7,3,678,23,1700,999,84,142,262,28,53,18,4,7,64,4,6,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ CARMEN SYLVA (ȘCOALA GENERALĂ NR.6)",153,"MUNICIPIUL PETROŞANI",86990,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:50",1554,1551,0,3,0,617,614,0,3,0,592,25,1700,1083,59,112,200,31,29,11,2,23,110,7,5,3
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ CARMEN SYLVA (ȘCOALA GENERALĂ NR.6)",154,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:06",1473,1467,0,6,0,506,500,0,6,0,482,24,1600,1094,34,105,242,8,9,12,3,10,45,5,2,7
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ I.G. DUCA (ȘCOALA GENERALĂ NR. 1 - SEDIUL NOU)",142,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:04:51",1280,1267,3,9,1,576,566,0,9,1,538,29,1400,833,70,100,213,27,31,15,11,1,50,7,7,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ ”I. G. DUCA” (ȘCOALA GENERALĂ NR.1) SEDIUL VECHI",140,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:57",1557,1549,1,5,2,672,665,0,5,2,647,25,1700,1028,81,110,227,41,40,15,17,6,79,5,14,12
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ I.G.DUCA (ȘCOALA GENERALĂ NR. 1 - SEDIUL VECHI)",141,"MUNICIPIUL PETROŞANI",86990,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:02:59",1408,1400,1,7,0,584,577,0,7,0,557,27,1600,1016,71,90,214,33,34,11,17,9,63,5,4,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION GHEORGHE DUCA” PETROȘANI - GRĂDINIȚA CU PROGRAM NORMAL ȘI PRELUNGIT",148,"MUNICIPIUL PETROŞANI",86990,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:59:43",843,832,2,9,0,347,338,0,9,0,331,16,1000,653,47,50,114,27,27,6,1,5,38,12,2,2
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2",163,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:49",1169,1160,0,8,1,427,418,0,8,1,411,16,1300,873,44,99,184,17,10,13,1,4,23,7,1,8
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 2 PETROȘANI",164,"MUNICIPIUL PETROŞANI",86990,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:28",1089,1079,0,10,0,432,422,0,10,0,418,14,1200,768,38,146,146,18,9,22,1,2,24,2,4,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR.7",159,"MUNICIPIUL PETROŞANI",86990,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:25",1692,1684,1,7,0,577,570,0,7,0,553,24,1800,1223,28,136,300,12,10,19,2,8,25,1,6,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR.7",158,"MUNICIPIUL PETROŞANI",86990,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:02:34",1580,1573,0,7,0,506,499,0,7,0,482,24,1700,1194,44,99,255,4,14,10,5,5,36,1,3,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 7 PETROȘANI - SALA DE EDUCAȚIE FIZICĂ ȘCOLARĂ",160,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:26",617,610,0,7,0,271,264,0,7,0,263,8,800,529,18,64,137,2,19,5,1,0,10,2,3,2
