precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","ALB IOAN-voturi","CIOLEA IOAN-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL RÂU BĂRBAT",424,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:59",187,145,0,27,15,143,101,0,27,15,122,5,160,33,62,1,4,13,24,6,0,12
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ BĂIEŞTI (CORP CLS. I-IV)",417,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:49",141,134,0,6,1,141,134,0,6,1,135,6,210,69,41,2,9,15,61,3,1,3
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ PUI",416,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:48:50",650,627,0,16,7,434,411,0,16,7,417,17,731,297,152,8,28,56,114,13,9,37
22,HUNEDOARA,"ŞCOALA PRIMARĂ FEDERI",418,PUI,90538,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:06",195,184,0,6,5,134,123,0,6,5,126,8,210,76,34,1,2,5,32,3,18,31
22,HUNEDOARA,"ŞCOALA PRIMARĂ GALAŢI",420,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:02",398,382,0,4,12,246,230,0,4,12,235,11,420,174,106,3,3,12,84,1,3,23
22,HUNEDOARA,"ŞCOALA PRIMARĂ HOBIŢA",421,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:11:22",160,151,0,6,3,123,114,0,6,3,120,3,170,47,29,2,9,11,63,2,1,3
22,HUNEDOARA,"ŞCOALA PRIMARĂ NR. 1 FIZEŞTI",419,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:18",255,239,0,8,8,171,155,0,8,8,162,9,260,89,85,2,2,14,51,0,2,6
22,HUNEDOARA,"ŞCOALA PRIMARĂ OHABA PONOR",422,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:24:18",201,194,0,4,3,141,134,0,4,3,132,9,210,69,36,2,24,13,18,11,5,23
22,HUNEDOARA,"ŞCOALA PRIMARĂ PONOR",423,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:39",390,360,0,8,22,266,236,0,8,22,260,6,400,134,86,1,13,22,92,11,11,24
22,HUNEDOARA,"ŞCOALA PRIMARĂ RUŞOR",425,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:08",262,255,0,4,3,200,193,0,4,3,191,9,300,100,90,0,1,15,75,0,1,9
22,HUNEDOARA,"ŞCOALA PRIMARĂ ŞEREL",426,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:03",348,344,0,1,3,238,234,0,1,3,235,3,390,152,121,14,13,12,63,0,0,12
22,HUNEDOARA,"ŞCOALA PRIMARĂ URIC",427,PUI,90538,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:00",261,242,0,4,15,193,174,0,4,15,190,3,260,67,78,3,14,9,75,2,1,8
