precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PENTRU ODORHEIU SECUIESC-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PUI NÁNDOR-voturi"
21,HARGHITA,"CASĂ DE CULTURĂ",40,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:12",1283,1264,3,10,6,646,630,0,10,6,630,16,1600,954,497,74,23,33,3
21,HARGHITA,"COLEGIUL REFORMAT ”BACZKAMADARASI KIS GERGELY”",38,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:35",1707,1670,10,10,17,979,952,0,10,17,966,13,1800,821,784,116,33,31,2
21,HARGHITA,"COLEGIUL REFORMAT ”BACZKAMADARASI KIS GERGELY”",39,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:24",1043,1009,2,9,23,397,365,0,9,23,392,5,1100,703,310,50,16,15,1
21,HARGHITA,"GRĂDINIȚA „KIPI-KOPI” STRUCTURA BETHLENFALVI",56,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:58",1704,1683,9,10,2,1017,1004,1,10,2,989,28,1800,783,689,247,32,18,3
21,HARGHITA,"GRĂDINIȚA „VILLANYTELEP”",43,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:59:30",1245,1197,4,8,36,578,535,0,8,35,564,14,1300,722,472,52,23,12,5
21,HARGHITA,"GRĂDINIŢA ”ZSIBONGÓ”",37,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:35:41",1200,1195,2,3,0,530,527,0,3,0,520,10,1300,770,423,70,13,10,4
21,HARGHITA,"LICEUL „MARIN PREDA” ODORHEIU SECUIESC",36,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:02:03",1739,1725,7,7,0,946,937,2,7,0,927,19,1900,954,731,129,23,41,3
21,HARGHITA,"LICEUL TEHNOLOGIC ”KÓS KÁROLY”",42,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:09:41",1522,1503,12,6,1,748,741,0,6,1,736,12,1600,852,621,65,37,12,1
21,HARGHITA,"LICEUL TEHNOLOGIC ”KÓS KÁROLY”",41,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:18:28",1628,1611,3,13,1,884,870,0,13,1,874,9,1800,917,717,103,26,28,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",49,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:17",1283,1275,3,4,1,669,664,0,4,1,657,12,1400,731,543,79,18,15,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",47,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:41",1262,1248,5,9,0,633,624,0,9,0,620,13,1600,967,517,75,7,17,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",50,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:10",1335,1324,2,8,1,671,662,0,8,1,663,8,1500,829,505,145,13,0,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",51,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:02",1375,1364,4,6,1,534,527,0,6,1,522,12,1500,966,422,60,17,16,7
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",48,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:52",1269,1258,5,6,0,584,577,1,6,0,580,4,1400,816,484,62,12,21,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MÓRA FERENC”",54,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:02",1414,1411,0,1,2,680,677,0,1,2,673,7,1600,920,548,88,18,16,3
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MÓRA FERENC”",52,"MUNICIPIUL ODORHEIU SECUIESC",83133,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:12:11",1471,1460,2,8,1,695,686,0,8,1,687,8,1600,905,556,93,14,24,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MÓRA FERENC”",55,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:52",1468,1462,3,3,0,720,717,0,3,0,713,7,1600,880,607,64,17,23,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MÓRA FERENC”",53,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:26:01",1455,1443,9,3,0,747,744,0,3,0,741,6,1600,853,603,98,25,14,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ORBÁN BALÁZS”",44,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:35:59",1341,1327,2,11,1,602,590,0,11,1,594,8,1600,998,492,68,18,12,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ORBÁN BALÁZS”",46,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:38",1138,1129,3,6,0,637,628,3,6,0,632,5,1200,563,524,73,16,19,0
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ORBÁN BALÁZS”",45,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:03",1132,1124,3,5,0,503,498,0,5,0,491,12,1200,697,415,49,8,17,2
21,HARGHITA,"SEDIU CLUBUL SPORTIV ŞCOLAR",35,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:43",1561,1552,4,5,0,682,677,0,5,0,622,60,1600,918,493,73,18,24,14
