precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL DACISMULUI AUTONOM CONSERVATOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 04:20:28",1577,1560,6,11,0,668,656,1,11,0,559,109,1700,1032,85,71,99,7,11,20,249,13,4
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:26",1655,1609,24,22,0,740,718,0,22,0,720,20,1750,1010,100,59,159,10,9,23,329,20,11
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 06:18:08",1639,1606,3,30,0,682,652,0,30,0,671,11,1700,1018,77,46,126,10,8,20,353,23,8
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:13",1406,1385,16,5,0,541,536,0,5,0,534,7,1500,959,77,54,143,5,8,25,200,14,8
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:18:02",1368,1349,6,13,0,527,514,0,13,0,514,13,1500,973,82,41,111,15,5,12,203,30,15
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:15",1534,1499,10,25,0,727,702,0,25,0,712,15,1700,973,84,52,180,6,7,14,328,29,12
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 21:44:26",1439,1411,5,23,0,679,656,0,23,0,659,15,1500,821,83,75,178,9,9,12,260,15,18
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 22:28:47",1559,1531,9,19,0,579,560,0,19,0,565,14,1700,1121,85,63,133,2,6,22,223,22,9
25,ILFOV,"SC ANYADE GYM CLASS SRL",9,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:41",1538,1513,14,10,1,633,622,0,10,1,626,7,1650,1017,83,40,196,4,15,20,245,16,7
25,ILFOV,"SC ANYADE GYM CLASS SRL",8,"ORAŞ BRAGADIRU",179221,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:10:33",1645,1616,11,18,0,621,603,0,18,0,606,15,1808,1187,64,59,162,0,8,22,275,12,4
