precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi","FORȚA DREPTEI-voturi","PARTIDUL OAMENILOR TINERI-voturi"
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:45",1825,1809,0,16,0,509,493,0,16,0,504,5,2000,1491,81,213,48,71,16,40,10,25
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:27:34",1711,1679,24,8,0,470,461,1,8,0,465,5,1900,1430,96,181,59,53,15,33,13,15
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:45:57",1444,1429,4,11,0,661,650,0,11,0,650,11,1639,978,153,269,46,102,19,23,19,19
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:48:33",2050,2013,7,30,0,597,567,0,30,0,587,10,2200,1603,155,189,59,97,27,23,16,21
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",175,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:30:07",1691,1668,8,15,0,723,708,0,15,0,715,8,1772,1049,158,307,48,106,22,25,12,37
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",174,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:30:59",1979,1938,18,19,4,785,762,0,19,4,764,21,2150,1365,297,180,58,117,48,28,21,15
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",172,CHIAJNA,179249,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:24:19",1715,1696,6,11,2,901,882,6,11,2,856,40,1905,1004,442,130,73,115,38,27,16,15
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",173,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:34:53",1912,1873,9,29,1,957,927,0,29,1,931,26,2100,1143,370,217,79,147,45,19,27,27
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA",162,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:36:07",1827,1814,0,13,0,1143,1130,0,13,0,1107,36,2000,857,676,165,55,119,15,26,31,20
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",165,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:52:27",1825,1799,5,20,1,1061,1040,0,20,1,1039,22,2000,939,536,218,101,84,28,31,21,20
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",166,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:44",2018,1977,26,15,0,549,534,0,15,0,541,8,2150,1598,117,184,63,70,46,28,10,23
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",164,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:38:23",1981,1960,6,15,0,1024,1008,1,15,0,997,27,2150,1126,459,215,81,113,52,34,20,23
25,ILFOV,"SALA DE SPORT ”CONCORDIA CHIAJNA”",163,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:10:39",1972,1954,0,17,1,1068,1050,0,17,1,1045,23,2100,1032,513,233,73,124,25,28,29,20
25,ILFOV,"SCOALA GIMNAZIALA ” PETRU RARES”",167,CHIAJNA,179249,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:14:16",1975,1920,23,32,0,853,821,0,32,0,841,12,2100,1247,273,257,43,121,34,47,21,45
25,ILFOV,"SCOALA GIMNAZIALA ”PETRU RARES”",170,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:33",1990,1946,22,22,0,628,606,0,22,0,624,4,2100,1472,156,214,39,99,23,38,16,39
25,ILFOV,"SCOALA GIMNAZIALA ”PETRU RARES””",168,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:01:41",1972,1924,27,21,0,631,610,0,21,0,626,5,2100,1469,112,250,38,95,23,40,18,50
25,ILFOV,"SCOALA GIMNAZIALA” PETRU RARES”",169,CHIAJNA,179249,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:47",1991,1955,18,18,0,689,671,0,18,0,675,14,2150,1461,140,292,35,105,27,39,13,24
