precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","IONESCU VALERIU-ANDREI-voturi"
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:08",1886,1848,18,18,2,929,908,1,18,2,913,16,2100,1171,115,302,43,17,13,30,334,59
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:43:29",1797,1765,16,16,0,969,953,0,16,0,935,17,1942,973,131,369,43,16,8,13,305,50
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:38",1523,1505,0,18,0,882,864,0,18,0,859,23,1650,768,81,178,52,25,29,109,347,38
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:35:45",1423,1398,12,13,0,801,787,1,13,0,787,14,1591,790,115,222,44,10,24,170,166,36
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:07",916,904,9,3,0,508,505,0,3,0,490,18,1000,492,93,241,29,7,12,15,72,21
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:28:20",1426,1393,21,12,0,726,713,1,12,0,712,14,1500,773,143,285,40,12,13,22,158,39
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:29:24",1360,1348,2,7,3,746,736,0,7,3,731,15,1500,754,115,369,41,7,15,15,138,31
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:52",1273,1260,7,5,1,716,710,0,5,1,698,18,1400,684,135,290,40,17,15,12,146,43
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:39",1279,1139,130,10,0,477,467,0,10,0,461,15,1300,823,64,205,35,6,19,10,95,27
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:31:57",1359,1331,16,8,4,749,734,3,8,4,723,26,1500,751,146,340,27,4,8,8,137,53
25,ILFOV,"SALA DE SPORT OTOPENI",56,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:20",1746,1724,13,9,0,958,949,0,9,0,935,21,1900,941,189,473,47,17,19,40,115,35
25,ILFOV,"SALA DE SPORT OTOPENI",57,"ORAŞ OTOPENI",179481,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:06:32",1638,1618,0,20,0,927,907,0,20,0,899,28,1800,873,141,443,42,11,12,16,182,52
