precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",182,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:30",603,593,3,7,0,289,282,0,7,0,279,10,699,410,165,20,33,25,13,15,7,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",186,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:02:44",167,158,0,9,0,114,105,0,9,0,108,6,200,86,91,8,2,4,1,0,0,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",183,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:54",319,311,1,7,0,194,187,0,7,0,188,6,400,206,112,14,19,14,6,19,4,0
26,MARAMUREŞ,"CANTONUL SILVIC",179,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:50",233,220,0,13,0,142,129,0,13,0,135,7,300,158,94,14,4,9,4,2,2,6
26,MARAMUREŞ,"CENTRUL CULTURAL ION ȘIUGARIU",178,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:37:07",860,847,0,13,0,513,500,0,13,0,496,17,900,387,269,12,19,26,139,11,4,16
26,MARAMUREŞ,GRĂDINIȚA,181,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:43",588,583,0,5,0,301,296,0,5,0,287,14,600,299,194,9,16,33,3,10,3,19
26,MARAMUREŞ,"GRĂDINIȚA 9 MAI",185,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:06",359,352,0,7,0,202,195,0,7,0,195,7,400,198,104,38,22,20,2,3,5,1
26,MARAMUREŞ,"GRĂDINIȚA HOȘTEZE",177,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:22",940,930,0,10,0,525,515,0,10,0,499,13,1000,485,247,42,74,29,29,48,28,2
26,MARAMUREŞ,"GRĂDINIȚA ROȘTI",180,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:17:00",512,504,2,6,0,303,297,0,6,0,293,10,600,297,182,12,21,26,23,12,15,2
26,MARAMUREŞ,"LICEUL TEHNOLOGIC „TRAIAN VUIA”",176,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:15:32",1305,1286,5,13,1,706,692,0,13,1,692,14,1400,694,321,35,96,65,51,29,70,25
26,MARAMUREŞ,"SALA MULTIFUNCȚIONALĂ MĂGHERĂUȘ",175,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:01:37",1636,1626,1,8,1,810,801,1,8,0,790,20,1700,890,450,53,84,74,41,41,27,20
26,MARAMUREŞ,"ȘCOALA GENERALĂ",184,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:59",601,591,1,9,0,326,317,0,9,0,311,15,600,274,157,30,21,62,16,4,15,6
