precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
28,MUREŞ,"CĂMINUL CULTURAL ”IERNUŢENI”",97,"MUNICIPIUL REGHIN",114809,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:29",1382,1366,7,3,6,693,684,0,3,6,673,20,1500,807,150,37,130,246,84,26
28,MUREŞ,"CASA DE CULTURĂ DR. ”EUGEN NICOARA”",108,"MUNICIPIUL REGHIN",114809,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:53:14",1184,1149,2,4,29,562,529,0,4,29,550,12,1240,678,94,33,113,226,75,9
28,MUREŞ,"CLUBUL COPIILOR",87,"MUNICIPIUL REGHIN",114809,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:46:43",1367,1354,3,5,5,694,684,0,5,5,670,24,1500,806,134,37,164,214,101,20
28,MUREŞ,"COLEGIUL ”PETRU MAIOR”",90,"MUNICIPIUL REGHIN",114809,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:19:28",1915,1899,3,5,8,925,912,0,5,8,897,28,2100,1175,236,66,213,249,123,10
28,MUREŞ,"COLEGIUL ”PETRU MAIOR”",91,"MUNICIPIUL REGHIN",114809,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:44",1487,1482,1,2,2,682,678,0,2,2,663,19,1650,968,139,77,118,235,78,16
28,MUREŞ,"COLEGIUL”PETRU MAIOR”",92,"MUNICIPIUL REGHIN",114809,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:30",992,989,0,3,0,429,426,0,3,0,419,10,1100,671,112,25,96,125,52,9
28,MUREŞ,"GRĂDINITA CU PROGRAM NORMAL NR.1 REGHIN",106,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:57",1046,1025,7,10,4,470,456,0,10,4,459,11,1150,680,81,38,82,198,56,4
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",105,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:46",1049,1041,2,4,2,580,574,0,4,2,556,24,1150,570,124,23,145,130,114,20
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",104,"MUNICIPIUL REGHIN",114809,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:01:15",1269,1262,3,3,1,680,676,0,3,1,656,24,1390,710,133,29,155,181,142,16
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",100,"MUNICIPIUL REGHIN",114809,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:52:45",1818,1808,1,6,3,897,891,0,6,0,858,39,2000,1103,180,49,168,347,105,9
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",96,"MUNICIPIUL REGHIN",114809,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:48",938,929,0,5,4,401,392,0,5,4,377,24,1050,649,105,47,56,125,40,4
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",95,"MUNICIPIUL REGHIN",114809,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:46",1029,1017,3,8,1,474,465,0,8,1,460,14,1150,676,94,43,94,157,59,13
