precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","ANDONESCU ANTOANETA-voturi"
29,NEAMŢ,"CENTRUL CULTURAL IZVORU MUNTELUI",125,"ORAŞ BICAZ",120968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:34:20",396,389,0,4,3,217,210,0,4,3,210,7,400,183,35,65,80,7,4,3,16
29,NEAMŢ,"LICEUL CAROL I",122,"ORAŞ BICAZ",120968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:22",1020,997,2,15,6,499,478,0,15,6,466,33,1100,601,28,192,121,32,6,25,62
29,NEAMŢ,"PRIMARIA ORASULUI BICAZ",119,"ORAŞ BICAZ",120968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:03",1139,1111,1,25,2,568,541,0,25,2,545,23,1200,632,40,197,209,34,4,3,58
29,NEAMŢ,"SCOALA GENERALA NR. 1 MARCENI",120,"ORAŞ BICAZ",120968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:50",743,737,0,6,0,384,378,0,6,0,374,10,800,416,39,120,132,22,11,8,42
29,NEAMŢ,"SCOALA GENERALA NR. 1 MARCENI",121,"ORAŞ BICAZ",120968,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:54:57",1112,1098,0,14,0,478,464,0,14,0,464,14,1200,722,53,164,144,30,2,10,61
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",127,"ORAŞ BICAZ",120968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:07:24",207,199,0,7,1,96,88,0,7,1,92,4,299,203,9,30,16,11,3,1,22
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",128,"ORAŞ BICAZ",120968,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:58:04",65,60,0,5,0,27,22,0,5,0,25,2,100,73,4,7,13,0,0,1,0
29,NEAMŢ,"SCOALA GENERALA NR.1 MARCENI",126,"ORAŞ BICAZ",120968,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:38",112,106,0,6,0,61,55,0,6,0,55,6,200,139,3,15,33,1,1,0,2
29,NEAMŢ,"SCOALA GENERALA NR.2 DODENI",123,"ORAŞ BICAZ",120968,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:07:58",908,904,0,3,1,372,368,0,3,1,361,11,986,614,43,101,158,19,4,5,31
29,NEAMŢ,"SCOALA GENERALA NR.2 DODENI",124,"ORAŞ BICAZ",120968,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:38:57",988,984,0,3,1,346,342,0,3,1,328,18,1100,754,34,98,128,23,3,6,36
